numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,pays,marchandises,value,remarks
1,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,5,Espagne – par mer,,73975000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
2,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,5,Espagne – par terre,,3226000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
3,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,5,Espagne – par mer,,56852000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
4,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,5,Espagne – par terre,,12678000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
5,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,5,Portugal,,6147000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
6,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,5,Portugal,,7297000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
7,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,5,États du Roi de Sardaigne – par mer,,8766000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
8,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,5,États du Roi de Sardaigne – par terre,,9783000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
9,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,5,États du Roi de Sardaigne – par mer,,10783000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
10,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,5,États du Roi de Sardaigne – par terre,,11820000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
11,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,5,République de Gênes,,29739000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
12,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,5,République de Gênes,,24147000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
13,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,5,Milanès et Toscane,,10258000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
14,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,5,Milanès et Toscane,,23328000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
15,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,5,Naples et Sicile,,28064000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
16,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,5,Naples et Sicile,,14186000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
17,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,5,Rome et Venise,,3779000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
18,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,5,Rome et Venise,,10356000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
19,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,5,"Angleterre, Ecosse et Irlande",,86401000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
20,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,5,"Angleterre, Ecosse et Irlande",,59748000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
21,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,5,Hollande,,30996000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
22,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,5,Hollande,,119592000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
23,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,5,Villes Anséatiques,,13842000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
24,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,5,Villes Anséatiques,,90958000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
25,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,5,"États de l’Empereur, en Flandre et Allemagne – par mer",,13911000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
26,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,5,"États de l’Empereur, en Flandre et Allemagne – par terre",,16693000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
27,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,5,"États de l’Empereur, en Flandre et Allemagne – par mer",,48111000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
