numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,doubleaccount,doubleaccounts
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,57,Sangsues,,5908,196950,,5908,pièce,,,,0.03,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,57,Cantharides,,36900,3690,,36900,Kilo,,,,10,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,59,Cornes de cerf et de snack ; en morceaux,,415,593,,415,Kilo,,,,0.7,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,59,Cornes de cerf et de snack ; en râpures,,1286,1837,,1286,Kilo,,,,0.7,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,59,Eponges ; communes,,93222,15537,,93222,Kilo,,,,6,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,59,Eponges ; fines,,55140,2757,,55140,Kilo,,,,20,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,117,Térébenthine ; compacte,,61849,309248,,61849,Kilo,,,,0.2,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,119,Térébenthine ; liquide,,451,3004,,451,Kilo,,,,0.15,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,119,Térébenthine ; essence,,648168,925955,,648168,Kilo,,,,0.7,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,121,Résineux exotiques ; Scammonée,,17480,437,,17480,Kilo,,,,40,,,,
