numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,total,quantity_unit,remarks,doubleaccounts
1,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Acier,Espagne,2292,6550,22242,livres,,0
2,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Acier,Etats-Unis,2856,57,22242,barils,,0
3,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Acier,Isles,8364,21662,22242,livres,,0
4,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Acier,Levant,2080,5945,22242,livres,,0
5,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Acier,Suisse,6650,19000,22242,livres,,0
6,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Agneaux,Savoye,3340,1670,3340,en nombre,,0
7,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Aiguilles,Flandre,1750,,1750,,,0
8,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Ajustements,Allemagne,6222,,11787,,,0
9,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Ajustements,Angleterre,4510,,11787,,,0
10,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Ajustements,Flandre,1055,,11787,,,0
11,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Alun,Danemark,2396,11980,19309,livres,,0
12,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Alun,Espagne,1529,7645,19309,livres,,0
13,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Alun,Hollande,8202,41010,19309,livres,,0
14,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Alun,Italie,1155,5776,19309,livres,,0
15,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Alun,Savoye,2437,12185,19309,livres,,0
16,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Alun,Suisse,3590,14360,19309,livres,,0
17,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Amandes,Danemark,33154,165770,436794,livres,,0
18,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Amandes,Espagne,15261,76309,436794,livres,,0
19,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Amandes,Gènes,13300,66500,436794,livres,,0
20,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Amandes,Hollande,136690,682950,436794,livres,,0
21,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Amandes,Isles,44600,223000,436794,livres,,0
22,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Amandes,Italie,3702,18514,436794,livres,,0
23,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Amandes,Levant,44873,224365,436794,livres,,0
24,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Amandes,Nord,80176,400880,436794,livres,,0
25,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Amandes,Savoye,33906,97634,436794,livres,,0
26,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,4,Amandes,Suède,31132,155660,436794,livres,,0
27,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Amidon,Flandre,35694,118180,43104,livres,,0
28,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Amidon,Isles,7410,37050,43104,livres,,0
29,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Anchois,Danemark,1468,4894,36025,livres,,0
30,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Anchois,Espagne,1510,6041,36025,livres,,0
31,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Anchois,Hollande,18593,44407,36025,livres,,0
32,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Anchois,Isles,3832,5110,36025,flacons,,0
33,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Anchois,Italie,5460,910,36025,barils,,0
34,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Anchois,Nord,2510,5020,36025,livres,,0
35,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Anchois,Suède,2652,5304,36025,livres,,0
36,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Anis,Savoye,1707,8535,3652,livres,,0
37,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Anis,Suède,1945,9725,3652,livres,,0
38,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Antimoine,Hollande,16800,42000,16800,livres,,0
39,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Aracq,Etats-Unis,7790,779,7790,veltes,,0
40,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Arbres ; à planter,Allemagne,5438,,6452,,,0
41,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Arbres ; à planter,Nord,1014,,6452,,,0
42,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Ardoises,Allemagne,8431,266.25,44655,milliers,,0
