numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte
1,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,87,Agrès de vaisseaux,,200,103,St Malo,,en nombre,,,,,,,0
2,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Cayenne et Guyane,,87,Argenterie et bijouterie,,400,,Paris,,,,,,,,,0
3,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,87,Armes à feu (en fusils),,13000,1300,Ostende,,en nombre,,,,,,,0
4,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,87,Fusils,,15600,1300,Hollande,,en nombre,,,,,,,0
5,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,87,Armes blanches (sabres),,2100,700,Hollande,,en nombre,,,,,,,0
6,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,87,Sabres,,1500,600,Angleterre,,en nombre,,,,,,,0
7,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,87,Beurre,,1975,3950,Bretagne,,livres,3525,,,,,,0
8,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Cayenne et Guyane,,87,Beurre,,1550,3100,Bretagne,,livres,3525,,,,,,0
9,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,87,Beurre,,400,800,Bretagne,,livres,,,,,,,0
10,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,87,Bière,,6200,97,Hollande,,muids,,,,,,,1
11,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,87,Bière,,6200,144,Hollande,,pintes,,,,,,,2
12,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,87,Bière,,6200,700,Hollande,,bouteilles,,,,,,,2
13,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,87,Bière,,200,3,Hollande,,muids,,,,,,,1
14,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,87,Bière,,200,96,Hollande,,pintes,,,,,,,2
15,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Cayenne et Guyane,,87,Bijouterie,,5700,,Paris,,,,,,,,,0
16,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,87,Bois feuillard,,31516,14007,Dieppe,,paquets,,,,,,,0
17,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,87,Bois ozier,,124,62000,Bayonne,,paquets,,,,,,,0
18,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,87,Bonneterie de fil (en bas),,5712,119,,,douzaines,11376,,,,,,0
19,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,87,Bonneterie de fil (en bas),,5664,118,,,douzaines,11376,,,,,,0
20,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,87,Bonnets de laine communs,,2664,222,Angleterre,,douzaines,,,,,,,0
21,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Cayenne et Guyane,,87,Bas de soye,,400,8,Lyon,,livres,,,,,,,0
22,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,87,Bray gras et goudrons,,96,800,Suède,,livres,,,,,,,0
23,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Cayenne et Guyane,,87,Brosserie,,158,,,,,,,,,,,0
24,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,87,Caves de 6 flacons,,7872,1312,Ostende,,en nombre,,,,,,,0
25,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,87,Bœuf en daube,,682,910,St Malo,,livres,4042,,,,,,0
26,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Cayenne et Guyane,,87,Bœuf en daube,,3360,4480,St Malo,,livres,4042,,,,,,0
27,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,87,Bœuf salé,,212,529,Angleterre,,livres,,,,,,,0
28,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,87,Bœuf salé,,11839,29597,Angleterre,,livres,,,,,,,0
29,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Cayenne et Guyane,,87,Jambon,,360,360,St Malo,,livres,,,,,,,0
30,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,87,Lard salé,,400,1000,St Malo,,livres,,,,,,,0
31,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,87,Lard salé,,2464,6160,St Malo,,livres,,,,,,,0
32,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,87,Lard salé,,5624,14060,Angleterre,,livres,7064,,,,,,0
33,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Cayenne et Guyane,,87,Lard salé,,1440,3600,Angleterre,,livres,7064,,,,,,0
34,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,87,Lard salé,,4920,12300,Angleterre,,livres,,,,,,,0
35,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Cayenne et Guyane,,87,Chapeaux fins,,2304,24,Paris,,douzaines,,,,,,,0
36,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,87,Chapeaux à nègres,,7785,3966,Caen,,en nombre,,,,,,,0
37,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,87,Chapeaux à nègres,,3180,1590,Rouen,,en nombre,,,,,,,0
38,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,87,Chaux,,576,72,St Servan,,barriques,,,,,,,0
39,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,88,Cidre,,110,240,Bayonne,,pintes,,,,,,,0
40,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,88,Cidre,,48,1,Bretagne,,muids,,,,,,,1
41,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,88,Cidre,,48,192,Bretagne,,pintes,,,,,,,2
42,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,88,Confitures liquides,,150,150,St Malo,,livres,,,,,,,0
43,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,88,Corail,,8700,,Marseille,,,,,,,,,0
44,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,88,Couteaux flamands,,18915,6305,Hollande,,douzaines,,,,,,,0
45,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,88,Couvertures de laine,,150,15,Angleterre,,en nombre,,,,,,,0
46,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,88,Couvertures de laine,,120,11,Rouen,,en nombre,,,,,,Doute sur l'origine,0
47,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,88,Cuivre ouvré,,728,,Hollande,,,,,,,,,0
48,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,88,Cuivre en feuille,,1188,660,Angleterre,,livres,,,,,,,0
49,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Cayenne et Guyane,,88,Dorure fine,,30,6,Paris,,onces,,,,,,,0
50,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,88,Dorure fausse,,2232,126,Paris,,livres,,,,,,,1
51,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,88,Dorure fausse,,2232,13,Paris,,onces,,,,,,,2
52,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,88,Drap,,5000,500,Angleterre,,aunes,,,,,,,0
53,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,88,Drap,,16461,1829,Carcassonne,,aunes,,,,,,,0
54,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,88,Drap,,5440,1360,Beauvais,,aunes,,,,,,,0
55,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Cayenne et Guyane,,88,Drap,,225,9,Louviers,,aunes,,,,,,,0
56,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,88,Drap rouge bariolé,,300,20,Hollande,,aunes,,,,,,,0
57,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,88,Drogues pour la peinture et la teinture,,1400,,,,,,,,,,,0
58,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,88,Eau de lavande,,250,50,Montpellier,,bouteilles,,,,,,,0
59,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,88,Eau de vie,,22870,127,Bordeaux,,muids,,,,,,,1
60,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,88,Eau de vie,,22870,16,Bordeaux,,pintes,,,,,,,2
61,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Cayenne et Guyane,,88,Epicerie (en poivre),,260,130,,,livres,,,,,,,0
62,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,88,Etoffes bayette de laine,,2876,16,Hollande,,pièces,,,,,,,0
63,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,88,Etoffes bayette de laine,,2876,719,Hollande,,aunes,,,,,,,0
64,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,88,Etoffes serge,,1610,644,,,aunes,,,,,,,0
65,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,88,Etoffes diverses de soye,,9340,,,,,,,,,,,0
66,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,88,Etoffes de soye,,264,,Indes,,,,,,,,,0
67,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,88,Etoffes diverses peintes,,497,,Nîmes,,,,,,,,,0
