numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal₁,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks
1,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Argent monnoyé,Possessions Espagnoles,265433,,,,,380183,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
2,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Argent monnoyé,Possessions Anglaises,10500,,,,,380183,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
3,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Argent monnoyé,Possessions Hollandaises,104250,,,,,380183,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
4,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bestiaux,Possessions des États-Unis de l'Amérique,776577,,,,,1014500,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
5,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bestiaux,Possessions Espagnoles,182343,,,,,1014500,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
6,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bestiaux,Possessions Portugaises,29750,,,,,1014500,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
7,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bestiaux,Possessions Anglaises,1000,,,,,1014500,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
8,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bestiaux,Possessions Danoises,16208,,,,,1014500,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
9,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bestiaux,Possessions Hollandaises,8622,,,,,1014500,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
10,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bêtes de somme,Possessions des États-Unis de l'Amérique,1246770,,,,,2429102,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
11,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bêtes de somme,Possessions Espagnoles,921768,,,,,2429102,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
12,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bêtes de somme,Possessions Portugaises,10100,,,,,2429102,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
13,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bêtes de somme,Possessions Anglaises,40004,,,,,2429102,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
14,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bêtes de somme,Possessions Danoises,12000,,,,,2429102,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
15,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bêtes de somme,Possessions Hollandaises,198460,,,,,2429102,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
16,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Chairs salées,Possessions des États-Unis de l'Amérique,734815,,,,,953078,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
17,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Chairs salées,Possessions Espagnoles,12342,,,,,953078,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
18,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Chairs salées,Possessions Anglaises,139430,,,,,953078,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
19,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Chairs salées,Possessions Danoises,20328,,,,,953078,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
20,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Chairs salées,Possessions suédoises,1160,,,,,953078,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
21,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Chairs salées,Possessions Hollandaises,45003,,,,,953078,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
22,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Charbon de terre,Possessions des États-Unis de l'Amérique,68750,,,,,71870,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
23,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Charbon de terre,Possessions Anglaises,3120,,,,,71870,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
24,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Cuirs en poil,Possessions des États-Unis de l'Amérique,34500,,,,,316802,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
25,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Cuirs en poil,Possessions Espagnoles,256356,,,,,316802,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
26,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Cuirs en poil,Possessions Portugaises,2310,,,,,316802,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
27,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Cuirs en poil,Possessions Danoises,21450,,,,,316802,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
28,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Cuirs en poil,Possessions Hollandaises,2186,,,,,316802,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
29,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bois de toute sorte,Possessions Espagnoles,822219,,,,,899456,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
30,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bois de toute sorte,Possessions des États-Unis de l'Amérique,23216,,,,,899456,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
31,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bois de toute sorte,Possessions Anglaises,11455,,,,,899456,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
