numrodeligne,dataentryby,source,year,sheet,exportsimports,direction,pays,marchandises,quantit,quantity_unit,value,remarks
1,Demba,AN F12 835,10 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Bas de laine en Coton,"4 500,00",livres,34 000,
2,Demba,AN F12 835,11 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Draperie de laine,"6 670,00",livres,67 000,
3,Demba,AN F12 835,12 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Etoffes de laine,"10 485,00",livres,79 000,
4,Demba,AN F12 835,13 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Etoffes de Coton,"18 274,00",livres,274 000,
5,Demba,AN F12 835,14 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Toiles de Bazin,"3 970,00",livres,48 000,
6,Demba,AN F12 835,15 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Toiles de coton,"28 704,00",livres,169 000,
7,Demba,AN F12 835,16 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Mousselines,"334,00",pièces,20 000,pièces pesant 900 livres
8,Demba,AN F12 835,17 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Fayence,,valeur,22 000,
9,Demba,AN F12 835,18 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Mercerie,"5 000,00",livres,13 000,
10,Demba,AN F12 835,19 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Peaux diverses,"35 700,00",livres,89 000,
11,Demba,AN F12 835,20 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Quincaillerie comune,"6 245,00",livres,12 000,
12,Demba,AN F12 835,21 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Tabac en feuilles,"108 720,00",livres,38 000,
13,Demba,AN F12 835,22 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Cacao,"15 300,00",livres,20 000,
14,Demba,AN F12 835,23 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Minium,"3 200,00",livres,13 000,
15,Demba,AN F12 835,24 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,huile de morue,"45 750,00",livres,30 000,
16,Demba,AN F12 835,25 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Poivre en Grains,"7 760,00",livres,11 000,
17,Demba,AN F12 835,26 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Charbon de terre,"1 174 400,00",livres,12 000,
18,Demba,AN F12 835,27 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Fer blanc,"20 000,00",livres,10 000,
19,Demba,AN F12 835,28 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Plomb,"66 100,00",livres,13 000,
20,Demba,AN F12 835,29 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Morue Seche,"214 000,00",livres,43 000,
21,Demba,AN F12 835,30 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Marchandises diverses dont le plus fort article n'excede pas 10000 livres,,valeur,16 000,
22,Demba,AN F12 835,31 mars-31 décembre 1787,18,Exports,Béarn,Angleterre,Eau de vie,"60,94",muids,7 000,
23,Demba,AN F12 835,32 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Bonneterie diverse,,valeur,26 000,
24,Demba,AN F12 835,33 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Draperie,,valeur,148 000,
25,Demba,AN F12 835,34 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Etoffes diverses,,valeur,550 000,
26,Demba,AN F12 835,35 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Gazes,,valeur,16 000,
