numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,quantity_unit,total,leurvaleursubtotal_1,leurvaleursubtotal_2,remarks,doubleaccounts
1,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Acier,Espagne,3354,9583,livres,33490,,,,0
2,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Acier,Flandre,1391,3975,livres,33490,,,,0
3,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Acier,Hollande,3850,11000,livres,33490,,,,0
4,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Acier,Levant,2322,6635,livres,33490,,,,0
5,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Acier,Savoye,3202,9150,livres,33490,,,,0
6,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Acier,Suisse,5950,17000,livres,33490,,,,0
7,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Acier,Etats unis,4777,13650,livres,33490,,,,0
8,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Acier,Isles,4961,14000,livres,33490,,,,0
9,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Acier,Guinée,3683,10525,livres,33490,,,,0
10,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Agneaux,Savoye,3106,1553,en nombre,,,,,0
11,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Agréments,Angleterre,2300,,,3714,,,,0
12,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Agréments,Isles,1414,177,livres,3714,,,,0
13,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Ajustements,Allemagne,7899,,,51869,,,,0
14,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Ajustements,Flandre,2180,,,51869,,,,0
15,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Ajustements,Isles,41790,1393,pièces,51869,,,,0
16,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Alembics,Isles,1236,950,livres,,,,,0
17,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Aloes,Suisse,1756,878,livres,,,,,0
18,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Alun,Espagne,1126,5630,livres,23630,,,,0
19,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Alun,Hollande,2644,13220,livres,23630,,,,0
20,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Alun,Italie,5909,29547,livres,23630,,,,0
21,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Alun,Naples,1437,7188,livres,23630,,,,0
22,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Alun,Levant,7450,37252,livres,23630,,,,0
23,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Alun,Nord,1454,7270,livres,23630,,,,0
24,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Alun,Savoye,1205,6028,livres,23630,,,,0
25,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Alun,Suede,1086,5430,livres,23630,,,,0
26,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,3,Alun,Suisse,1319,5278,livres,23630,,,,0
27,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,5,Amandes,Allemagne,2371,5789,livres,360296,,,,0
28,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,5,Amandes,Angleterre,2576,46,balles,360296,,,,0
29,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,5,Amandes,Danemark,17268,86340,livres,360296,,,,0
30,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,5,Amandes,Espagne,17991,89955,livres,360296,,,,0
31,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,5,Amandes,Hollande,69889,349447,livres,360296,,,,0
32,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,5,Amandes,Italie,6971,34855,livres,360296,,,,0
33,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,5,Amandes,Genes,7344,36724,livres,360296,,,,0
34,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,5,Amandes,Levant,14599,72997,livres,360296,,,,0
35,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,5,Amandes,Nord,65841,329206,livres,360296,,,,0
36,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,5,Amandes,Savoye,45553,131517,livres,360296,,,,0
37,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,5,Amandes,Suede,48050,239995,livres,360296,,,,0
38,Milewski,AN F12 246,National/Objet Général/AN Paris/F_12_246_1778/1778.csv,Objet Général,1778,Exports,5,Amandes,Isles,60003,299249,livres,360296,,,,0
