numrodeligne,dataentryby,source,sourcepath,sourcetype,direction,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,1,1751,Exports,Acier,Marseille,Angleterre,"4 947,00",Livres,"0,350","1 731,00","0,45",
2,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,1,1751,Sortie,Amidon,Marseille,Angleterre,"200,00",Livres,"0,200","40,00","0,00",
3,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,1,1751,Sortie,Anis,Marseille,Angleterre,"115,00",Livres,"0,200","23,00","0,00",
4,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,1,1751,Sortie,Arquifou,Marseille,Angleterre,"180 000,00",Livres,"0,150","27 000,00","0,00",
5,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,1,1751,Sortie,Batanonis,Marseille,Angleterre,"295,00",Pieces,"4,000","1 180,00","0,00",
6,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,1,1751,Sortie,Bonnets de laine,Marseille,Angleterre,"180,00",Douzaines,"30,000","5 400,00","0,00",
7,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,1,1751,Sortie,Bouchons de liege,Marseille,Angleterre,"200,00",Livres,"3,000","600,00","0,00",
8,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,1,1751,Sortie,Bray,Marseille,Angleterre,"6 650,00",Livres,"0,150","997,00","0,50",
9,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,1,1751,Sortie,Cacao,Marseille,Angleterre,"240,00",Livres,"1,400","336,00","0,00",
10,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,1,1751,Sortie,Caffé,Marseille,Angleterre,"550,00",Livres,"1,500","825,00","0,00",
11,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,1,1751,Sortie,Chaises de paille,Marseille,Angleterre,"35,00",Douzaines,"15,000","525,00","0,00",
12,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,1,1751,Sortie,Chandelles,Marseille,Angleterre,"167,00",Livres,"0,450","75,00","0,15",
