,Entré par,Source,,,Page,Année,Export/Export,Nom Marchandise,Direction,Pays/Région,Quantité,Unité de poids/quantité,Prix unitaire en  Lt (décimale),Valeur transcrite,Différence,Remarques
1,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Acier,Marseille,Angleterre,"3 000,00",livres,"0,3500","1 050,000","0,00",
2,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Ajamis,Marseille,Angleterre,"100,00",pièces,"9,0000","900,000","0,00",
3,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Alun,Marseille,Angleterre,"32 130,00",livres,"0,2000","6 426,000","0,00",
4,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Amandes,Marseille,Angleterre,"2 782,00",livres,"0,2000","556,000","-0,40",
5,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Amidon,Marseille,Angleterre,"1 036,00",livres,"0,2000","207,000","-0,20",
6,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Bas de coton,Marseille,Angleterre,"100,00",livres,"5,0000","500,000","0,00",
7,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Bas de soye,Marseille,Angleterre,"50,00",livres,"40,0000","2 000,000","0,00",
8,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Beuf salé,Marseille,Angleterre,"26,00",barils,"60,0000","1 560,000","0,00",
9,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Bled froment,Marseille,Angleterre,"1 250,00",charges,"24,0000","30 000,000","0,00",
10,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Bois fustel,Marseille,Angleterre,"2 017,00",livres,"0,1000","201,000","-0,70",
