numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Anthony Rebours,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Marseille – Sorties – 1761.csv,Local,Exports,1,1761,Bas de soie,Marseille,Angleterre,"200,00",Livres,"40,000","8 000,00","0,00",
2,Anthony Rebours,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Marseille – Sorties – 1761.csv,Local,Exports,1,1761,Bœuf salé,Marseille,Angleterre,"2500,00",Livres,"0,250","625,00","0,00",
3,Anthony Rebours,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Marseille – Sorties – 1761.csv,Local,Exports,1,1761,Biscuits de mer,Marseille,Angleterre,"3000,00",Livres,"0,150","450,00","0,00",
4,Anthony Rebours,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Marseille – Sorties – 1761.csv,Local,Exports,1,1761,Bouchons de liège,Marseille,Angleterre,"600,00",Livres,"3,000","1 800,00","0,00",
5,Anthony Rebours,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Marseille – Sorties – 1761.csv,Local,Exports,1,1761,Capres,Marseille,Angleterre,"1150,00",Livres,"0,300","345,00","0,00",
6,Anthony Rebours,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Marseille – Sorties – 1761.csv,Local,Exports,1,1761,Carreaux de briques,Marseille,Angleterre,"1,00",Milliers,"20,000","20,00","0,00",
7,Anthony Rebours,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Marseille – Sorties – 1761.csv,Local,Exports,1,1761,Chaises de paille,Marseille,Angleterre,"37,00",Douzaines,"10,000","370,00","0,00",
8,Anthony Rebours,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Marseille – Sorties – 1761.csv,Local,Exports,1,1761,Chandelle,Marseille,Angleterre,"1300,00",Livres,"0,400","520,00","0,00",
9,Anthony Rebours,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Marseille – Sorties – 1761.csv,Local,Exports,1,1761,Cire blanche,Marseille,Angleterre,"100,00",Livres,"2,000","200,00","0,00",
10,Anthony Rebours,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Marseille – Sorties – 1761.csv,Local,Exports,1,1761,Cochon salé,Marseille,Angleterre,"5800,00",Livres,"0,350","2 030,00","0,00",
11,Anthony Rebours,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Marseille – Sorties – 1761.csv,Local,Exports,1,1761,Confitures,Marseille,Angleterre,"1000,00",Livres,"1,000","1 000,00","0,00",
12,Anthony Rebours,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Marseille – Sorties – 1761.csv,Local,Exports,1,1761,Couffes à boulanger,Marseille,Angleterre,"50,00",Douzaines,"18,000","900,00","0,00",
13,Anthony Rebours,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Marseille – Sorties – 1761.csv,Local,Exports,1,1761,Eau de vie,Marseille,Angleterre,"12000,00",Livres,"0,150","1 800,00","0,00",
14,Anthony Rebours,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Marseille – Sorties – 1761.csv,Local,Exports,1,1761,Echalottes,Marseille,Angleterre,"800,00",Livres,"0,100","80,00","0,00",
