Data entry by,Source,Year,Sheet,Marchandises,Pays,Quantité,Leur valeur,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),Total,Remarks,
Fatima zahra,,1775,2,Acier,Allemagne,162 831,55 719,,,459 959,,
Fatima zahra,,1775,2,Acier,Danemark,8 086,2 829,,,459 959,,
Fatima zahra,,1775,2,Acier,Espagne,11 535,4 036,,,459 959,,
Fatima zahra,,1775,2,Acier,Flandre,16 840,5 894,,,459 959,,
Fatima zahra,,1775,2,Acier,Hollande,586 132,207 058,,,459 959,,
Fatima zahra,,1775,2,Acier,Italie,135 670,47 484,,,459 959,,
Fatima zahra,,1775,2,Acier,Genes,5 000,1 750,,,459 959,,
Fatima zahra,,1775,2,Acier,Nord,24 885,8 709,,,459 959,,
Fatima zahra,,1775,2,Acier,Suede,334 748,117 433,,,459 959,,
Fatima zahra,,1775,2,Acier,Suisse,25 850,9 047,,,459 959,,
Fatima zahra,,1775,2,Agaric,Hollande,726,1 239,,,,,
Fatima zahra,,1775,2,Agneaux,Savoye,455,1 900,,,,,
Fatima zahra,,1775,2,Aiguilles,Allemagne,93 232,213 714,,,228 212,,
Fatima zahra,,1775,2,Aiguilles,Flandre,2 922,14 498,,,228 212,,
Fatima zahra,,1775,2,Ails,Espagne,15 173,3 034,,,4 936,,
Fatima zahra,,1775,2,Ails,Genes,38 050,1 902,,,4 936,,
Fatima zahra,,1775,2,Aloes,Flandre,3 925,5 887,,,23 496,,
Fatima zahra,,1775,2,Aloes,Hollande,4 967,5 121,,,23 496,,
Fatima zahra,,1775,2,Aloes,Savoye,1 000,1 500,,,23 496,,
Fatima zahra,,1775,2,Aloes,Indes,5 494,10 988,,,23 496,,
Fatima zahra,,1775,2,Alun,Allemagne,56 722,11 709,,,396 765,,
Fatima zahra,,1775,2,Alun,Angleterre,415 733,81 346,,,396 765,,
Fatima zahra,,1775,2,Alun,Espagne,66 560,13 312,,,396 765,,
Fatima zahra,,1775,2,Alun,Flandre,142 570,28 514,,,396 765,,
Fatima zahra,,1775,2,Alun,Hollande,264 502,69 456,,,396 765,,
Fatima zahra,,1775,2,Alun,Italie,405 170,81 034,,,396 765,,
Fatima zahra,,1775,2,Alun,Levant,50 550,10 110,,,396 765,,
Fatima zahra,,1775,2,Alun,Nord,115 280,23 056,,,396 765,,
Fatima zahra,,1775,2,Alun,Savoye,26 650,5 330,,,396 765,,
Fatima zahra,,1775,2,Alun,Suede,364 490,72 898,,,396 765,,
