Data entry by,Source,Objet général,Year,Exports-Imports,Sheet,Marchandises,Pays,Quantité,Leur valeur,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),Total,Remarks
Fatima zahra,AN F12 242,Objet général,1775,Exports,3,Acier,Angleterre,4500.00,1575.00,,,98192.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,3,Acier,Espagne,51335.00,17967.00,,,98192.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,3,Acier,Suisse,17020.00,5957.00,,,98192.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,3,Acier,Isles,39258.00,14588.00,,,98192.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,3,Acier,Guinée,6935.00,2524.00,,,98192.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,3,Acier,Indes,162560.00,55581.00,,,98192.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,3,Agaric,Italie,8460.00,21150.00,,,,
Fatima zahra,AN F12 242,Objet général,1775,Exports,3,Agneaux,Savoye,863.00,1926.00,,,,
Fatima zahra,AN F12 242,Objet général,1775,Exports,3,Agréments,Allemagne,36.00,1440.00,,,5790.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,3,Agréments,Flandre,87.00,4350.00,,,5790.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,3,Ajustements,Allemagne,,4838.00,,,9918.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,3,Ajustements,Angleterre,,3480.00,,,9918.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,3,Ajustements,Russie,,1600.00,,,9918.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,3,Alun,Espagne,17735.00,3547.00,,,71023.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,3,Alun,Hollande,11200.00,2240.00,,,71023.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,3,Alun,Italie,72020.00,14404.00,,,71023.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,3,Alun,Levant,192975.00,38595.00,,,71023.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,3,Alun,Nord,39030.00,7806.00,,,71023.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,3,Alun,Savoye,10570.00,2114.00,,,71023.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,3,Alun,Suisse,10300.00,2317.00,,,71023.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Amandes,Angleterre,7000.00,1400.00,,,254793.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Amandes,Espagne,34000.00,6800.00,,,254793.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Amandes,Hollande,121295.00,24259.00,,,254793.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Amandes,Italie,126575.00,25315.00,,,254793.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Amandes,Naples,26640.00,5328.00,,,254793.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Amandes,Genes,71563.00,14312.00,,,254793.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Amandes,Venise,41765.00,8353.00,,,254793.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Amandes,Levant,74135.00,14827.00,,,254793.00,
