numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,remarks
1,Demba,Fonds Gournay - M86,National toutes directions partenaires manquantsSaint-Brieuc/1751 (-).csv,National toutes directions partenaires manquants,1751,Imports,Flandre,2,Acacia ; germanica,Flandre autrichienne,25,12.5,livres,2,
2,Demba,Fonds Gournay - M86,National toutes directions partenaires manquantsSaint-Brieuc/1751 (-).csv,National toutes directions partenaires manquants,1751,Imports,Flandre,2,Agaric,Flandre autrichienne,156,52,livres,3,
3,Demba,Fonds Gournay - M86,National toutes directions partenaires manquantsSaint-Brieuc/1751 (-).csv,National toutes directions partenaires manquants,1751,Imports,Flandre,2,Aiguilles ; à coudre,Flandre autrichienne,17585,3517,livres,5,
4,Demba,Fonds Gournay - M86,National toutes directions partenaires manquantsSaint-Brieuc/1751 (-).csv,National toutes directions partenaires manquants,1751,Imports,Flandre,2,Aloës,Flandre autrichienne,269,77,livres,3.5,
5,Demba,Fonds Gournay - M86,National toutes directions partenaires manquantsSaint-Brieuc/1751 (-).csv,National toutes directions partenaires manquants,1751,Imports,Flandre,2,Alun,Flandre autrichienne,100,500,livres,.2,
6,Demba,Fonds Gournay - M86,National toutes directions partenaires manquantsSaint-Brieuc/1751 (-).csv,National toutes directions partenaires manquants,1751,Imports,Flandre,2,Ambre,Flandre autrichienne,3,1,livres,3,
7,Demba,Fonds Gournay - M86,National toutes directions partenaires manquantsSaint-Brieuc/1751 (-).csv,National toutes directions partenaires manquants,1751,Imports,Flandre,3,Anchois,Flandre autrichienne,126,7,barils,18,
8,Demba,Fonds Gournay - M86,National toutes directions partenaires manquantsSaint-Brieuc/1751 (-).csv,National toutes directions partenaires manquants,1751,Imports,Flandre,3,Anchois,Flandre autrichienne,1,1,pot,1,
9,Demba,Fonds Gournay - M86,National toutes directions partenaires manquantsSaint-Brieuc/1751 (-).csv,National toutes directions partenaires manquants,1751,Imports,Flandre,3,Anchois,Flandre autrichienne,132,165,livres,.8,
10,Demba,Fonds Gournay - M86,National toutes directions partenaires manquantsSaint-Brieuc/1751 (-).csv,National toutes directions partenaires manquants,1751,Imports,Flandre,3,Antimoine,Flandre autrichienne,6,25,livres,.25,
11,Demba,Fonds Gournay - M86,National toutes directions partenaires manquantsSaint-Brieuc/1751 (-).csv,National toutes directions partenaires manquants,1751,Imports,Flandre,3,Arbres ; à planter,Flandre autrichienne,56,,,,
