Direction\Année,Objets,Objet général,Résumé,Tableau décennal,Tableau des quantités,Tableau des marchandises,Tableau général,National par direction par partenaire,National par direction par partenaire par produit,Colonies,Bayonne,Bordeaux,Bordeaux,Caen,"Grenoble, Lyon, Valence",La Rochelle,La Rochelle,Marseille,Montpellier,Rennes,Rennes,Rouen,,Autres_imports
imports exports,imports exports,imports exports,imports exports,imports exports,imports exports,imports exports,imports exports,imports exports,imports exports,imports exports,imports exports,Imports,Exports,imports exports,exports,imports,exports,imports exports,imports exports,imports,exports,imports exports,,
1671,0,0,0,0,0,0,csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,pdf_Levant_ et_Barbarie
1709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,pdf_Levant_ et_Barbarie
1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,pdf_Levant_ et_Barbarie
1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,pdf_Levant_ et_Barbarie
1712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,pdf_Levant_ et_Barbarie
1713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,pdf_Levant_ et_Barbarie
1714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pdf,pdf,0,,pdf_Levant_ et_Barbarie
1715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,pdf_Levant_ et_Barbarie
1716,0,0,0,0,0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,pdf_Levant_ et_Barbarie
1717,0,0,0,0,0,0,csv pdf,0,0,0,0,0,pdf,0,0,0,0,0,0,0,0,0,,pdf_Levant_ et_Barbarie
1718,0,0,0,0,0,0,csv pdf,0,0,0,pdf,0,pdf,0,0,csv pdf,csv pdf,0,0,0,0,0,,pdf_Levant_ et_Barbarie
1719,0,0,0,0,0,0,csv pdf,0,0,0,0,pdf,pdf,0,0,csv pdf,csv pdf,0,0,0,0,0,,pdf_Levant_ et_Barbarie
1720,0,0,0,0,0,0,csv pdf,0,0,0,0,pdf,pdf,0,0,csv pdf,csv pdf,0,0,0,0,0,,pdf_Levant_ et_Barbarie
1721,0,0,0,0,0,0,csv pdf,0,0,0,0,pdf,pdf,0,0,csv pdf,csv pdf,0,0,0,0,0,,pdf_Levant_ et_Barbarie
1722,0,0,0,0,0,0,csv pdf,0,0,0,0,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,0,0,0,0,0,,pdf_Levant_ et_Barbarie
1723,0,0,0,0,0,0,csv pdf,0,0,0,0,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,0,0,0,0,0,,pdf_Levant_ et_Barbarie
1724,0,0,0,0,0,0,csv pdf,0,0,0,0,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,0,0,0,0,0,,pdf_Levant_ et_Barbarie
1725,0,0,0,0,0,0,csv pdf,0,0,0,0,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,0,0,0,,pdf_Levant_ et_Barbarie
1726,0,0,0,0,0,0,csv pdf,0,0,0,0,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,0,0,0,,pdf_Levant_ et_Barbarie
1727,0,0,0,0,0,0,csv pdf,0,0,0,0,0,0,0,0,csv accès en ligne,csv accès en ligne,pdf,0,0,0,0,,pdf_Levant_ et_Barbarie
1728,0,0,0,0,0,0,csv pdf,0,0,0,0,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,0,0,0,,pdf_Levant_ et_Barbarie
1729,0,0,0,0,0,0,csv pdf,0,0,0,0,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,0,0,0,,pdf_Levant_ et_Barbarie
1730,0,0,0,0,0,0,csv pdf,0,0,0,0,csv pdf,pdf,csv pdf,0,csv accès en ligne,csv accès en ligne,pdf,0,0,0,csv pdf,,pdf_Levant_ et_Barbarie
1731,0,0,0,0,0,0,csv pdf,0,0,0,0,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,0,0,0,,pdf_Levant_ et_Barbarie
1732,0,0,0,0,0,0,csv pdf,0,0,0,0,csv pdf,pdf,csv pdf,0,csv accès en ligne,csv accès en ligne,pdf,csv pdf,0,0,csv pdf,,pdf_Levant_ et_Barbarie
1733,0,0,0,0,0,0,csv pdf,0,0,0,0,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,csv pdf,0,0,0,,pdf_Levant_ et_Barbarie
1734,0,0,0,0,0,0,csv pdf,0,0,0,0,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,0,0,0,0,0,,pdf_Levant_ et_Barbarie
1735,0,0,0,0,0,0,csv pdf,0,0,0,0,csv pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,csv pdf,0,0,0,,pdf_Levant_ et_Barbarie
1736,0,0,0,0,0,0,csv pdf,0,0,0,0,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,csv pdf,0,0,0,,pdf_Levant_ et_Barbarie
1737,0,0,0,0,0,0,csv pdf,0,0,0,0,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,csv pdf,0,0,0,,pdf_Levant_ et_Barbarie
1738,0,0,0,0,0,0,csv pdf,0,0,0,0,csv pdf,pdf,csv pdf,0,csv accès en ligne,csv accès en ligne,pdf,csv pdf,0,0,csv pdf,,pdf_Levant_ et_Barbarie
1739,0,0,0,0,0,0,csv pdf,0,0,0,0,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,csv pdf,0,0,0,,pdf_Levant_ et_Barbarie
1740,0,0,0,0,0,0,csv pdf,0,0,0,0,csv pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,0,0,0,,pdf_Levant_ et_Barbarie
1741,0,0,0,0,0,0,csv pdf,0,0,0,0,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,0,0,0,,pdf_Levant_ et_Barbarie
1742,0,0,0,0,0,0,csv pdf,0,0,0,0,pdf,pdf,0,0,0,0,pdf,0,0,0,0,,pdf_Levant_ et_Barbarie
1743,0,0,0,0,0,0,csv pdf,0,0,0,0,pdf,pdf,0,0,0,0,pdf,0,0,0,0,,pdf_Levant_ et_Barbarie
1744,0,0,0,0,0,0,csv pdf,0,0,0,0,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,0,0,0,,pdf_Levant_ et_Barbarie
1745,0,0,0,0,0,0,csv pdf,0,0,0,0,csv pdf,pdf,0,0,0,0,pdf,0,0,0,0,,pdf_Levant_ et_Barbarie
1746,0,0,0,0,0,0,csv pdf,0,0,0,pdf,csv pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,pdf,pdf,0,,pdf_Levant_ et_Barbarie
1747,0,0,0,0,0,0,csv pdf,0,0,0,pdf,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,csv pdf,pdf,0,,pdf_Levant_ et_Barbarie
1748,0,0,0,0,0,0,csv pdf,0,0,0,pdf,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,0,0,0,,pdf_Levant_ et_Barbarie
1749,"pdf (Allemagne, Danemark, Espagne, Flandre, Portugal, Russie, Suède, Suisse)",0,0,0,0,0,csv pdf,0,csv pdf,0,pdf,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,pdf,pdf,0,,pdf_Levant_ et_Barbarie
1750,"pdf (Allemagne, Angleterre, Danemark, Espagne, Flandre, Guinée, Hollande, Îles Françaises, Italie, Levant, Nord, Portugal, Russie, Savoie, Suède, Suisse) + csv",0,0,0,0,0,csv pdf,0,csv pdf,0,pdf,csv pdf,pdf,0,0,csv pdf,csv pdf,pdf,0,csv pdf,pdf,0,,pdf_Levant_ et_Barbarie
1751,"pdf (Allemagne, Angleterre, Danemark, Espagne, Flandre, Hollande, Levant, Nord, Portugal, Russie, Suède)",0,0,0,0,0,csv pdf,0,csv pdf,0,pdf,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,pdf,pdf,0,,
1752,0,csv pdf,0,0,0,0,csv pdf,0,0,0,pdf,pdf,pdf,0,csv pdf ,csv accès en ligne,csv accès en ligne,pdf,0,pdf,pdf,0,,
1753,0,0,0,0,0,0,csv pdf,pdf,0,0,pdf,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,pdf,pdf,0,,
1754,0,csv pdf,0,0,0,0,csv pdf,pdf,pdf,0,pdf,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,pdf,pdf,0,,
1755,0,csv pdf,0,0,0,0,csv pdf,0,0,0,pdf,csv pdf,pdf,0,0,0,0,pdf,0,csv pdf,pdf,0,,
1756,0,csv pdf,0,0,0,0,csv pdf,pdf,0,0,pdf,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,pdf,pdf,0,,
1757,0,csv pdf,0,0,0,0,csv pdf,0,0,0,pdf,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,pdf,pdf,0,,
1758,0,csv pdf,0,0,0,0,csv pdf,0,0,0,pdf,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,pdf,pdf,0,,
1759,0,csv pdf,0,0,0,0,csv pdf,0,0,0,pdf,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,pdf,pdf,0,,
1760,0,csv pdf,0,0,0,0,csv pdf,0,0,0,pdf,csv pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,csv pdf,pdf,0,,
1761,0,csv pdf,0,0,0,0,csv pdf,0,0,0,pdf,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,pdf,pdf,0,,
1762,0,0,0,0,0,0,csv pdf,0,0,0,pdf,csv pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,csv pdf,pdf,0,,
1763,0,0,0,0,0,0,csv pdf,0,0,0,pdf,csv pdf,pdf,0,0,0,0,pdf,0,csv pdf,pdf,0,,
1764,0,0,0,0,0,0,csv pdf,0,0,0,pdf,pdf,pdf,0,0,csv accès en ligne,0,pdf,0,csv pdf,pdf,0,,
1765,0,0,0,0,0,0,csv pdf,0,0,0,pdf,csv pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,csv pdf,pdf,0,,
1766,0,0,0,0,0,0,csv pdf,pdf,0,0,pdf,csv pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,csv pdf,pdf,0,,
1767,0,csv pdf,0,0,0,0,csv pdf,0,0,0,pdf,csv pdf,pdf,pdf,0,csv accès en ligne,csv accès en ligne,pdf,0,csv pdf,pdf,pdf,,
1768,0,csv pdf,0,0,0,0,csv pdf,pdf,0,0,pdf,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,pdf,pdf,0,,
1769,0,csv pdf,0,0,0,0,csv pdf,0,0,0,pdf,csv pdf,pdf,csv pdf,0,csv accès en ligne,csv accès en ligne,pdf,0,csv pdf,pdf,csv pdf,,
1770,0,csv pdf,0,0,0,0,csv pdf,pdf,0,0,pdf,csv pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,pdf,pdf,0,,
1771,0,csv pdf,0,0,0,0,csv pdf,pdf,0,0,pdf,csv pdf,pdf,csv pdf,0,csv accès en ligne,csv accès en ligne,pdf,0,csv pdf,pdf,csv pdf,,
1772,0,csv pdf,0,0,0,0,csv pdf,0,0,0,pdf,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,pdf,pdf,0,,
1773,0,csv pdf,0,0,0,0,csv,pdf,0,0,pdf,pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,pdf,pdf,0,,
1774,0,csv pdf,0,0,0,0,csv,pdf,0,0,pdf,csv pdf,pdf,pdf,0,csv accès en ligne,csv accès en ligne,pdf,0,csv pdf,pdf,pdf,,
1775,0,csv pdf,0,0,0,0,csv,0,0,0,pdf,csv pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,pdf,pdf,0,,
1776,0,csv pdf,0,0,0,0,0,0,0,0,pdf,csv pdf,pdf,csv pdf,0,csv accès en ligne,csv accès en ligne,pdf,0,csv pdf,pdf,csv pdf,,
1777,0,csv pdf,0,0,0,0,csv,pdf,0,0,pdf,pdf,pdf,0,0,0,0,pdf,0,0,0,0,,
1778,0,csv pdf,0,0,0,0,csv,pdf,0,0,pdf,csv pdf,pdf,0,0,csv accès en ligne,csv accès en ligne,pdf,0,csv pdf,pdf,0,,
1779,0,csv pdf,0,0,0,0,csv,pdf,0,0,pdf,0,0,0,0,csv accès en ligne,csv accès en ligne,pdf,0,pdf,pdf,0,,
1780,0,csv pdf,0,0,0,0,csv,pdf,0,0,pdf,csv pdf,pdf,0,0,csv pdf,csv pdf,pdf,0,csv pdf,pdf,0,,
1781,0,0,0,0,0,0,csv,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1782,0,csv pdf,0,0,0,0,csv,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,"F_12_1835_Barbarie (balance du commerce avec les états de Barbarie), F_12_1835_Etats-Unis (Commerce et navigation avec les Etats-Unis 1782-1786)"
1783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,F_12_1835Angleterre (commere avec l'Angleterre à différentes époques depuis 1783 jusqu'en 1788 inclusivement) F_12_1835_Etats-Unis (Commerce et navigation avec les Etats-Unis 1782-1786)
