numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,bureaux,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Acier,Suede,13290,Livres,"0,28",3721,"-0,2",28 livres le quintal
2,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Amandes en coques,Marseille,1480,Livres,"0,5",740,0,50 livres le quintal
3,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Amandes en coques,Espagne,2614,Livres,"0,5",1307,0,51 livres le quintal
4,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Bois de sapin en planches,Dunkerque,320,Pièces,"1,5",480,0,
5,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Bois de sapin en planches,Prusse,2197,Nombre,"1,5",3295,"-0,5",
6,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Bois de sapin en planches, Suède,10608,Nombre,"1,5",15912,0,884 douzaines
7,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Bois en aviron,Ports et pays de France,42,Nombre,4,120,-48,erreur de calcul?
8,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Bois en poutre et solivaux de sapin,Prusse,,,,2056,,pas de prix
9,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Charbon de terre,Angleterre,510000,Livres,,12750,,pas de prix
10,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Coton filé,Marseille,245,Livres,6,1473,3,
