numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,probleme,prix_unitaire
1,Anthony Rebours,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National toutes directions partenaires manquants,1789,Imports,Toulon,Saint-Raphaël,5,Acier,Marseille,100,"3,32",Quintal,Unité d'origine Livre,"0,4",30
2,Anthony Rebours,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National toutes directions partenaires manquants,1789,Imports,Toulon,Cannes,8,Acier,Marseille,701,"23,37",Quintal,Unité d'origine Livre,"-0,1",30
3,Anthony Rebours,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National toutes directions partenaires manquants,1789,Imports,Toulon,Saint-Tropez,2,Amidon,Marseille,106,"3,55",Quintal,Unité d'origine Livre,"-0,5",30
4,Anthony Rebours,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National toutes directions partenaires manquants,1789,Imports,Toulon,Cannes,8,Amidon,Marseille,940,"31,31",Quintal,Unité d'origine Livre,"0,7",30
5,Anthony Rebours,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National toutes directions partenaires manquants,1789,Imports,Toulon,Saint-Tropez,2,Ardoises,Sardaigne,102,68,Nombre,,51,"0,75"
6,Anthony Rebours,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National toutes directions partenaires manquants,1789,Imports,Toulon,Cannes,8,Ardoises pour fenêtre,Gênes,435,580,Nombre,,0,"0,75"
7,Anthony Rebours,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National toutes directions partenaires manquants,1789,Imports,Toulon,Cannes,8,Ardoises pour fenêtre,Sardaigne,105,137,Nombre,,"2,25","0,75"
8,Anthony Rebours,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National toutes directions partenaires manquants,1789,Imports,Toulon,Cannes,8,Balais,Marseille,161,642,Nombre,,"0,5","0,25"
9,Anthony Rebours,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National toutes directions partenaires manquants,1789,Imports,Toulon,Barcelonette,13,Bestiaux; Agneaux,Etats du roi de Sardaigne,8364,1394,Nombre,,0,6
10,Anthony Rebours,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National toutes directions partenaires manquants,1789,Imports,Toulon,Entreveaux,15,Bestiaux; Agneaux,Etats du roi de Sardaigne,865,173,Nombre,,0,5
11,Anthony Rebours,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National toutes directions partenaires manquants,1789,Imports,Toulon,Barcelonette,13,Bestiaux; Brebis,Etats du roi de Sardaigne,47496,3958,Nombre,,0,12
12,Anthony Rebours,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National toutes directions partenaires manquants,1789,Imports,Toulon,Entreveaux,15,Bestiaux; Brebis,Etats du roi de Sardaigne,13959,1551,Nombre,,0,9
