numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,bureaux,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Acier commun,Lorraine,17370,Livres,"0,4",6948,0,
2,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Balais,Lorraine,,,,275,0,
3,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Bestiaux en bœufs,Lorraine,24,Nombre,200,4830,30,
4,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Bestiaux en moutons,Lorraine,36,Nombre,6,216,0,
5,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Bestiaux en vache,Lorraine,10,Nombre,100,1000,0,
6,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Bestiaux en veaux,Lorraine,11,Nombre,20,210,-10,
7,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Bois de sapin en planches,Lorraine,5162,Nombre,"0,6",3097,"-0,2",
8,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Bois de chene en planches,Lorraine,529,Nombre,"0,6",316,"-1,4",
9,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Bonneterie en bas de fil,Lorraine,48,Paires,"2,5",120,0,
10,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Cartes à jouer,Lorraine,1084,?,3,3252,0,
11,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Cendres gravelées,Lorraine,156294,Livres,"0,3",46887,"-1,2",30 livres le quintal
12,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Chaux,Lorraine,5711,Livres,"0,0225",128,"-0,5",
13,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Drogues medicinales boules d'acier,Lorraine,189,Livres,1,189,0,
14,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Eau de Bussan,Lorraine,625,Bouteilles,"0,6",376,1,
15,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Fayence,Lorraine,4300,Livres,"0,4",1720,0,40 livres le quintal
16,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Fer noir,Lorraine,17438,Livres,"0,3",5231,"-0,4",30 livres le quintal
