numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,sheet,marchandises,pays,quantit,quantity_unit,value,remarks
1,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,2,Argenterie,La Hollande,24,Mard,1200,Pas de prix unitaire
2,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,2,Batterie de cuisine,"La Suisse, les alliés et Genève",400,Livres,200,Pas de prix unitaire
3,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,2,Bette de somme en chevaux,Etats du roi de Sardaigne,2,Nombre ,1600,Pas de prix unitaire
4,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,2,Bette de somme en chevaux,L'Angleterre,48,Nombre ,38400,Pas de prix unitaire
5,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,2,Bijouterie,Etats du roi de Sardaigne,,,6200,Pas de prix unitaire
6,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,2,Cacao,L'Espagne et les Etats en dépendances,525,Livres,653,Pas de prix unitaire
7,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,2,Caffé,"Naples, Sicile et Parme",100,Livres,150,Pas de prix unitaire
8,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,2,Chocolat,L'Espagne et les Etats en dépendances,1898,Livres,7592,Pas de prix unitaire
9,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,2,Chocolat,Etats du roi de Sardaigne,407,Livres,1628,Pas de prix unitaire
10,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,2,Chocolat,"Milanès, Toscane et Lucques",80,Livres,320,Pas de prix unitaire
11,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,2,Chocolat,"Naples, Sicile et Parme",200,Livres,800,Pas de prix unitaire
12,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,2,Chocolat,Le Levant et l'empire Ottoman,100,Livres,400,Pas de prix unitaire
13,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,2,Drap de laine,L'Allemagne et la Pologne,,,500,Pas de prix unitaire
14,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,2,Drogues médicinalles en quinquina,L'Espagne et les Etats en dépendances,130,Livres,400,Pas de prix unitaire
15,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,2,Eau de fleur d'orange,Le Levant et l'empire Ottoman,670,Livres,1340,Pas de prix unitaire
16,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,3,Eau de vie ,L'Espagne et les Etats en dépendances,"5,42",Muids,1170,Pas de prix unitaire
17,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,3,Etoffe de soye,Etats du roi de Sardaigne,30,Livres,1500,Pas de prix unitaire
18,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,3,Etoffe de soye,L'Angleterre,5,Livres,260,Pas de prix unitaire
19,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,3,Fromage de gruyere,"La Suisse, les alliés et Genève",826,Livres,496,Pas de prix unitaire
20,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,3,Fruits confits en olives,L'Espagne et les Etats en dépendances,200,Livres,150,Pas de prix unitaire
21,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,3,Fruits cruds en oranges,Le Levant et l'empire Ottoman,3600,Nombre ,720,Pas de prix unitaire
22,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,3,Gaze de soye,Etats du roi de Sardaigne,574,Livres,420,Pas de prix unitaire
23,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,3,Instrumens de mathématique,L'Angleterre,,,200,Pas de prix unitaire
24,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,3,Liqueurs en maroquin,"Naples, Sicile et Parme",12,Flacons,144,Pas de prix unitaire
25,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,3,Marchandises meslés,L'Espagne et les Etats en dépendances,,,217,Pas de prix unitaire
26,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,3,Marchandises meslés,Le Portugal,,,75,Pas de prix unitaire
27,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,3,Marchandises meslés,Etats du roi de Sardaigne,,,431,Pas de prix unitaire
28,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,3,Marchandises meslés,L'Angleterre,,,340,Pas de prix unitaire
29,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,3,Marchandises meslés,L'Allemagne et la Pologne,,,50,Pas de prix unitaire
30,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,3,Marchandises meslés,"La Suisse, les alliés et Genève",,,108,Pas de prix unitaire
31,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,3,Meubles,La Hollande,,,7200,Pas de prix unitaire
32,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,3,Meubles,L'Allemagne et la Pologne,,,1800,Pas de prix unitaire
