numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,probleme,remarks
1,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,bœuf salé,Angleterre,,"284,00",barils,"35,0000000",,absence de prix
2,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,beure,Angleterre,,"44 700,00",livres,"0,4000000",,absence de prix
3,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,chandelle,Angleterre,,"700,00",livres,"0,4500000",,absence de prix
4,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,crin de cheval,Angleterre,,"900,00",livres,"0,3000000",,absence de prix
5,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,cuirs verts en poil,Angleterre,,"7 990,00",nombre,"25,0000000",,absence de prix
6,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,charbons de terre,Angleterre,,"110,00",tonneaux,"24,0000000",,absence de prix
7,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,charbons de terre,Angleterre,,"732,25",bariques,"12,0000000",,absence de prix
8,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,charbons de terre,Angleterre,,"170 225,00",livres,"0,0120000",,absence de prix
9,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,langues de bœuf,Angleterre,,"13,00",douzaines,"6,5000000",,absence de prix
10,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,laine peignée,Angleterre,,"43 511,00",livres,"1,5000000",,absence de prix
11,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,laine en suin,Angleterre,,"62 383,00",livres,"1,0000000",,absence de prix
12,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,plomb en saumons,Angleterre,,"834 925,00",livres,"2,1000000",,absence de prix
13,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,pierres à éguiser,Angleterre,,"40,00",nombre,"1,7500000",,absence de prix
14,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,saumon salé,Angleterre,,"1,00",baril,"60,0000000",,absence de prix
15,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,saumon salé,Angleterre,,"34,00",tiercons,"90,0000000",,absence de prix
16,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,suif,Angleterre,,"2 750,00",livres,"0,4300000",,absence de prix
17,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,amidon,Hollande,,"25 900,00",livres,"0,2800000",,absence de prix
18,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,argent vif,Hollande,,"195,00",livres,"6,0000000",,absence de prix
19,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,azur commun,Hollande,,"19 800,00",livres,"0,7000000",,absence de prix
20,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,anabas,Hollande,,"5 910,00",pièces,"0,0000000",,absence de prix
21,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,acier,Hollande,,"213,00",barils,"25,0000000",,absence de prix
22,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,aiguilles a voile,Hollande,,"1,00",milliers,"100,0000000",,absence de prix
23,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,ancres de fer,Hollande,,"64 775,00",livres,"0,2600000",,absence de prix
24,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,bœuf salé,Hollande,,"40,00",barils,"30,0000000",,absence de prix
25,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,beure,Hollande,,"48,00",livres,"0,3000000",,absence de prix
26,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,bierre,Hollande,,"503,50",barriques,"25,0000000",,absence de prix
27,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,bierre,Hollande,,"1,00",barils,"12,0000000",,absence de prix
28,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,bray gras,Hollande,,"20,00",barils,"18,0000000",,absence de prix
29,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,borax,Hollande,,"47,00",livres,"1,7500000",,absence de prix
30,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,baume de copahu,Hollande,,"58,00",livres,"1,5000000",,absence de prix
31,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,blanc de baleine,Hollande,,"30,00",livres,"4,2500000",,absence de prix
32,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,blanc de ceruse,Hollande,,"4 129,00",livres,"0,2325000",,absence de prix
33,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,boulange,Hollande,,"550,00",pièces,"7,2500000",,absence de prix
34,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,bayete,Hollande,,"2,00",pièces,"1,5000000",,absence de prix
35,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,bayete,Hollande,,"358,00",aunes,"1,5000000",,absence de prix
36,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,bajutapau,Hollande,,"150,00",pièces,"25,0000000",,absence de prix
37,Hasna,AD44 C706,Local/Nantes/Nantes - Imports – 1741.csv,Local,1741,Imports,Nantes,1,braule,Hollande,,"210,00",pièces,"4,2500000",,absence de prix
