numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,Unverified
1,Hasna,AD44 C716,Local/Nantes/Nantes – Imports – 1758.csv,Local,1758,Imports,Nantes,1,bœuf salé,Angleterre,"2 263,00",barils,"33,0000000",,,absence de prix,1
2,Hasna,AD44 C716,Local/Nantes/Nantes – Imports – 1758.csv,Local,1758,Imports,Nantes,1,beure,Angleterre,"26 000,00",livres,"0,3500000",,,absence de prix,1
3,Hasna,AD44 C716,Local/Nantes/Nantes – Imports – 1758.csv,Local,1758,Imports,Nantes,1,charbon de terre,Angleterre,"272,00",bariques,"10,0000000",,,absence de prix,1
4,Hasna,AD44 C716,Local/Nantes/Nantes – Imports – 1758.csv,Local,1758,Imports,Nantes,1,crin frisé,Angleterre,"1 830,00",livres,"0,6000000",,,absence de prix,1
5,Hasna,AD44 C716,Local/Nantes/Nantes – Imports – 1758.csv,Local,1758,Imports,Nantes,1,cuirs de bœuf en poil,Angleterre,"9 299,00",livres,"18,0000000",,,absence de prix,1
6,Hasna,AD44 C716,Local/Nantes/Nantes – Imports – 1758.csv,Local,1758,Imports,Nantes,1,farine,Angleterre,"7,00",barils,"20,0000000",,,absence de prix,1
7,Hasna,AD44 C716,Local/Nantes/Nantes – Imports – 1758.csv,Local,1758,Imports,Nantes,1,huile de rabette,Angleterre,"3 990,00",livres,"0,2500000",,,absence de prix,1
8,Hasna,AD44 C716,Local/Nantes/Nantes – Imports – 1758.csv,Local,1758,Imports,Nantes,1,laine filée,Angleterre,"400,00",livres,"2,0000000",,,absence de prix,1
9,Hasna,AD44 C716,Local/Nantes/Nantes – Imports – 1758.csv,Local,1758,Imports,Nantes,1,soude,Angleterre,"5 400,00",livres,"0,2500000",,,absence de prix,1
10,Hasna,AD44 C716,Local/Nantes/Nantes – Imports – 1758.csv,Local,1758,Imports,Nantes,1,ancres de fer,Espagne,"5 000,00",livres,"0,2500000",,,absence de prix,1
11,Hasna,AD44 C716,Local/Nantes/Nantes – Imports – 1758.csv,Local,1758,Imports,Nantes,1,cabillau,Espagne,"52 137,00",livres,"0,1000000",,,absence de prix,1
12,Hasna,AD44 C716,Local/Nantes/Nantes – Imports – 1758.csv,Local,1758,Imports,Nantes,1,ecaille de tortuë,Espagne,"140,00",livres,"8,0000000",,,absence de prix,1
13,Hasna,AD44 C716,Local/Nantes/Nantes – Imports – 1758.csv,Local,1758,Imports,Nantes,1,fer en barres,Espagne,"1 421 403,00",livres,"0,1500000",,,absence de prix,1
14,Hasna,AD44 C716,Local/Nantes/Nantes – Imports – 1758.csv,Local,1758,Imports,Nantes,1,fer plat,Espagne,"331 742,00",livres,"0,1250000",,,absence de prix,1
