numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,prix_unitaire,Valeur en Livres tournois,valeur en sous,valeur en denier,value,Valeur (Prix unitaire ,problem,remarks,Unverified
1,Matthias Loise,AD 44 C 717  ,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,1,Eau de vie,Angleterre,49,barriques,120,,,120,,,,,5880,,,
2,Matthias Loise,AD 44 C 717  ,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,1,Eau de vie,Angleterre,10550,veltes,4,,,4,,,,,42200,,,
3,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,1,Epicerie,Angleterre,450,livres,2,12,,"2,6",,,,,1170,,,
4,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,1,Fer en barres,Angleterre,36580,livres,,3,,"0,15",,,,,5487,,,
5,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,1,Fer en verges,Angleterre,8000,livres,,4,,"0,2",,,,,1600,,,
6,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,1,Mercerie,Angleterre,100,livres,2,,,2,,,,,200,,,
7,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,1,Sel,Angleterre,992,muides,50,,,50,,,,,49600,,,
8,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,1,Sucre en pain,Angleterre,220,livres,,12,,"0,6",,,,,132,,,
9,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,1,Thé,Angleterre,48002,livres,,42,,"2,1",,,,,"100804,2",,,
10,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,1,Vin d'amont,Angleterre,2,tonneaux,140,,,140,,,,,280,,,
11,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,1,Vin de Bordeaux,Angleterre,2,barriques,100,,,100,,,,,200,,,
12,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,1,Vin de Bordeaux,Angleterre,200,bouteilles,,12,,"0,6",,,,,120,,,
13,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,1,Bas de fil,Danemark,150,livres,4,,,4,,,,,600,,,
14,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,1,Cabarets vernis,Danemark,28,en nombre,7,,,7,,,,,196,,,
15,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,1,Café des Iles,Danemark,10763,livres,,12,,"0,6",,,,,"6457,8",,,
16,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,1,Eau de vie,Danemark,"22,5",barriques,120,,,120,,,,,2700,,,
17,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,1,Eau de vie,Danemark,"41838,5",veltes,4,,,4,,,,,167354,,,
18,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Indigo,Danemark,20,livres,4,10,,"4,5",,,,,90,,,
19,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Marchandises mêlées,Danemark,,,,,,0,64,,,64,0,,Valeur totale,
20,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Noix,Danemark,10,milliers,,3,,"0,15",,,,,"1,5",,,
21,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Sel,Danemark,747,muides,50,,,50,,,,,37350,,,
22,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Sirop mélasse,Danemark,2650,livres,"0,09",,,"0,09",,,,,"238,5",,,
23,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Sucre brun,Danemark,1000,livres,,4,,"0,2",,,,,200,,,
24,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Sucre en pain,Danemark,59,livres,,12,,"0,6",,,,,"35,4",,,
25,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Sucre terré,Danemark,1780,livres,,7,,"0,35",,,,,623,,,
26,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Thé,Danemark,138039,livres,,42,,"2,1",,,,,"289881,9",,,
27,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Toile de Bretagne,Danemark,32304,livres,3,,,3,,,,,96912,,,
28,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Vin d'amont,Danemark,"4,25",tonneaux,140,,,140,,,,,595,,,
29,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Vin de Bordeaux,Danemark,"4,75",tonneaux,400,,,400,,,,,1900,,,
30,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Vin de Bordeaux,Danemark,2,tiercons,67,,,67,,,,,134,,,
31,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Vin d'Espagne,Danemark,14,bouteilles,,15,,"0,75",,,,,"10,5",,,
32,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Vin nantais,Danemark,"245,25",tonneaux,120,,,120,,,,,29430,,,
33,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Vinaigre,Danemark,2,tonneaux,100,,,100,,,,,200,,,
34,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Vinaigre,Danemark,27,tiercons,18,,,18,,,,,486,,,
35,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Vinaigre,Danemark,15,quarts,13,,,13,,,,,195,,,
36,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Ains à pêcher,Espagne,90,livres,,20,,1,,,,,90,,,
37,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Anis,Espagne,270,livres,,20,,1,,,,,270,,,
38,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Avoine,Espagne,27000,livres,,1,,"0,05",,,,,1350,,,
39,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Bas de laine,Espagne,150,livres,6,,,6,,,,,900,,,
40,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Beurre,Espagne,510,livres,,7,,"0,35",,,,,"178,5",,,
41,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Blé froment,Espagne,2006600,livres,"0,08",,,"0,0818182",,,,,"164176,36",,Doute sur le prix,
42,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Blé d'Inde,Espagne,60000,livres,,1,,"0,05",,,,,3000,,,
43,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Blé maïs,Espagne,106000,livres,,1,,"0,05",,,,,5300,,,
44,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Blé seigle,Espagne,228000,livres,,1,1,"0,0541667",,,,,12350,,,
45,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Bougie,Espagne,28,livres,,45,,"2,25",,,,,63,,,
46,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,2,Cacao,Espagne,41836,livres,,10,,"0,5",,,,,20918,,,
47,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Café des Iles,Espagne,14946,livres,,12,,"0,6",,,,,"8967,6",,,
48,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Chaises de paille,Espagne,88,en nombre,,20,,1,,,,,88,,,
49,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Chandelle,Espagne,9680,livres,,10,,"0,5",,,,,4840,,,
50,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Chapeaux mi-castor,Espagne,432,en nombre,12,,,12,,,,,5184,,,
51,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Chapeaux communs,Espagne,168,en nombre,3,10,,"3,5",,,,,588,,,
52,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Chemises garnies,Espagne,12,douzaines,120,,,120,,,,,1440,,,
53,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Chemises unies,Espagne,224,en nombre,5,,,5,,,,,1120,,,
54,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Cire jaune,Espagne,150,livres,,30,,"1,5",,,,,225,,,
55,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Confitures,Espagne,381,livres,,11,,"0,55",,,,,"209,55",,,
56,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Coton filé,Espagne,530,livres,3,,,3,,,,,1590,,,
57,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Cuirs de bœuf tannés,Espagne,3049,livres,,12,,"0,6",,,,,"1829,4",,,
58,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Cuirs de vache lissés,Espagne,1726,livres,,15,,"0,75",,,,,"1294,5",,,
59,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Dorure fine,Espagne,24,livres,140,,,140,,,,,3360,,,
60,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Drogueries,Espagne,3308,livres,,40,,2,,,,,6616,,,
61,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Eau de vie,Espagne,60,veltes,4,,,4,,,,,240,,,
62,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Encens,Espagne,1638,livres,,20,,1,,,,,1638,,,
63,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Estampes,Espagne,1987,livres,8,,,8,,,,,15896,,,
64,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Etamine,Espagne,14900,aunes,3,,,3,,,,,44700,,,
65,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Etoffe de soie,Espagne,14,livres,40,,,40,,,,,560,,,
66,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Farine,Espagne,572675,livres,,2,6,125,,,,,"71584,38",,,
67,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Faïence,Espagne,"552,5",livres,4,5,,"4,25",,,,,"2348,13",,,
68,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Fayoles,Espagne,160800,livres,,1,6,75,,,,,12060,,,
69,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Fèves,Espagne,1131800,livres,,1,,"0,05",,,,,56590,,,
70,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Fil de Bretagne,Espagne,5640,livres,,30,,"1,5",,,,,8460,,,
71,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Fromage d'Hollande,Espagne,630,livres,,6,,"0,3",,,,,189,,,
72,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Galles,Espagne,300,livres,,20,,1,,,,,300,,,
73,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Galons de fil,Espagne,820,livres,,40,,2,,,,,1640,,,
74,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Garas,Espagne,120,pièces,28,,,28,,,,,3360,,,
75,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Gingembre,Espagne,100,livres,"0,18",,,"0,18",,,,,18,,,
76,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Huile d'olive,Espagne,186,livres,,12,,"0,6",,,,,"111,6",,,
77,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Indigo,Espagne,24,livres,4,10,,"4,5",,,,,108,,,
78,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Jujubes,Espagne,15,livres,,8,,"0,4",,,,,6,,,
79,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,3,Lisières de drap,Espagne,370,livres,,6,,"0,3",,,,,111,,,
80,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Lamproies,Espagne,541,boites,3,,,3,,,,,1623,,,
81,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Librairie,Espagne,8835,livres,,40,,2,,,,,17670,,,
82,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Marchandises mêlées,Espagne,,,,,,0,259,,,259,0,,Valeur totale,
83,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Mercerie,Espagne,350,livres,2,,,2,,,,,700,,,
