numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Anis vert,Angleterre,2800,livres,"0,32",,,Prix unitaire en pourcentage
2,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Bray sec,Angleterre,20000,livres,"0,05",,,Prix unitaire en Milliers
3,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Confitures,Angleterre,30,livres,"0,5",,,Prix unitaire en pourcentage
4,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Caffé des isles,Angleterre,1598,livres,"0,5",,,
5,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Cordages de chanvre,Angleterre,300,livres,"0,32",,,Prix unitaire en pourcentage
6,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Cercles a Tonneauxx,Angleterre,20,Fournitures,20,,,
7,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Eau de vie,Angleterre,339,bariques,70,,,Droits à 3 livres et 5 sous la bariques
8,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Eau de vie,Angleterre,15,Veltes,"2,4",,,Droits à 3 livres et 5 sous la bariques
9,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Fayance en vaisselle,Angleterre,28,douzaines,"1,5",,,
10,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Fer en verges,Angleterre,6000,livres,"0,11",,,Prix unitaire en Milliers
11,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Morüe seche,Angleterre,1200,livres,"0,18",,,Prix unitaire en pourcentage
12,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Mairain ganivelle douëlles,Angleterre,14,Milliers,100,,,
13,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Porcelaine,Angleterre,36,livres,5,,,
14,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Sucre en pain,Angleterre,192,livres,"0,7",,,Prix unitaire en pourcentage
15,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Sirop de sucre,Angleterre,500,livres,"0,07",,,Prix unitaire en pourcentage
16,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Sel du Croisic,Angleterre,45,muids,18,,,
17,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Sel du Croisic,Angleterre,41,muids,16,,,
18,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Sel du Croisic,Angleterre,20,muids,15,,,
19,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Thé divers,Angleterre,"3593,5",livres,"3,25",,,
20,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Toile de Bretagne,Angleterre,330,livres,4,,,
21,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Vin nantois,Angleterre,"8,5",Tonneaux,50,,,Droits sur le vin et le vinaigre à 49 sous le Tonneaux
22,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Vin d'Amont,Angleterre,"12,5",Tonneaux,150,,,Droits sur le vin et le vinaigre à 49 sous le Tonneaux
23,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Vin de Bordeaux,Angleterre,3,Tonneaux,200,,,Droits sur le vin et le vinaigre à 49 sous le Tonneaux
24,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Vinaigre,Angleterre,3,Tonneaux,40,,,Droits sur le vin et le vinaigre à 49 sous le Tonneaux
25,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Vinaigre,Angleterre,5,quarts,5,,,Droits sur le vin et le vinaigre à 49 sous le Tonneaux
26,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1742.csv,Local,1742,Exports,Nantes,1,Arac des Indes,Flandre autrichienne,108,Veltes,35,,,
