numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks,unverified
1,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,1,Chataignes,Angleterre,358.00,Boisseau,0.500,179.00,0.00,,1
2,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,1,Confitures,Angleterre,90.00,Livre,1.000,90.00,0.00,,1
3,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,1,Eau de vie,Angleterre,98.30,Velte,115.000,"11,301.00",3.50,Prix pour les 29 veltes/ Quantité d'origine = 2850 veltes,1
4,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,1,Fer en barres,Angleterre,130475.00,Livre,0.140,"18,266.00",0.50,Prix unitaire en millier,1
5,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,1,Gans communs,Angleterre,8.00,Estimé,0.000,15.00,-15.00,"6 sous la paire, quantité en livres",1
6,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,1,Indigo,Angleterre,590.00,Livre,5.000,"2,950.00",0.00,,1
7,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,1,Lard,Angleterre,110.00,Livre,0.350,38.00,0.50,,1
8,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,1,Mairrains ganivelle,Angleterre,2.00,Millier,100.000,200.00,0.00,,1
9,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,1,Noix,Angleterre,200.00,Millier,1.500,300.00,0.00,,1
10,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,1,Papier,Angleterre,2720.00,Rames,0.150,408.00,0.00,2720 ramess = 17 Balles,1
11,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,1,Plumes de Ste Catherine,Angleterre,400.00,Livre,0.150,60.00,0.00,,1
12,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,1,Miel,Angleterre,19000.00,Livre,0.110,"2,090.00",0.00,Prix unitaire en pourcentage,1
13,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,1,Sel du Croisic,Angleterre,34.50,Muid,30.000,"1,035.00",0.00,,1
14,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,1,Sucre en pain,Angleterre,178.00,Livre,0.500,89.00,0.00,,1
15,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,1,Taffia,Angleterre,64.00,Velte,2.500,160.00,0.00,,1
16,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,1,Thé,Angleterre,1811.00,Livre,3.000,"5,433.00",0.00,,1
17,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,2,Toille de Bretagne,Angleterre,360.00,Livre,4.250,"1,530.00",0.00,,1
18,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,2,Vin de Bordeaux,Angleterre,25.00,Barique,70.000,"1,750.00",0.00,,1
19,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,2,Vin nantois,Angleterre,7.00,Barique,15.000,105.00,0.00,,1
20,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,2,Vinaigre,Angleterre,16.00,Quart,8.000,128.00,0.00,,1
21,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,2,Caffé des Isles,Danemark,591.00,Livre,0.750,443.00,0.25,,1
22,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,2,Chataignes,Danemark,10.00,Boisseau,0.900,9.00,0.00,,1
23,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,2,Eau de vie,Danemark,0.24,Velte,115.000,27.00,0.60,Prix pour les 29 veltes/Quantité d'origine = 7 veltes,1
24,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,2,Sel du Pouliguen,Danemark,28.00,Muid,100.000,"2,800.00",0.00,,1
25,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,2,Sirop melasse,Danemark,3215.00,Livre,0.080,257.00,0.20,Prix unitaire en pourcentage,1
26,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,2,Sucre brut,Danemark,100.00,Livre,0.200,20.00,0.00,,1
27,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,2,Sucre en pain,Danemark,30.00,Livre,0.500,15.00,0.00,,1
28,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,2,Aiguilles,Espagne,650.00,Livre,7.000,"4,550.00",0.00,,1
29,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,2,Ains a pescher,Espagne,160.00,Livre,3.500,560.00,0.00,,1
30,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,2,Armoire,Espagne,1.00,Pièce,40.000,40.00,0.00,,1
31,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,2,Beure d'Irlande,Espagne,2.00,Baril,30.000,60.00,0.00,,1
32,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,2,Beure d'Irlande,Espagne,22924.00,Livre,0.250,"5,731.00",0.00,,1
33,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,2,Bougie,Espagne,1640.00,Livre,2.000,"3,280.00",0.00,,1
34,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,2,Cacao,Espagne,16305.00,Livre,0.600,"9,783.00",0.00,,1
35,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,2,Caffé des Isles,Espagne,4571.00,Livre,0.750,"3,428.00",0.25,,1
36,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,2,Camelot de laine,Espagne,392.00,Aune,2.000,784.00,0.00,,1
37,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,2,Chaises de paille,Espagne,7.00,Douzaine,16.000,112.00,0.00,,1
38,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,3,Chandelle,Espagne,150.00,Livre,0.400,60.00,0.00,,1
39,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1752.csv,Local,1752,Exports,Nantes,3,Chapeaux castors,Espagne,150.00,Livre,0.400,60.00,0.00,,1
