"numrodeligne","dataentryby","source","sourcepath","sourcetype","year","exportsimports","direction","sheet","marchandises","pays","quantit","quantity_unit","prix_unitaire","value","probleme","remarks"
1,"Anthony Rebours","AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1741,"Exports","Nantes",1,"Anis","Angleterre","2500,00","Livre","0,250",,,
2,"Anthony Rebours","AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1741,"Exports","Nantes",1,"Boutons d'or et d'argent","Angleterre","4,00","Garniture","0,000",,,
3,"Anthony Rebours","AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1741,"Exports","Nantes",1,"Boutons d'or et d'argent","Angleterre","3,00","Douzaine","0,000",,,
4,"Anthony Rebours","AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1741,"Exports","Nantes",1,"Chataignes","Angleterre","100,00","Boisseau","1,000",,,
5,"Anthony Rebours","AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1741,"Exports","Nantes",1,"Caffé des Isles","Angleterre","174,00","Livre","0,500",,,
6,"Anthony Rebours","AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1741,"Exports","Nantes",1,"Cercles a tonneaux","Angleterre","12,00","Fourniture","12,000",,,
7,"Anthony Rebours","AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1741,"Exports","Nantes",1,"Eau de vie","Angleterre","306,75","Barique","120,000",,,"Droits à 3 livre et 5 sous par bariques"
8,"Anthony Rebours","AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1741,"Exports","Nantes",1,"Eau de vie","Angleterre","10,00","Velte","4,500",,,"Droits à 3 livre et 5 sous par bariques"
9,"Anthony Rebours","AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1741,"Exports","Nantes",1,"Fer en barres","Angleterre","10000,00","Livre","0,130",,,
10,"Anthony Rebours","AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1741,"Exports","Nantes",1,"Huile de lin","Angleterre","590,00","Livre","0,280",,,
11,"Anthony Rebours","AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1741,"Exports","Nantes",1,"Maizainganivelle","Angleterre","7750,00","Douelle","1,000",,,"Prix unitaire en millier"
12,"Anthony Rebours","AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1741,"Exports","Nantes",1,"Papier a écrire","Angleterre","1500,00","Livre","0,000",,,"4 livres la rame"
13,"Anthony Rebours","AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1741,"Exports","Nantes",1,"Porcelaine","Angleterre","30,00","Livre","5,000",,,
14,"Anthony Rebours","AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1741,"Exports","Nantes",1,"Sirop de limon","Angleterre","1960,00","Livre","0,500",,,
15,"Anthony Rebours","AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1741,"Exports","Nantes",1,"Sucre en pain","Angleterre","200,00","Livre","0,550",,,
16,"Anthony Rebours","AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1741,"Exports","Nantes",1,"Sel du Croisic","Angleterre","9,50","Muid","28,000",,,
17,"Anthony Rebours","AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1741,"Exports","Nantes",1,"Sel du Croisic","Angleterre","83,00","Muid","23,000",,,
18,"Anthony Rebours","AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1741,"Exports","Nantes",1,"Thé","Angleterre","968,00","Livre","4,000",,,
19,"Anthony Rebours","AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1741,"Exports","Nantes",1,"Toile de Bretagne","Angleterre","600,00","Livre","4,000",,,
20,"Anthony Rebours","AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1741,"Exports","Nantes",1,"Vin nantois","Angleterre","1,75","Tonneau","100,000",,,"Droits sur le vin et le vinaigre à 49 sous le tonneau"
