numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,1,,Acier,Hollande,"449,50",baril,,,,
2,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,1,,Acier,Suede,"414,00",baril,,,,
3,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,1,,Acier,Hambourg,"80,00",baril,,,,
4,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,1,,Acier,Norvège,"3,00",baril,,,,
5,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,1,,Acier,Göteborg,"189,00",baril,,,,
6,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,1,,Acier,Göteborg,"360,00",baril,,,,
7,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,1,,Acier en bottes pour la Compagnie des Indes,Hambourg,"4 860,00",livres,,,,Pour la Compagnie des Indes
8,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,1,,Ancre de fer,Hollande,"43,00",en nombre,,,,
9,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,1,,Ancre de fer,Hollande,"84,00",en nombre,,,,
10,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,1,,Avirons de chesne,Norvège,"55,00",avirons,,,,
11,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,1,,Avirons de sapin,Espagne,"163,00",traques,,,,"135 traques, 3 avirons a la traque"
12,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,1,,Avirons,Espagne,"116,00",traques,,,,
13,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,1,,Arbre,Irlande,"60,00",pieds,,,,
14,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,1,,Arrosoir de terre,Göteborg,"456,00",en nombre,,,,
15,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,1,,Armoire de sapin,Hollande,"1,00",en nombre,,,,
16,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,1,,Asperges ; plants,Hollande,"200,00",en nombre,,,,
17,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,1,,Alun,Göteborg,"840,00",livres,,,,
18,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,1,,Amidon,Hambourg,"52 864,00",livres,,,,
19,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,1,,Amidon,Hollande,"53 421,00",livres,,,,
20,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,1,,Amidon,Espagne,"2 800,00",livres,,,,
21,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,1,,Drogueries et épiceries,Angleterre,"295,00",livres,,,,
22,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,1,,Aloes,Hollande,"100,00",livres,,,,
23,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,1,,Anis,Hollande,"62,00",livres,,,,
24,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,2,,Antimoine verd,Hollande,"50,00",livres,,,,
25,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,2,,Arsenic,Hollande,"428,00",livres,,,,
26,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,2,,Azur,Hambourg,"25 970,00",livres,,,,
27,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,2,,Azur,Hollande,"7 798,00",livres,,,,
28,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,2,,Baleine taillée,Hollande,"1 056,00",livres,,,,
29,Torsten,AD44 C706,Local/Nantes/Nantes – Entrées – 1734 – bis.csv,Local,1734,Importations,Nantes,2,,Baleine en fanon,Hollande,"2 431,00",livres,,,,
