numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks,unverified
1,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1761.csv,Local,1761,Imports,Nantes,1,boeure,Angleterre,110,livres,"0,35",,,absence de prix total,1
2,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1761.csv,Local,1761,Imports,Nantes,1,cuirs en poil,Angleterre,1023,cuirs,12,,,absence de prix total,1
3,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1761.csv,Local,1761,Imports,Nantes,1,langues sallées,Angleterre,2516,livres,"0,4",,,absence de prix total,1
4,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1761.csv,Local,1761,Imports,Nantes,1,moële de bœuf,Angleterre,30,livres,"0,4",,,absence de prix total,1
5,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1761.csv,Local,1761,Imports,Nantes,1,cabillauds,Dannemark,55823,livres,"0,15",,,absence de prix total,1
6,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1761.csv,Local,1761,Imports,Nantes,1,goudron,Dannemark,216,barils,20,,,absence de prix total,1
7,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1761.csv,Local,1761,Imports,Nantes,1,harangs blancs,Dannemark,22,barils,18,,,absence de prix total,1
8,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1761.csv,Local,1761,Imports,Nantes,1,huile de poisson,Dannemark,295,livres,"0,25",,,absence de prix total,1
9,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1761.csv,Local,1761,Imports,Nantes,1,langues sallées,Dannemark,137,livres,"0,4",,,absence de prix total,1
10,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1761.csv,Local,1761,Imports,Nantes,1,maquereaux,Dannemark,"1,75",barils,18,,,absence de prix total,1
11,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1761.csv,Local,1761,Imports,Nantes,1,morüe seche,Dannemark,1840,livres,"0,2",,,absence de prix total,1
12,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1761.csv,Local,1761,Imports,Nantes,2,planches de sapin,Dannemark,1700,30 pieds,4,,,absence de prix total,1
