numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Avoine,Angleterre,"5,00",Tonneau,"40,000","200,00","0,00",
2,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Bled froment,Angleterre,"294,00",Tonneau,"105,000","30 870,00","0,00",
3,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Bled seigle,Angleterre,"31,00",Tonneau,"65,000","2 015,00","0,00",
4,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Beuf salé du païs,Angleterre,"800,00",Livre,"0,200","160,00","0,00",Prix unitaire en pourcentage
5,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Bazin,Angleterre,"20,00",Pièce,"30,000","600,00","0,00",
6,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Boutons de crin,Angleterre,,,"0,000","40,00","-40,00",
7,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Confitures,Angleterre,"50,00",Livre,"0,500","25,00","0,00",Prix unitaire en pourcentage
8,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Caffé de moka,Angleterre,"1272,00",Livre,"1,800","2 290,00","-0,40",
9,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Caffé des Isles,Angleterre,"3420,00",Livre,"1,000","3 420,00","0,00",
10,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Cotonade,Angleterre,"65,00",Aune,"2,000","130,00","0,00",
11,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Cartes a jouer,Angleterre,"475,00",Livre,"1,500","712,00","0,50",
12,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Chandelle,Angleterre,"50,00",Livre,"0,450","22,00","0,50",
13,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Eau de vie,Angleterre,"2632,00",Barique,"75,000","197 400,00","0,00",Droits à 3 livres et 5 sous par barique
14,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Farine,Angleterre,"10,50",Tonneau,"180,000","1 890,00","0,00",
15,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Feves,Angleterre,"2,00",Septiers,"6,000","12,00","0,00",
16,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Fil a voile,Angleterre,"20,00",Livre,"0,750","15,00","0,00",
17,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Fayence,Angleterre,"10,00",Douzaine,"3,000","30,00","0,00",
18,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Fer en verge,Angleterre,"1500,00",Livre,"0,160","240,00","0,00",Prix unitaire en pourcentage
19,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Guinée blanche,Angleterre,"20,00",Pièce,"45,000","900,00","0,00",
20,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Indigo,Angleterre,"1650,00",Livre,"3,250","5 362,00","0,50",
21,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Lard du pais,Angleterre,"800,00",Livre,"0,200","160,00","0,00",Prix unitaire en pourcentage
22,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Mouchoirs de fil organdy,Angleterre,"49,00",Pièce,"32,000","1 568,00","0,00",
23,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Mouchoirs des Indes,Angleterre,"2,00",Douzaine,"36,000","72,00","0,00",
24,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Mouchoirs de Rouen,Angleterre,"3,00",Douzaine,"12,000","36,00","0,00",
25,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Marmites de fer,Angleterre,"144,00",Nombre,"1,750","252,00","0,00",
26,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Merain ganivelle,Angleterre,"3000,00",Douelle,"0,120","31,00","329,00",150 livres les 1240 douelles / erreur de calcul
27,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Noix,Angleterre,"70,00",Millier,"0,600","42,00","0,00",
28,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Pruneaux de Ste Caterine,Angleterre,"200,00",Livre,"0,300","60,00","0,00",Prix unitaire en pourcentage
29,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Papier a écrire,Angleterre,"4160,00",Livre,"0,500","2 030,00","50,00",erreur de calcul
30,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Porcelaine des Indes,Angleterre,"106,00",Livre,"5,000","530,00","0,00",
31,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Sels du Croisic,Angleterre,"513,00",Muid,"40,000","20 520,00","0,00",
32,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Sels du Croisic,Angleterre,"276,00",Muid,"30,000","8 280,00","0,00",
33,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Sels du Croisic,Angleterre,"150,00",Muid,"25,000","3 750,00","0,00",
34,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Sucre en pain,Angleterre,"750,00",Livre,"0,500","375,00","0,00",Prix unitaire en pourcentage
35,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Sucre terré,Angleterre,"1150,00",Livre,"0,250","287,50","0,00",Erreur prix total
36,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Sirop de sucre,Angleterre,"30200,00",Livre,"0,050","1 510,00","0,00",Prix unitaire en pourcentage
37,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Soyerie,Angleterre,"38,00",Livre,"40,000","1 520,00","0,00",
38,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Soucy,Angleterre,"111,00",Pièce,"30,000","3 330,00","0,00",
39,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Sanas,Angleterre,"20,00",Pièce,"41,000","820,00","0,00",
40,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Siamoise,Angleterre,"86,00",Aune,"2,000","172,00","0,00",
41,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Thé bou,Angleterre,"16403,00",Livre,"3,500","57 410,00","0,50",
42,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Thé divers,Angleterre,"48860,00",Livre,"3,000","146 580,00","0,00",
43,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Toile de Bretagne,Angleterre,"3088,00",Livre,"4,000","12 352,00","0,00",
44,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Vin de champagne,Angleterre,"3,00",Barique,"300,000","900,00","0,00",Droits sur le vin et le vinaigre à 49 sous par tonneau
45,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Vin de Bordeaux,Angleterre,"3,00",Barique,"50,000","150,00","0,00",Droits sur le vin et le vinaigre à 49 sous par tonneau
46,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Vin d'amont,Angleterre,"4,00",Tonneau,"200,000","800,00","0,00",Droits sur le vin et le vinaigre à 49 sous par tonneau
47,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Vin nantois,Angleterre,"16,50",Tonneau,"80,000","1 320,00","0,00",Droits sur le vin et le vinaigre à 49 sous par tonneau
48,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Vinaigre,Angleterre,"4,00",Tonneau,"60,000","240,00","0,00",Droits sur le vin et le vinaigre à 49 sous par tonneau
49,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Alibanis,Flandre Imperialle,"14,00",Pièce,"12,500","175,00","0,00",
50,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Bled froment,Flandre Imperialle,"4,00",Tonneau,"105,000","420,00","0,00",
51,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Bazin,Flandre Imperialle,"70,00",Pièce,"30,000","2 100,00","0,00",
52,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Calbas,Flandre Imperialle,"43,00",Pièce,"23,500","1 003,00","7,50",erreur de calcul
53,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Coupis,Flandre Imperialle,"14,00",Pièce,"13,000","181,00","1,00",erreur de calcul
54,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Confitures,Flandre Imperialle,"360,00",Livre,"0,500","180,00","0,00",Prix unitaire en pourcentage
55,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,3,Caffé de moka,Flandre Imperialle,"4000,00",Livre,"1,800","7 200,00","0,00",
56,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,3,Caffé de Bourbon,Flandre Imperialle,"27000,00",Livre,"1,113","30 037,00","0,50",
57,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,3,Caffé des Isles,Flandre Imperialle,"14180,00",Livre,"1,000","14 180,00","0,00",
58,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,3,Chataignes,Flandre Imperialle,"1710,00",Boisseau,"0,400","684,00","0,00",
59,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,3,Cabarets vernis,Flandre Imperialle,,,"0,000","495,00","-495,00",
60,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,3,Cuirs secs en poil des Isles,Flandre Imperialle,"2556,00",Nombre,"5,000","12 780,00","0,00",
61,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,3,Coton en laine,Flandre Imperialle,"21970,00",Livre,"0,860","18 894,00","0,20",Prix unitaire en pourcentage
