numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,doubleaccounts
1,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,1,Arbrisseaux,Angleterre,,,"0,000","100,00","-100,00",,
2,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,1,Bafetas bleu,Angleterre,"21,00",Pièce,"9,000","189,00","0,00",,
3,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,1,Bas de fil,Angleterre,"3,00",Livre,"2,500","8,00","-0,50",,
4,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,1,Confitures,Angleterre,"90,00",Livre,"1,000","90,00","0,00",,
5,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,1,Caffé de moka,Angleterre,"2140,00",Livre,"2,000","4 280,00","0,00",,
6,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,1,Caffe de la martinique,Angleterre,"4700,00",Livre,"1,125","5 287,00","0,50",,
7,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,1,Cotonades ,Angleterre,"1934,00",Aune,"2,000","3 868,00","0,00",,
8,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,1,Cotonades ,Angleterre,"90,00",Livre,"1,250","115,00","-2,50",erreur de calcul,
9,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,1,Cartes a jouer,Angleterre,"2,00",Grosse,"18,000","36,00","0,00",,
10,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,1,Cartes a jouer,Angleterre,"265,00",Livre,"1,000","265,00","0,00",,
11,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,1,Cabaret verni,Angleterre,"1,00",Nombre,"3,000","3,00","0,00",,
12,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,1,Damas des Indes,Angleterre,"4,00",Pièce,"80,000","324,00","-4,00",erreur de calcul,
13,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,1,Eau de vie,Angleterre,"3686,00",Barique,"60,000","221 160,00","0,00",Droits à 3 livres et 5 sous par barique,
14,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,1,Eau de la reine d'hongrie,Angleterre,"20,00",Livre,"2,500","50,00","0,00",,
15,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,1,Fayence,Angleterre,"32,00",Douzaine,"3,000","96,00","0,00",,
16,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,1,Fer en barres,Angleterre,"14000,00",Livre,"0,140","1 960,00","0,00",Prix unitaire en pourcentage,
17,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,1,Guinee bleüe,Angleterre,"7,00",Pièce,"15,000","105,00","0,00",,
18,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,1,Huile d'olive,Angleterre,"75,00",Livre,"0,800","60,00","0,00",,
19,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,1,Indigo,Angleterre,"40050,00",Livre,"3,250","130 162,00","0,50",,
