numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks,Unverified
1,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1756.csv,Local,1756,Imports,Nantes,1,bœuf salé,Angleterre,"2,412.00",barils,36.0000000,,,absence de prix,1
2,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1756.csv,Local,1756,Imports,Nantes,1,beure,Angleterre,"433,969.00",livres,0.3500000,,,absence de prix,1
3,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1756.csv,Local,1756,Imports,Nantes,1,charbon de terre,Angleterre,36.00,bariques,10.0000000,,,absence de prix,1
4,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1756.csv,Local,1756,Imports,Nantes,1,cuirs en poil de bœuf,Angleterre,"5,397.00",cuirs,18.3000000,,,absence de prix,1
5,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1756.csv,Local,1756,Imports,Nantes,1,langues salées,Angleterre,4.00,barils,35.0000000,,,absence de prix,1
6,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1756.csv,Local,1756,Imports,Nantes,1,suif,Angleterre,"10,000.00",livres,7.0000000,,,absence de prix,1
7,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1756.csv,Local,1756,Imports,Nantes,1,bois merrain a barils,Danemark,"5,040.00",douelles,5.0000000,,,absence de prix,1
8,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1756.csv,Local,1756,Imports,Nantes,1,bois merrain a bariques,Danemark,660.00,douelles,22.0000000,,,absence de prix,1
9,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1756.csv,Local,1756,Imports,Nantes,1,bois merrain a pipes,Danemark,240.00,douelles,44.0000000,,,absence de prix,1
10,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1756.csv,Local,1756,Imports,Nantes,1,cabillaus,Danemark,10.00,barils,40.0000000,,,absence de prix,1
11,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1756.csv,Local,1756,Imports,Nantes,1,fil de carret,Danemark,"106,701.00",livres,0.7500000,,,absence de prix,1
12,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1756.csv,Local,1756,Imports,Nantes,1,planches de sapin,Danemark,"2,279.00",15 à 18 pieds,2.0000000,,,absence de prix,1
13,Hasna,AD 44 C716,Local/Nantes/Nantes – Imports – 1756.csv,Local,1756,Imports,Nantes,1,planches de sapin,Danemark,"1,047.00",12 à 13 pieds,1.2500000,,,absence de prix,1
