numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Anis,Angleterre,"1 530,00",livres,"0,300","459,00","0,00",Prix unitaire en pourcentage
2,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Caffé,Angleterre,"124,00",livres,"0,500","62,00","0,00",
3,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Cartes à joüer,Angleterre,"160,00",livres,"1,000","160,00","0,00",
4,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Cercles à tonneauxx,Angleterre,"21,00",fournitures,"12,000","252,00","0,00",
5,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Chandelles,Angleterre,"100,00",livres,"0,450","45,00","0,00",Prix unitaire en pourcentage
6,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Eaux de vie,Angleterre,"20 084,00",veltes,"2,000","40 164,00","4,00",arrondi
7,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Fayance en vaisselle,Angleterre,"37,00",douzaines,"2,000","74,00","0,00",
8,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Feuillards,Angleterre,"5,00",fournitures,"10,000","50,00","0,00",
9,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Merrain ganivelle,Angleterre,"44,00",milliers,"100,000","4 400,00","0,00",milliers composé de 1428 douelles et 714 fonds
10,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Nattes petites,Angleterre,"2,00",milliers,"100,000","200,00","0,00",
11,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Noix,Angleterre,"100,00",milliers,"1,500","150,00","0,00",
12,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Papier,Angleterre,"5 000,00",livres,"0,650","3 250,00","0,00",Prix unitaire en pourcentage
13,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Pruneaux de Ste Catherine,Angleterre,"500,00",livres,"0,225","112,00","0,50",Prix unitaire en pourcentage
14,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Sel du Croisic,Angleterre,"27,00",muids,"30,000","810,00","0,00",
15,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Sel du Croisic,Angleterre,"11,00",muids,"27,000","297,00","0,00",
16,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Sel du Croisic,Angleterre,"15,00",muids,"20,000","300,00","0,00",
17,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Sel du Croisic,Angleterre,"15,00",muids,"18,000","230,00","40,00",erreur de calcul
18,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Sel de Pouliguen,Angleterre,"7,00",muids du Poulinguen,"15,000","105,00","0,00",muids du Poulinguen
19,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Soirie,Angleterre,"29,00",livres,"40,000","1 160,00","0,00",
20,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Sucre en pain,Angleterre,"210,00",livres,"0,750","157,00","0,50",Prix unitaire en pourcentage
21,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Thé,Angleterre,"1 819,00",livres,"3,500","6 366,00","0,50",
22,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Vin de Bordeaux,Angleterre,"1,00",tonneaux,"300,000","300,00","0,00",
23,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Vin hors,Angleterre,"1,00",bariques,"35,000","35,00","0,00",
24,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Vin nantois,Angleterre,"4,75",tonneaux,"72,000","342,00","0,00",
25,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Vin du pays,Angleterre,"3,00",bariques,"15,000","45,00","0,00",
26,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Vinaigre,Angleterre,"2,00",quarts,"6,000","12,00","0,00",
27,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Basin,Flandre,"100,00",pièces,"28,000","2 800,00","0,00",
28,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Bois rouge,Flandre,"10 000,00",livres,"0,300","3 000,00","0,00",Prix unitaire en pourcentage
29,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,1,Caffé de Bourbon,Flandre,"114 302,00",livres,"0,700","80 011,00","0,40",
30,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,2,Caffé des Isles,Flandre,"4 608,00",livres,"0,500","2 304,00","0,00",
31,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,2,Caffé de Moka,Flandre,"822,00",livres,"2,250","1 849,00","0,50",
32,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,2,Chataignes,Flandre,"3 310,00",boisseaux,"1,000","3 310,00","0,00",
33,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,2,Chittes,Flandre,"156,00",pièces,"33,000","5 148,00","0,00",
34,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,2,Chuquelas,Flandre,"4,00",pièces,"23,500","94,00","0,00",
35,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,2,Confitures,Flandre,"25,00",livres,"0,520","13,00","0,00",Prix unitaire en pourcentage
36,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,2,Cotton en laine,Flandre,"16 673,00",livres,"0,825","13 755,00","0,23",Prix unitaire en pourcentage
37,Anthony Rebours,AD44 C706 ,Local/Nantes/Nantes - Exports – 1743.csv,Local,1743,Exports,Nantes,2,Cuirs secs en poil,Flandre,"1 733,00",pièces,"5,500","9 531,00","0,50",
