"numrodeligne","dataentryby","source","sourcepath","sourcetype","year","exportsimports","direction","sheet","marchandises","pays","quantit","quantity_unit","prix_unitaire","value","probleme","remarks","Unverified"
1,"Hasna","AD44 C706","Local/Nantes/Nantes – Imports – 1734.csv","Local",1734,"Imports","Nantes",1,"ancres vieilles","Angleterre","125,00","nombre","0,1800000","22,50","0,00",,1
2,"Hasna","AD44 C706","Local/Nantes/Nantes – Imports – 1734.csv","Local",1734,"Imports","Nantes",1,"bœuf salé","Angleterre","26 100,00","barils","22,0000000","574200,00","0,00",,1
3,"Hasna","AD44 C706","Local/Nantes/Nantes – Imports – 1734.csv","Local",1734,"Imports","Nantes",1,"beure salé","Angleterre","1 068 450,00","livres","0,2200000","235059,00","0,00",,1
4,"Hasna","AD44 C706","Local/Nantes/Nantes – Imports – 1734.csv","Local",1734,"Imports","Nantes",1,"cuirs de beuf en poil","Angleterre","8 648,00","nombre","9,0000000","77822,00","-10,00","erreur de calcul",1
5,"Hasna","AD44 C706","Local/Nantes/Nantes – Imports – 1734.csv","Local",1734,"Imports","Nantes",1,"crin","Angleterre","1 275,00","livres","0,3800000","484,50","0,00",,1
6,"Hasna","AD44 C706","Local/Nantes/Nantes – Imports – 1734.csv","Local",1734,"Imports","Nantes",1,"cire jaune","Angleterre","200,00","livres","1,3000000","230,00","-30,00","erreur de calcul",1
7,"Hasna","AD44 C706","Local/Nantes/Nantes – Imports – 1734.csv","Local",1734,"Imports","Nantes",1,"chandelle","Angleterre","5 150,00","livres","0,3500000","1902,00","99,50","erreur de calcul",1
8,"Hasna","AD44 C706","Local/Nantes/Nantes – Imports – 1734.csv","Local",1734,"Imports","Nantes",1,"charbon de terre","Angleterre","2 504,00","bariques","5,0000000","12520,00","0,00",,1
9,"Hasna","AD44 C706","Local/Nantes/Nantes – Imports – 1734.csv","Local",1734,"Imports","Nantes",1,"?","Angleterre","51 700,00","livres","0,1500000","7755,00","0,00",,1
10,"Hasna","AD44 C706","Local/Nantes/Nantes – Imports – 1734.csv","Local",1734,"Imports","Nantes",1,"? De morue","Angleterre","22 500,00","livres","0,9000000","20250,00","0,00",,1
