numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1737.csv,Local,1737,Exports,Nantes,1,Bled froment,Angleterre,"57,00",Tonneau,"150,000","8 550,00","0,00",
2,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1737.csv,Local,1737,Exports,Nantes,1,Bray sec,Angleterre,"4000,00",Livre,"0,075","300,00","0,00",Prix unitaire en millier
3,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1737.csv,Local,1737,Exports,Nantes,1,Chataignes,Angleterre,"20,00",Boisseau,"0,500","10,00","0,00",
4,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1737.csv,Local,1737,Exports,Nantes,1,Caffé de la martinique,Angleterre,"20749,00",Livre,"0,600","12 395,00","54,40",erreur de calcul
5,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1737.csv,Local,1737,Exports,Nantes,1,Chocolat,Angleterre,"20,00",Livre,"1,500","30,00","0,00",
6,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1737.csv,Local,1737,Exports,Nantes,1,Cotonnade,Angleterre,"25,00",Aune,"2,000","50,00","0,00",
7,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1737.csv,Local,1737,Exports,Nantes,1,Eau de vie,Angleterre,"1633,75",Barique,"50,000","81 650,00","37,50",Droits à 3 livres et 5 sous par barique / erreur de calcul
8,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1737.csv,Local,1737,Exports,Nantes,1,Fer en barres,Angleterre,"500,00",Livre,"0,120","60,00","0,00",Prix unitaire en pourcentage
9,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1737.csv,Local,1737,Exports,Nantes,1,Fayance,Angleterre,"20,00",Douzaine,"4,000","80,00","0,00",
10,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1737.csv,Local,1737,Exports,Nantes,1,Graine de lin,Angleterre,"158,00",Tonneau,"80,000","12 640,00","0,00",
11,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1737.csv,Local,1737,Exports,Nantes,1,Indigo,Angleterre,"560,00",Livre,"3,500","1 960,00","0,00",
12,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1737.csv,Local,1737,Exports,Nantes,1,Lard,Angleterre,"1200,00",Livre,"0,150","180,00","0,00",Prix unitaire en pourcentage
13,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1737.csv,Local,1737,Exports,Nantes,1,Mercerie,Angleterre,"20,00",Livre,"2,000","40,00","0,00",
14,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1737.csv,Local,1737,Exports,Nantes,1,Merrain ganivelle,Angleterre,"59600,00",Douelle,"0,060","3 576,00","0,00",Prix unitaire en millier
