numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,remarks
1,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,1,1759,Exports,Eau de vie,Nantes,Danemark,"50,00",Ancres,"3,000",
2,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,1,1759,Exports,Sel,Nantes,Danemark,"1293,00",Muids,"26,000",
3,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,1,1759,Exports,Beure,Nantes,Espagne,"180,00",Livres,"0,375",
4,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,1,1759,Exports,Bougie,Nantes,Espagne,"396,00",Livres,"2,000",
5,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,1,1759,Exports,Chapeaux castors,Nantes,Espagne,"236,00",Pièces,"13,000",
6,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,1,1759,Exports,Chapeaux mi-castors,Nantes,Espagne,"132,00",Pièces,"9,000",
7,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,1,1759,Exports,Confitures,Nantes,Espagne,"428,00",Livres,"1,000",
8,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,1,1759,Exports,Cuirs de vache,Nantes,Espagne,"6900,00",Livres,"0,400",
9,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,1,1759,Exports,Dentelle du Puy,Nantes,Espagne,"10000,00",Aunes,"4,000","probablement une erreur, le prix paraît très bas"
10,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,1,1759,Exports,Drap d'Ebeuf,Nantes,Espagne,"202,00",Aunes,"15,000",
11,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,1,1759,Exports,Drap de Sedan,Nantes,Espagne,"2850,00",Aunes,"15,000",
12,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,1,1759,Exports,Etamine de laine,Nantes,Espagne,"9132,00",Aunes,"3,000",
13,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,1,1759,Exports,Fayance,Nantes,Espagne,"381,00",Douzaines,"3,250",
14,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,1,1759,Exports,Feves,Nantes,Espagne,"335,00",Tonneaux,"100,000",
15,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,1,1759,Exports,Lamproyes,Nantes,Espagne,"490,00",Boîtes,"4,000",
16,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,2,1759,Exports,Papier,Nantes,Espagne,"2750,00",Livres,"0,500",
17,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,2,1759,Exports,Peaux de dain,Nantes,Espagne,"6,00",Douzaines,"70,000",
18,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,2,1759,Exports,Peaux de veau corroyées,Nantes,Espagne,"892,00",Douzaines,"24,000",
19,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,2,1759,Exports,Pierres a fusils,Nantes,Espagne,"399,00",Milliers,"2,000",
20,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,2,1759,Exports,Poudre a poudrer,Nantes,Espagne,"1103,00",Livres,"0,300",
21,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,2,1759,Exports,Quincaillerie,Nantes,Espagne,"27383,00",Livres,"2,000",
22,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,2,1759,Exports,Raves de morue,Nantes,Espagne,"100,00",Barils,"15,000",
23,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,2,1759,Exports,Sel,Nantes,Espagne,"16,00",Muids,"26,000",
24,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,2,1759,Exports,Sirop melasse,Nantes,Espagne,"2000,00",Livres,"12,000",
25,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,2,1759,Exports,Sucre en pain,Nantes,Espagne,"127,00",Livres,"1,250",
26,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,2,1759,Exports,Toile,Nantes,Espagne,"502852,00",Livres,"1,750",
27,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,2,1759,Exports,Vinaigre,Nantes,Espagne,"23,00",Bariques,"20,000",
28,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,2,1759,Exports,Caffé,Nantes,Flandre,"2125,00",Livres,"0,700",
29,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,2,1759,Exports,Chataignes,Nantes,Flandre,"7504,00",Boisseaux,"0,500",
30,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,2,1759,Exports,Eau de vie,Nantes,Flandre,"11173,00",Veltes,"3,000",
31,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,2,1759,Exports,Fruit sec,Nantes,Flandre,"342,00",Livres,"0,250",
32,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,2,1759,Exports,Peaux de mouton passées,Nantes,Flandre,"1800,00",Pièces,"1,250",
33,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,2,1759,Exports,Pruneaux,Nantes,Flandre,"13973,00",Livres,"0,100",
34,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,2,1759,Exports,Sel,Nantes,Flandre,"42,00",Charges,"35,000",
35,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,2,1759,Exports,Sirop d'Amont,Nantes,Flandre,"182308,00",Livres,"0,120",
36,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,3,1759,Exports,Sirop melasse,Nantes,Flandre,"139828,00",Livres,"0,120",Prix unitaire en pourcentage
37,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,3,1759,Exports,Thé,Nantes,Flandre,"4699,00",Livres,"2,250",
38,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,3,1759,Exports,Vin d'Amont,Nantes,Flandre,"465,00",Tonneaux,"230,000",
39,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,3,1759,Exports,Vin d'Amont,Nantes,Flandre,"1,00",Bariques,"57,500",
40,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,3,1759,Exports,Vin nantois,Nantes,Flandre,"1347,00",Tonneaux,"90,000",
41,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,3,1759,Exports,Vin nantois,Nantes,Flandre,"2,00",Bariques,"22,500",
42,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,3,1759,Exports,Bœuf salé,Nantes,Hollande,"277,00",Tierçons,"50,000",
43,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,3,1759,Exports,Bœuf salé,Nantes,Hollande,"56,00",Barils,"33,000",
44,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,3,1759,Exports,Caffé,Nantes,Hollande,"18200,00",Livres,"0,700",
45,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,3,1759,Exports,Chataignes,Nantes,Hollande,"2420,00",Boisseaux,"0,500",
46,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,3,1759,Exports,Confitures,Nantes,Hollande,"185,00",Livres,"1,000",
47,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,3,1759,Exports,Eau de vie,Nantes,Hollande,"20443,00",Veltes,"3,000",
48,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,3,1759,Exports,Fruit sec,Nantes,Hollande,"220,00",Livres,"0,250",
49,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,3,1759,Exports,Indigo,Nantes,Hollande,"7582,00",Livres,"6,500",
50,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,3,1759,Exports,Miel,Nantes,Hollande,"32846,00",Livres,"0,100",
51,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,3,1759,Exports,Ocre,Nantes,Hollande,"588,00",Bariques,"15,000",
52,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,3,1759,Exports,Pierres a fusils,Nantes,Hollande,"180044,00",Pièces,"0,002",Prix unitaire en Milliers
53,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,3,1759,Exports,Pruneaux,Nantes,Hollande,"104291,00",Livres,"0,100",
54,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,3,1759,Exports,Sel,Nantes,Hollande,"172,00",Muids,"26,000",
55,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,3,1759,Exports,Sirop d'Amont,Nantes,Hollande,"6790,00",Livres,"0,120",
56,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,3,1759,Exports,Suif,Nantes,Hollande,"12000,00",Livres,"0,250",
57,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,3,1759,Exports,Thé,Nantes,Hollande,"830,00",Livres,"2,250",
58,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,3,1759,Exports,Toile,Nantes,Hollande,"32192,00",Livres,"1,750",
59,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Vin d'Amont,Nantes,Hollande,"306,00",Tonneaux,"230,000",
60,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Vin d'Amont,Nantes,Hollande,"2,00",Bariques,"57,500",
61,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Vin nantois,Nantes,Hollande,"1094,00",Tonneaux,"90,000",
62,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Vin nantois,Nantes,Hollande,"2,00",Bariques,"22,500",
63,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Vinaigre,Nantes,Hollande,"142,00",Tonneaux,"20,000",
64,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Caffé,Nantes,Nord,"18141,00",Livres,"0,700",
65,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Cercles a tonneaux,Nantes,Nord,"547,00",Pacquets,"1,500",
66,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Chataignes,Nantes,Nord,"18,00",Boisseaux,"0,500",
67,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Eau de vie,Nantes,Nord,"3538,00",Veltes,"3,000",
68,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Harangs blancs,Nantes,Nord,"168,00",Barils,"20,000",
69,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Indigo,Nantes,Nord,"1293,00",Livres,"6,500",
70,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Ocre,Nantes,Nord,"8,00",Bariques,"15,000",
71,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Ozier,Nantes,Nord,"365,00",Pacquets,"0,350",
72,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Pruneaux,Nantes,Nord,"1445,00",Livres,"0,100",
73,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Sel,Nantes,Nord,"6193,00",Muids,"26,000",
74,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Sel,Nantes,Nord,"68,00",Tonneaux,"12,500",
75,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Sel,Nantes,Nord,"1591,00",Charges,"35,000",
76,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Sirop d'Amont,Nantes,Nord,"118648,00",Livres,"0,120",
77,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Sirop melasse,Nantes,Nord,"21620,00",Livres,"0,120",Prix unitaire en pourcentage
78,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Thé,Nantes,Nord,"3215,00",Livres,"2,250",
79,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Vin d'Amont,Nantes,Nord,"598,00",Tonneaux,"230,000",
80,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Vin d'Amont,Nantes,Nord,"2,00",Bariques,"57,500",
81,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Vin nantois,Nantes,Nord,"2297,00",Tonneaux,"90,000",
82,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,4,1759,Exports,Vinaigre,Nantes,Nord,"19,00",Bariques,"20,000",
83,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,5,1759,Exports,Amidon ,Nantes,Portugal,"3313,00",Livres,"0,220",Prix unitaire en pourcentage
84,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,5,1759,Exports,Etamine de laine,Nantes,Portugal,"13926,00",Aunes,"3,000",
85,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,5,1759,Exports,Feves,Nantes,Portugal,"33,00",Tonneaux,"100,000",
86,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,5,1759,Exports,Mercerie,Nantes,Portugal,"300,00",Livres,"3,500",
87,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,5,1759,Exports,Peaux de mouton passées,Nantes,Portugal,"39626,00",Livres,"1,250",
88,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,5,1759,Exports,Peaux de veau corroyées,Nantes,Portugal,"13529,00",Douzaines,"24,000",
89,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,5,1759,Exports,Serge de laine,Nantes,Portugal,"5080,00",Aunes,"1,200",
90,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,5,1759,Exports,Sirop melasse,Nantes,Portugal,"64980,00",Livres,"0,120",Prix unitaire en pourcentage
91,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,5,1759,Exports,Toile,Nantes,Portugal,"17475,00",Livres,"1,750",
92,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,5,1759,Exports,Vinaigre,Nantes,Portugal,"131,00",Bariques,"20,000",
93,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,5,1759,Exports,Sel,Nantes,Russie,"78,50",Charges,"35,000",
94,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,5,1759,Exports,Vin nantois,Nantes,Russie,"132,00",Tonneaux,"90,000",
95,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,5,1759,Exports,Bouchons de liège,Nantes,Suède,"48,00",Milliers,"5,000",
96,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,5,1759,Exports,Caffé,Nantes,Suède,"1019,00",Livres,"0,700",
97,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,5,1759,Exports,Chataignes,Nantes,Suède,"338,00",Boisseaux,"0,500",
98,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,5,1759,Exports,Confitures,Nantes,Suède,"1,00",Caisses,"15,000",
99,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,5,1759,Exports,Eau de vie,Nantes,Suède,"23627,00",Veltes,"3,000",
100,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,5,1759,Exports,Eau de vie,Nantes,Suède,"21,00",Bariques,"87,000",
101,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,5,1759,Exports,Eau de vie,Nantes,Suède,"9,50",Pipes,"174,000",
102,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,6,1759,Exports,Gans,Nantes,Suède,"150,00",Livres,"9,000",
