numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,remarks
1,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,1,1769,Exports,Azur,Nantes,Angleterre,7500,Livres,"0,75",,
2,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,1,1769,Exports,Caffé des Isles,Nantes,Angleterre,57170,Livres,"0,606",,
3,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,1,1769,Exports,Cercles de bois  ,Nantes,Angleterre,119620,Paquets,"0,002",,
4,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,1,1769,Exports,Eau de vie,Nantes,Angleterre,2401,Veltes ,5,,
5,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,1,1769,Exports,Fer en barres,Nantes,Angleterre,2000,Livres,"0,2",,
6,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,1,1769,Exports,Indigo,Nantes,Angleterre,84306,Livres,"4,8",,
7,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,1,1769,Exports,Sel,Nantes,Angleterre,302,Muids,144,,
8,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,1,1769,Exports,Vin de Bordeaux,Nantes,Angleterre,3,Bariques,95,,
9,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,1,1769,Exports,Bierre,Nantes,Danemarck,4,Bariques,24,,
10,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,1,1769,Exports,Caffé des Isles,Nantes,Danemarck,10085,Livres,"0,775",,
11,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,1,1769,Exports,Eau de vie,Nantes,Danemarck,7037,Veltes ,5,,
12,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,1,1769,Exports,Fer coulée,Nantes,Danemarck,18000,Livres,"0,15",,
13,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,1,1769,Exports,Gingembre,Nantes,Danemarck,805,Livres,"0,24",,
14,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,2,1769,Exports,Indigo,Nantes,Danemarck,143,Livres,"4,8",,
15,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,2,1769,Exports,Marchandises meslées,Nantes,Danemarck,,Valeur,,280,
16,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,2,1769,Exports,Pruneaux,Nantes,Danemarck,2160,Livres,"0,1583333",,
17,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,2,1769,Exports,Sel,Nantes,Danemarck,157,Muids,144,,
18,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,2,1769,Exports,Toile cholet,Nantes,Danemarck,90,Livres,4,,
19,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,2,1769,Exports,Verdet,Nantes,Danemarck,162,Livres,"1,2",,
20,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,2,1769,Exports,Vin ; d'amont,Nantes,Danemarck,5,Tonneaux,300,,
21,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,2,1769,Exports,Vin ; hors,Nantes,Danemarck,1,Tonneaux,360,,
22,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,2,1769,Exports,Vin ; Nantois,Nantes,Danemarck,10,Tonneaux,150,,
23,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,2,1769,Exports,Avoine,Nantes,Espagne,18000,Livres,"0,5",,
24,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,2,1769,Exports,Bas ; de fil,Nantes,Espagne,1862,Livres,5,,
25,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,2,1769,Exports,Bas ; de laine,Nantes,Espagne,241,Livres,6,,
26,Torsten Arnold,AD 44 C717,Local/Nantes/Nantes-exports-1769.csv,Local,2,1769,Exports,Beurre,Nantes,Espagne,1920,Livres,"0,4",,
