numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks,Unverified
1,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Bray sec,Angleterre,"2 000,000",Livre,"0,045",,,Prix unitaire en millier,1
2,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Eau de vie,Angleterre,"3 562,000",Velte,"2,000",,,,1
3,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Indigo,Angleterre,"96 000,000",Livre,"4,250",,,,1
4,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Vin de Bordeaux,Angleterre,"3,750",Tonneau,"250,000",,,,1
5,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Cotton en laine,Flandre autrichienne,"1 318,000",Livre,"1,680",,,Prix unitaire en pourcentage,1
6,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Eau de vie,Flandre autrichienne,"39 895,000",Velte,"2,000",,,,1
7,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Fruit cuit,Flandre autrichienne,"112,000",Livre,"0,250",,,,1
8,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Indigo,Flandre autrichienne,"2 207,000",Livre,"4,250",,,,1
9,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Miel,Flandre autrichienne,"15 818,000",Livre,"0,150",,,,1
10,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Rocou,Flandre autrichienne,"514,000",Livre,"1,000",,,,1
11,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Savon,Flandre autrichienne,"675,000",Livre,"0,440",,,Prix unitaire en pourcentage,1
12,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Sel du Croisic,Flandre autrichienne,"13,000",Muid,"20,000",,,,1
13,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Sirop de sucre,Flandre autrichienne,"201 650,000",Livre,"0,090",,,Prix unitaire en pourcentage,1
14,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Sucre blanc,Flandre autrichienne,"850,000",Livre,"0,520",,,Prix unitaire en pourcentage,1
15,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Sucre brut,Flandre autrichienne,"101 900,000",Livre,"0,340",,,Prix unitaire en pourcentage,1
16,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Sucre terré,Flandre autrichienne,"9 000,000",Livre,"0,480",,,Prix unitaire en pourcentage,1
17,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Thé,Flandre autrichienne,"17 091,000",Livre,"3,400",,,,1
18,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Vin d'Amont,Flandre autrichienne,"2 279,250",Tonneau,"150,000",,,,1
19,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Vin nantois,Flandre autrichienne,"367,000",Tonneau,"70,000",,,,1
20,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Alibanis,Hollande,"25,000",Pièce,,"253,00",,,1
21,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Anis vert,Hollande,"5 920,000",Livre,"0,250",,,Prix unitaire en pourcentage,1
22,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Armoisin,Hollande,"16,000",Pièce,,"439,45",,,1
23,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Baffetas bleu,Hollande,"1 580,000",Pièce,,"18 486,00",,,1
24,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Bajutapau,Hollande,"876,000",Pièce,,"13 392,80",,,1
25,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Bazin blanc,Hollande,"400,000",Pièce,,"8 280,00",,,1
26,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Bled froment,Hollande,"115,000",Tonneau,"80,000",,,,1
27,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Bled seigle,Hollande,"435,000",Tonneau,"45,000",,,,1
28,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Bois rouge,Hollande,"286 000,000",Livre,,"85 975,00",,,1
29,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Bois a teindre,Hollande,"35 600,000",Livre,"0,150",,,Prix unitaire en pourcentage,1
