"numrodeligne","dataentryby","source","sourcepath","sourcetype","year","exportsimports","direction","sheet","marchandises","pays","quantit","quantity_unit","prix_unitaire","value","probleme","remarks","Droits totaux indiqués","Droits unitaires","remarks pour les droits"
1,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",1,"Bœuf salé","Angleterre",526350,"Livres","0,25",,"-131587,5",,,,
2,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",1,"Beurre","Angleterre",10791,"Livres","0,9",,"-9711,9","doute sur le prix",,,
3,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",1,"Chandelle","Angleterre",2060,"Livres","0,55",,-1133,,,,
4,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",1,"Cornes de bœuf","Angleterre",2400,"Nombre","0,15",,-360,,,,
5,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",1,"Cuirs de bœuf en poil","Angleterre",264,"Nombre",30,,-7920,,,,
6,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",1,"Langues","Angleterre",1135,"Livres","0,5",,"-567,5",,,,
7,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",1,"Lard","Angleterre",3680,"Livres","0,35",,-1288,,,,
8,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",1,"Poils de cochon","Angleterre",142,"Livres","0,2",,"-28,4",,,,
9,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",1,"Suif","Angleterre",3610,"Livres","0,45",,"-1624,5",,,,
10,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",1,"Tripes","Angleterre",140,"Livres","0,15",,-21,,,,
11,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",1,"Anspect","Danemark",830,"Livres","0,2",,-166,,,,
12,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",1,"Epars","Danemark",240,"Nombre","0,75",,-180,,,,
13,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",1,"Bray bras","Danemark",207,"Barils",17,,-3519,,,,
14,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Fer en barres","Danemark",13866,"Livres","0,175",,"-2426,55",,,,
15,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Lattes","Danemark",1695,"Nombre","0,025",,"-42,38",,,,
16,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Marchandises meslées","Danemark",,"valeurs",0,183,183,,,,
17,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Planches de sapin","Danemark",56419,"Nombre",1,,-56419,,,,
18,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Soliveaux","Danemark",60,"Nombre",10,,-600,,,,
19,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Amandes cassées","Espagne",1740,"Livres","0,6",,-1044,,,,
20,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Avirons","Espagne",630,"Traques",6,,-3780,,,,
21,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Balais de palme","Espagne",1611,"Douzaines","0,95",,"-1530,45","confusion entre livres et sous dans la source",,,
22,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Bois a teindre en buche","Espagne",8116,"Livres","0,1",,"-811,6",,,,
23,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Cacao","Espagne","361,5","Livres","0,612",,"-221,24",,,,
24,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Chocolat","Espagne",152,"Livres","1,5",,-228,,,,
25,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Citrons et orange","Espagne",258,"Caisse",10,,-2580,,,,
26,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Citrons et orange","Espagne",30000,"Nombre","0,018",,-540,,,,
27,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Cochenille","Espagne",839,"Livres",20,,-16780,,,,
28,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Cuivre de bœuf en poil","Espagne",6756,"Nombre",30,,-202680,,,,
29,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Cuivre de bœuf en poil","Espagne",15,"Livres","0,3",,"-4,5",,,,
30,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Cuivre brut","Espagne",5036,"Livres","1,1",,"-5539,6",,,,
31,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Degras","Espagne",36,"Barriques",180,,-6480,,,,
32,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Eau de vie","Espagne",315,"pipes",300,,-94500,,,,
33,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Eau de vie","Espagne",50,"bottes",320,,-16000,,,,
34,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Eau de vie","Espagne",1129,"Barriques",150,,-169350,,,,
35,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Ecorce d'arbre","Espagne",2,"Pieces",14,,-28,,,,
36,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Esprit de vin","Espagne",4,"Barriques",300,,-1200,,,,
37,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Fer ; en ancres","Espagne",57372,"Livres","0,3",,"-17211,6",,,,
38,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Fer ; en barres","Espagne",886848,"Livres","0,175",,"-155198,4",,,,
39,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Fer ; en cercles","Espagne",33830,"Livres","0,2",,-6766,,,,
40,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Figues","Espagne",14269,"Livres","0,15",,"-2140,35",,,,
41,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Huile d'olive","Espagne",18283,"Livres","0,85",,"-15540,55",,,,
42,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Indienne","Espagne",5,"Pieces",28,,-140,,,,
43,"Demba","AD44 C717","Local/Nantes/Nantes - Imports - 1772.csv","Local",1772,"Imports","Nantes",2,"Laine d'Espagne","Espagne",102623,"Livres","2,25",,"-230901,75",,,,
