numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,prix_unitaire
1,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,1,Bray sec,Angleterre,0,4025,Livres,,"0,045"
2,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,1,Eau de vie,Angleterre,0,2223,Veltes,88 livres les 27 veltes,"3,26"
3,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,1,Farine,Angleterre,0,20,Barils,,20
4,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,1,Merrain ganivelle,Angleterre,0,25000,pièces,80 Livres le milliers,"0,08"
5,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,1,Vin d'amont,Angleterre,0,5,Bariques,,35
6,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,1,Bled seigle,Flandre autrichienne,0,159,Tonneaux,,56
7,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,1,Cuirs secs en poil,Flandre autrichienne,0,461,En nombre,,"5,5"
8,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,1,Eau de vie,Flandre autrichienne,0,25010,Veltes,80 livres les 27 veltes,"2,96"
9,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,1,Sirop de sucre,Flandre autrichienne,0,37600,Livres,,"0,075"
10,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,1,Thé,Flandre autrichienne,0,800,Livres,,"3,3"
11,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,1,Vin d'amont,Flandre autrichienne,0,87,Tonneaux,,140
12,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,1,Vin aigre,Flandre autrichienne,0,4,Tonneaux,,60
13,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,1,Amandes en coques,Hollande,0,17000,Livres,,"0,24"
14,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,1,Ardoises,Hollande,0,20000,pièces,,"0,012"
15,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,1,Armoisin,Hollande,0,636,Pièces,,35
16,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,1,Beurre salé d'Irlande,Hollande,0,63530,Livres,,"0,3"
17,Loïc Charles,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,1,Beurre salé du pays,Hollande,0,63530,Livres,,"0,3"
18,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,1,Bled froment,Hollande,0,465,Tonneaux,,100
19,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,1,Bled seigle,Hollande,0,4571,Tonneaux,,56
20,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Bois d'Inde,Hollande,0,12400,Livres,,"0,25"
21,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Bois rouge,Hollande,0,176550,Livres,il est indiqué : et valent 34169 Livres 17 sous,"0,22"
22,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Bois rouge,Hollande,"34169,85",,,,
23,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Bougie,Hollande,0,200,Livres,,2
24,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Brosserie,Hollande,0,115,Livres,pas de prix unitaire indiqué,1
25,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Cabarets,Hollande,50,,,,
26,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Caffé de bourbon,Hollande,0,525833,Livres,,"1,05"
27,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Caffé des Isles,Hollande,0,221154,Livres,,"0,75"
28,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Casse,Hollande,0,3000,Livres,,"0,1"
