"numrodeligne","dataentryby","source","sourcepath","sourcetype","year","exportsimports","direction","sheet","marchandises","pays","quantit","quantity_unit","prix_unitaire","value","probleme","remarks"
1,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",1,"Confitures","Angleterre","33,00","Livre","1,500",,,
2,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",1,"Caffé","Angleterre","15,00","Livre","2,900",,,
3,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",1,"Cacao","Angleterre","104,00","Livre","1,250",,,
4,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",1,"Chataignes","Angleterre","80,00","Boisseau","0,500",,,
5,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",1,"Eau de vie","Angleterre","3314,00","Barrique","95,000",,,"Droits à 3 livres et 5 sous par barriques"
6,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",1,"Noix","Angleterre","220,00","Millier","0,500",,,
7,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",1,"Porcs gras","Angleterre","4,00","Nombre","30,000",,,
8,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",1,"Pruneaux de Ste Catherine","Angleterre","50,00","Livre","0,300",,,"Prix unitaire en pourcentage"
9,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",1,"Reglisse","Angleterre","4400,00","Livre","0,120",,,"Prix unitaire en pourcentage"
10,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",1,"Sel","Angleterre","1466,00","Muid","26,000",,,
11,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",1,"Sel","Angleterre","335,00","Charge","34,000",,,
12,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",1,"Sucre en pain","Angleterre","2365,00","Livre","0,600",,,"Prix unitaire en pourcentage"
13,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",1,"Sirop de sucre","Angleterre","950,00","Livre","0,070",,,"Prix unitaire en pourcentage"
14,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",1,"Thé Camhou","Angleterre","98,00","Livre","7,500",,,
15,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",1,"Thé bou","Angleterre","1732,00","Livre","7,000",,,
16,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",1,"Thé vert","Angleterre","353,00","Livre","9,500",,,
17,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",1,"Vin d'amont","Angleterre","94,00","Tonneau","150,000",,,"Droits sur le vin à 49 sous par tonneaux"
18,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",1,"Vin nantois","Angleterre","23,00","Tonneau","180,000",,,"Droits sur le vin à 49 sous par tonneaux"
19,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Vinaigre","Angleterre","8,00","Tonneau","80,000",,,"Droits sur le vin à 49 sous par tonneaux"
20,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Vinaigre","Angleterre","90,00","Quart","10,500",,,"Droits sur le vin à 49 sous par tonneaux"
21,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Aloës","Angleterre","825,00","Livre","0,000",,,
22,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Bazin","Angleterre","23,00","Aune","4,000",,,
23,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Cartes à jouer","Angleterre","220,00","Livre","0,350",,,"Prix unitaire en pourcentage"
24,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Cercles à thonneau","Angleterre","2,00","Fourniture","10,000",,,
25,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Fayence","Angleterre","26,00","Douzaine","4,000",,,
26,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Fer en barres","Angleterre","8200,00","Livre","1,200",,,"Prix unitaire en pourcentage"
27,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Etoffe des Indes","Angleterre","50,00","Pièce","0,000",,,
28,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Indigo","Angleterre","1111,00","Livre","2,250",,,
29,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Mercerie fine","Angleterre","230,00","Livre","7,000",,,
30,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Ozier","Angleterre","2,00","Millier","20,000",,,
31,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Papier a ecrire","Angleterre","108,00","Rame","5,000",,,
32,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Papier a ecrire","Angleterre","10310,00","Livre","0,600",,,
33,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Pierres fusil","Angleterre","2,00","Millier","1,000",,,
34,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Soyerie","Angleterre","172,50","Livre","40,000",,,
35,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Savon","Angleterre","1025,00","Livre","0,320",,,"Prix unitaire en pourcentage"
36,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Toille de Bretagne","Angleterre","3,00","Pièce","6,000",,,
37,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Toille de Bretagne","Angleterre","2323,00","Aune","1,250",,,
38,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Toille de cotton","Angleterre","1,00","Pièce","40,000",,,
39,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Beurre de Bretagne","Flandre Impérialle","1600,00","Livre","0,210",,,
40,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Confitures","Flandre Impérialle","171,00","Livre","1,500",,,
41,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Cacao","Flandre Impérialle","1785,00","Livre","1,250",,,
42,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Chataignes","Flandre Impérialle","603,00","Boisseau","0,500",,,
43,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Eau de vie","Flandre Impérialle","3579,00","Barrique","95,000",,,
44,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",2,"Fruit cru","Flandre Impérialle","1,00","Barrique","12,000",,,
45,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",3,"Fruit cuit","Flandre Impérialle","100,00","Livre","0,320",,,"Prix unitaire en pourcentage"
46,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",3,"Huile d'olive","Flandre Impérialle","800,00","Livre","0,350",,,"Prix unitaire en pourcentage"
47,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",3,"Pruneaux de Ste Catherine","Flandre Impérialle","765,00","Livre","0,300",,,"Prix unitaire en pourcentage"
48,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",3,"Pruneaux noirs","Flandre Impérialle","7950,00","Livre","0,200",,,"Prix unitaire en pourcentage"
49,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",3,"Saffran","Flandre Impérialle","16,00","Livre","0,000",,,
50,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",3,"Sel","Flandre Impérialle","161,00","Charge","34,000",,,
51,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",3,"Sel","Flandre Impérialle","60,00","Muid","26,000",,,
52,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",3,"Sucre terré","Flandre Impérialle","1900,00","Livre","0,400",,,"Prix unitaire en pourcentage"
53,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",3,"Sucre teste de forme","Flandre Impérialle","3960,00","Livre","0,320",,,"Prix unitaire en pourcentage"
54,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",3,"Sucre brut","Flandre Impérialle","354000,00","Livre","0,240",,,"Prix unitaire en pourcentage"
55,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",3,"Sirop de sucre","Flandre Impérialle","619825,00","Livre","0,070",,,"Prix unitaire en pourcentage"
56,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",3,"Vin de Bordeaux","Flandre Impérialle","6,00","Tonneau","200,000",,,"Droits sur le vin à 49 sous par tonneaux"
57,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",3,"Vin d'amont","Flandre Impérialle","3004,00","Tonneau","150,000",,,"Droits sur le vin à 49 sous par tonneaux"
58,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",3,"Vin nantois","Flandre Impérialle","934,00","Tonneau","80,000",,,"Droits sur le vin à 49 sous par tonneaux"
59,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",3,"Vinaigre","Flandre Impérialle","8,00","Tonneau","80,000",,,"Droits sur le vin à 49 sous par tonneaux"
60,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",3,"Cotton en laine","Flandre Impérialle","15125,00","Livre","1,000",,,
61,"Anthony Rebours","20AD44_C706","Local/Nantes/Nantes - Exports - 1728.csv","Local",1728,"Exports","Nantes",3,"Indigo","Flandre Impérialle","782,00","Livre","2,250",,,
