numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,probleme,remarks
1,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,1,Bœuf salé,D'Angleterre,646,19,Tierçons,34,0,
2,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,1,beure,D'Angleterre,26432.9,81332,Livres,0.325,0,
3,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,1,Chandelle,D'Angleterre,461.7,1026,Livres,0.45,0,
4,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,1,charbon de terre,D'Angleterre,57000,190,Tonneaux,300,0,300lt la fourniture
5,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,1,charbon de terre,D'Angleterre,355500,1185,Barriques,300,0,300lt la fourniture
6,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,1,charbon de terre,D'Angleterre,206400,688,Barils,300,0,300lt la fourniture
7,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,1,cire jaune,D'Angleterre,699,466,Livres,1.5,0,
8,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,1,cuirs verts en poil,D'Angleterre,540,30,pièce,18,0,
9,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,1,saumon salé,D'Angleterre,832,13,Tierçons,64,0,
10,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,1,suif,D'Angleterre,70,200,Livres,0.35,0,
11,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,1,Acier,D'hollande,10436.25,41745,Livres,0.25,0,
12,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,1,alun,D'hollande,12938,64690,Livres,0.2,0,
13,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,1,ambre jaune,D'hollande,0,112,Livres,0,0,pas de prix
14,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,amidon,D'hollande,9021.4,45107,Livres,0.2,0,
15,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,argennt vif,D'hollande,450,100,Livres,4.5,0,
16,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,azur commun,D'hollande,168.75,375,Livres,0.45,0,
17,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,Baleine coupée,D'hollande,7647,2549,Livres,3,0,
18,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,baleine en fanon,D'hollande,9685,3874,Livres,2.5,0,
19,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,barbançon de terre,D'hollande,74,370,Livres,0.2,0,
20,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,batons de sapin,D'hollande,36,144,pièces,0.25,0,
21,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,beuf fumé,D'hollande,112.5,225,Livres,0.5,0,
22,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,beuf salé,D'hollande,35904,1632,barils,22,0,
23,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,beuf salé,D'hollande,11840,370,Tierçons,32,0,
24,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,beuf salé,D'hollande,96.3,321,Livres,0.3,0,
25,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,beure,D'hollande,6185562.5,190325,Livres,32.5,0,
26,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,bierre,D'hollande,13224,551,Barriques,24,0,
27,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,bierre,D'hollande,0,30,Tierçons,0,0,
28,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,bierre,D'hollande,0,554,Livres,0,0,
29,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,bois de calliatour,D'hollande,1183,4225,Livres,0.28,0,
30,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,bois de campesche,D'hollande,3293.5,23525,Livres,0.14,0,
31,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,bois de construction,D'hollande,275,55,pièces,5,0,
32,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,bois de fustel,D'hollande,1016.25,4065,Livres,0.25,0,
33,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,bois d'inde en buches,D'hollande,1888.25,14525,Livres,0.13,0,
34,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,bois d'inde rapé,D'hollande,1075.25,6325,Livres,0.17,0,
35,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,bois de gabaris,D'hollande,0,276,pièces,0,0,
36,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,bois de gayac,D'hollande,1487.5,14875,Livres,0.1,0,
37,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,bois de Ste marthe,D'hollande,0,1000,Livres,0,0,
38,Loïc Charles,AD 44 C 706,Local/Nantes/Nantes-imports-1745 et 1746.csv,Local,1745,Import,Nantes,2,bordages de chesne,D'hollande,194.25,777,pièces,0.25,0,
