numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Anthony Rebours,AD44 C716-2,Local/Nantes/Nantes - Exports – 1749.csv,Local,1749,Exports,Nantes,1,Bray sec,Angleterre,"19,00",Barils,,,,7 livres le cent
2,Anthony Rebours,AD44 C716-2,Local/Nantes/Nantes - Exports – 1749.csv,Local,1749,Exports,Nantes,1,Bray sec,Angleterre,"1 000,00",Livres,"0,070",,,
3,Anthony Rebours,AD44 C716-2,Local/Nantes/Nantes - Exports – 1749.csv,Local,1749,Exports,Nantes,1,Caffé des Isles,Angleterre,"577,00",Livres,"1,800",,,Prix unitaire en pourcentage
4,Anthony Rebours,AD44 C716-2,Local/Nantes/Nantes - Exports – 1749.csv,Local,1749,Exports,Nantes,1,Cartes a joüer,Angleterre,"50,00",Livres,"1,500",,,
5,Anthony Rebours,AD44 C716-2,Local/Nantes/Nantes - Exports – 1749.csv,Local,1749,Exports,Nantes,1,Cercles,Angleterre,"6,00",Fournitures,"14,000",,,
6,Anthony Rebours,AD44 C716-2,Local/Nantes/Nantes - Exports – 1749.csv,Local,1749,Exports,Nantes,1,Citrons verts,Angleterre,"100,00",Nombre,"0,030",,,
7,Anthony Rebours,AD44 C716-2,Local/Nantes/Nantes - Exports – 1749.csv,Local,1749,Exports,Nantes,1,Eau de la Reine d'Hongrie,Angleterre,"1,00",Tierçons,"180,000",,,
8,Anthony Rebours,AD44 C716-2,Local/Nantes/Nantes - Exports – 1749.csv,Local,1749,Exports,Nantes,1,Eau de la Reine d'Hongrie,Angleterre,"12,00",Fiolles,"0,250",,,
9,Anthony Rebours,AD44 C716-2,Local/Nantes/Nantes - Exports – 1749.csv,Local,1749,Exports,Nantes,1,Eau de vie,Angleterre,"19 044,00",Veltes,"3,000",,,
10,Anthony Rebours,AD44 C716-2,Local/Nantes/Nantes - Exports – 1749.csv,Local,1749,Exports,Nantes,1,Fayence,Angleterre,"77,00",Douzaines,"1,750",,,
