numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,doubleaccounts
1,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Caffé,Angleterre,230,Livre,"0,263",60,"0,38",,
2,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Confitures,Angleterre,115,Livre,"0,7",80,"0,5",,
3,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Chataignes,Angleterre,20,Boisseau,"0,5",10,0,,
4,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Cottonade,Angleterre,65,Aune,"2,75",250,"-71,25",,1
5,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Cottonade,Angleterre,20,Livre,"3,5",250,-180,,2
6,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Cartes a jouer,Angleterre,625,Livre,1,625,0,Prix unitaire en pourcentage,
7,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Eau de vie,Angleterre,3308,Barique,70,231560,0,Dont droits à 3 livres et 5 sous la barique,
8,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Filasses,Angleterre,30,Livre,"0,4",12,0,,
9,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Fayance,Angleterre,82,Douzaine,4,478,-150,,1
10,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Fayance,Angleterre,600,Livre,"0,25",478,-328,,2
11,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Fer en barres,Angleterre,12000,Livre,"0,14",1680,0,Prix unitaire en millier,
12,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Huile a brûler,Angleterre,100,Livre,"0,25",25,0,,
13,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Indienne,Angleterre,111,Pièce,14,1554,0,,
14,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Librairie,Angleterre,930,Livre,2,1860,0,,
15,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Liège,Angleterre,600,Livre,"0,05",30,0,,
16,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Morue verte,Angleterre,35,Poignée,1,35,0,,
17,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Mercerie,Angleterre,,,0,30,-30,,
18,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Noix,Angleterre,135,Millier,1,135,0,,
19,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Olives,Angleterre,10,Baril,"2,5",25,0,,
20,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Peaux de veau corroyees,Angleterre,12,Douzaine,26,312,0,,
21,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Papier a écrire,Angleterre,5890,Livre,"0,5",2945,0,,
22,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Plume a lit,Angleterre,100,Livre,2,200,0,,
23,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Porcelaine des Indes,Angleterre,40,Livre,5,200,0,,
24,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Soyerie,Angleterre,102,Livre,40,4080,0,,
25,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Sel,Angleterre,105,Muid,65,6825,0,,
26,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Sel,Angleterre,533,Muid,30,15990,0,,
27,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Sel,Angleterre,778,Muid,23,17894,0,,
28,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Sucre en pain,Angleterre,1950,Livre,"0,6",1250,-80,erreur de calcul,
29,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Sucre terré,Angleterre,400,Livre,"0,3",120,0,Prix unitaire en pourcentage,
30,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Sirop de sucre,Angleterre,"20,5",Barique,0,"512,5","-512,5","0,05 livres tournois la livre pesant",
31,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Sirop de capilaire,Angleterre,6,Bouteille ,1,6,0,,
32,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Thé bou,Angleterre,3500,Livre,"2,5",8750,0,,
33,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1732.csv,Local,1732,Exports,Nantes,1,Thé vert,Angleterre,3495,Livre,"2,3",8038,"0,5",,
