numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Paris,Agremens de soye,Espagne,"10,00",onces,"0,0000000","0,00","0,00",
2,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Marseille,Amendes en coques,Angleterre,"200,00",livres,"0,0000000","0,00","0,00",
3,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Croisic,Amidon,Angleterre,"120,00",livres,"0,0000000","0,00","0,00",
4,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Nantes,Anisette,Bruges,"6,00",veltes,"0,0000000","0,00","0,00",
5,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Orleans,Arbre chataigner,Hambourg,"15,00",pieds,"0,0000000","0,00","0,00",
6,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Orleans,Arbre chataigner,Irlande,"400,00",pieds,"0,0000000","0,00","0,00",
7,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Orleans,Arbre chataigner,Hollande,"102,00",pieds,"0,0000000","0,00","0,00",
8,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Orleans,Arbre chataigner,Suede,"20,00",pieds,"0,0000000","0,00","0,00",
9,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Orleans,Arbrisseaux,Bruges,"24,00",pieds,"0,0000000","0,00","0,00",
10,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Hollande,Avirons,Espagne,"3,00",traque,"0,0000000","0,00","0,00",
