numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,
1,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Assiettes de porcelaine des Indes,Angleterre,"7,00",Douzaine,"9,500","66,50","0,00",,
2,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Bougie de cire blanche,Angleterre,"190,00",Livre,"1,950","370,50","0,00",,
3,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Bray sec,Angleterre,"150,00",Livre,"0,700","105,00","0,00",Prix unitaire en pourcentage,
4,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Bray gras,Angleterre,"1,00",Baril,"20,000","20,00","0,00",,
5,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Confiture,Angleterre,"32,00",Livre,"0,700","22,40","0,00",,
6,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Caffé,Angleterre,"15,00",Livre,"3,000","45,00","0,00",,
7,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Chataignes,Angleterre,"25,00",Boisseau,"0,500","12,50","0,00",,
8,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Citron,Angleterre,"1,00",Centaine,"7,000","7,00","0,00",,
9,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Coutil,Angleterre,"25,00",Pièce,"25,000","125,00","500,00",erreur de calcul,
10,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Cottonades,Angleterre,"8,00",Aune,"2,750","22,00","0,00",,
11,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Eau de vie,Angleterre,"1932,00",Barrique,"55,000","112 539,00","-6 279,00",Plus droits à 65 sous la barrique = 6279 livres,
12,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Eau de citronelle,Angleterre,"8,00",Bouteille,"4,000","32,00","0,00",,
13,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Etoffes diverses des Indes,Angleterre,"54,00",Pièce,"60,000","3 240,00","0,00",,
14,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Fer en barres,Angleterre,"39850,00",Livre,"0,140","5 579,00","0,00",Prix unitaire en pourcentage,
15,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Fer en verge,Angleterre,"2000,00",Livre,"0,145","290,00","0,00",Prix unitaire en pourcentage,
16,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Fayance,Angleterre,"4,00",Panier,"20,000","80,00","0,00",,
17,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Fayance,Angleterre,"44,00",Douzaine,"4,000","176,00","0,00",,
18,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Galon d'argens,Angleterre,"10,00",Onces,"8,000","80,00","0,00",,
19,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Garnitures de lit de Soye des Indes,Angleterre,"1,00",Nombre,"300,000","300,00","0,00",,
20,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Mousseline des Indes,Angleterre,"20,00",Aune,"3,000","60,00","0,00",,
21,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Mouchoirs de Rouen,Angleterre,"1,00",Douzaine,"12,000","12,00","0,00",,
22,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Marmites de fer,Angleterre,"2,00",Nombre,"5,000","5,00","5,00",erreur de calcul,
