numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks,unverified
1,Matthias Loise,AD 44 C 717  ,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,1,Cercles de bois,Angleterre,240408,en nombre,"0,0333333",,,,1
2,Matthias Loise,AD 44 C 717  ,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,1,Coton en laine,Angleterre,27162,livres,"1,08",,,,1
3,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,1,Indigo,Angleterre,7930,livres,"7,0791667",,,,1
4,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,1,Sel,Angleterre,99,muides,160,,,,1
5,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,1,Thé,Angleterre,1650,livres,"2,5",,,,1
6,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,1,Café,Danemark,20553,livres,"0,7625",,,,1
7,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,1,Châtaignes,Danemark,242,boisseaux,1,,,,1
8,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,1,Coton filé,Danemark,56,livres,2,,,,1
9,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,1,Eau de lavande,Danemark,724,fioles,"0,75",,,,1
10,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,1,Eau de vie,Danemark,1495,veltes,"5,5",,,,1
11,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,1,Indigo,Danemark,904,livres,"7,0791667",,,,1
12,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,1,Marchandises mêlées,Danemark,,,0,262,,Valeur totale,1
13,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,2,Noix,Danemark,355,mil,"1,5",,,Unité difficilement lisible,1
14,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,2,Sel,Danemark,638,muides,160,,,,1
15,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,2,Sirop mélasse,Danemark,154250,livres,"0,1",,,,1
16,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,2,Verdet,Danemark,100,livres,25,,,,1
17,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,2,Vin nantais,Danemark,"9,5",tonneaux,13,,,,1
18,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,2,Vinaigre,Danemark,11,bariques,30,,,Doute sur le prix,1
19,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,2,Vinaigre,Danemark,1,tiercons,18,,,,1
20,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,2,Ains à pêcher,Espagne,30,livres,"0,9",,,,1
21,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,2,Ardoises,Espagne,115000,en nombre,16,,,,1
22,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,2,Bandages,Espagne,66,en nombre,15,,,,1
23,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,2,Bas de fil,Espagne,9917,livres,5,,,,1
24,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,2,Bas de laine,Espagne,332,livres,6,,,,1
25,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,2,Beurre,Espagne,3270,livres,"0,55",,,,1
26,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,2,Bierre,Espagne,4,bariques,25,,,,1
27,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,2,Bougie,Espagne,916,livres,"2,25",,,,1
28,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,2,Briques,Espagne,6000,en nombre,"0,012",,,,1
29,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,2,Cacao,Espagne,72807,livres,"0,6083333",,,,1
30,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,2,Café,Espagne,56459,livres,"0,7625",,,,1
31,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,2,Canelle sauvage,Espagne,255,livres,"3,5",,,,1
32,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,2,Cercles de bois,Espagne,399840,en nombre,8,,,,1
33,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,2,Chandelle,Espagne,5290,livres,"0,55",,,,1
34,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,2,Chemises garnies,Espagne,53,douzaines,120,,,,1
35,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1772.csv,Local,1772,Exports,Nantes,2,Cire jaune,Espagne,20851,livres,"1,5",,,,1
