numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,prix_unitaire,Valeur en Livres tournois,valeur en sous,valeur en denier,Valeur (Prix unitaire ,value,problem,remarks,Unverified
1,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,1,Eau de vie,Angleterre,921,Velte,2,8,,"2,4",,,,"2210,4",,,,
2,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,1,Thé,Angleterre,11214,Livre,3,15,,"3,75",,,,"42052,5",,,,
3,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,1,Vin de Bordeaux,Angleterre,15,Barique,75,,,75,,,,1125,,,,
4,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,1,Caffé des Isles,Danemark,1458,Livre,,18,,"0,9",,,,"1312,2",,,,
5,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,1,Capres,Danemark,8,Flacon,4,,,4,,,,32,,,,
6,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,1,Confiture,Danemark,25,Livre,,20,,1,,,,25,,,,
7,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,1,Eau de la reyne d'Hongrie,Danemark,22,Douzaine,12,,,12,,,,264,,,Douzaines de fiolles,
8,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,1,Eau de vie,Danemark,10,Barique,70,,,70,,,,700,,,,
9,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,1,Eau de vie,Danemark,2342,Velte,2,8,,"2,4",,,,"5620,8",,,,
10,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,1,Gans communs,Danemark,14,Douzaine,3,12,,"3,6",,,,"50,4",,,,
11,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,1,Gans communs,Danemark,3,Livre,,48,,"2,4",,,,"7,2",,,,
12,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,1,Noix,Danemark,6,Millier,,15,,"0,75",,,,"4,5",,,,
13,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,1,Raz de Maroc,Danemark,8,Aune,,45,,"2,25",,,,18,,,,
14,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Sel,Danemark,2180,Muid,60,,,60,,,,130800,,,,
