numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,remarks
1,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,1,1758,Exports,Eau de vie,Nantes,Angleterre,"14 061,00",Veltes,"3,250",,
2,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,1,1758,Exports,Thé,Nantes,Angleterre,"7 394,00",Livres,"2,250",,
3,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,1,1758,Exports,Sel,Nantes,Danemark,"1 271,00",Muids,"44,000",,
4,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,1,1758,Exports,Vin nantois,Nantes,Danemark,"4,00",Bariques,"22,500",,
5,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,1,1758,Exports,Ardoises,Nantes,Espagne,"6,00",Milliers,"15,000",,
6,Loïc,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,1,1758,Exports,Beure,Nantes,Espagne,"2 156,00",Livres,"0,375",,
7,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,1,1758,Exports,Caffé,Nantes,Espagne,"271,00",Livres,"0,750",,
8,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,1,1758,Exports,Chapeaux castors,Nantes,Espagne,"36,00",Pièces,"13,000",,
9,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,1,1758,Exports,Chapeaux mi-castors,Nantes,Espagne,"120,00",Pièces,"9,000",,
10,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Confitures,Nantes,Espagne,"726,00",Livres,"0,750",,
11,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Cuirs de beuf tannés,Nantes,Espagne,"4 220,00",Livres,"0,500",,
12,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Cuirs de vache tannés,Nantes,Espagne,"360,00",Livres,"0,400",,
13,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Dentelles du Pays,Nantes,Espagne,"800,00",Aunes,"0,400",,
