numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks,Unverified
1,Matthias Loise,AD 44 C 717  ,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,1,Eau de vie,Danemark,20,barriques,87,,,,1
2,Matthias Loise,AD 44 C 717  ,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,1,Eau de vie,Danemark,12,tiercons,58,,,,1
3,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,1,Eau de vie,Danemark,"8720,5",veltes,3,,,,1
4,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,1,Pruneaux,Danemark,2,barriques,40,,,,1
5,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,1,Sel,Danemark,892,muides,26,,,,1
6,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,1,Vin nantais,Danemark,3,barriques,20,,,,1
7,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,1,Vinaigre,Danemark,2,barriques,16,,,,1
8,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,1,Bas de fil ,Espagne,2403,paires,40,,,,1
9,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,1,Bas de fil,Espagne,800,livres,5,,,,1
10,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,1,Beurre,Espagne,242,livres,"0,3",,,,1
11,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,1,Blé froment,Espagne,40,tonneaux,125,,,,1
12,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,1,Blé d'Inde,Espagne,40,tonneaux,100,,,,1
13,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Bougie,Espagne,1745,livres,"2,25",,,,1
14,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Bouteilles de verre,Espagne,720,livres,"0,2",,,,1
15,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Cacao,Espagne,1617,livres,"0,42",,,,1
16,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Chaises de paille,Espagne,18,livres,1,,,,1
17,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Chapeaux castor,Espagne,985,en nombre,16,,,,1
18,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Chandelle,Espagne,30,livres,"0,35",,,,1
19,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Chapeaux mi-castor,Espagne,3340,en nombre,9,,,,1
20,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Chemises bretonnes,Espagne,1716,en nombre,4,,,,1
21,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Cire jaune,Espagne,430,livres,"1,5",,,,1
22,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Clous de fer,Espagne,62080,livres,"0,25",,,,1
23,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Confitures,Espagne,1709,livres,"0,75",,,,1
24,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Coutil,Espagne,220,aunes,"1,5",,,,1
25,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Coutil,Espagne,68340,livres,"1,5",,,,1
26,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Cuirs de bœuf tannés,Espagne,163,cuirs,20,,,,1
27,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Cuirs de bœuf tannés,Espagne,982,livres,"0,6",,,,1
28,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Cuirs de vache corroyés,Espagne,1546,livres,"0,5",,,,1
29,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Drap de Louviers,Espagne,386,aunes,16,,,,1
30,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Drap de Louviers,Espagne,206,livres,18,,,,1
31,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Drap de Sedan,Espagne,44,pièces,330,,,,1
32,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Drap de Sedan,Espagne,690,livres,15,,,,1
33,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Drogueries,Espagne,4460,livres,2,,,,1
34,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Eau de vie,Espagne,12216,veltes,"2,5",,,,1
35,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Etamine,Espagne,21562,aunes,2,,,,1
36,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Etoffe de soie,Espagne,"41,5",livres,40,,,,1
37,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Farine,Espagne,441,barils,25,,,,1
38,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Farine,Espagne,786,quarts,"37,5",,,,1
39,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Faïence,Espagne,894,douzaines,3,,,,1
40,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Fèves,Espagne,622,tonneaux,80,,,,1
41,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Fil blanc,Espagne,8016,livres,3,,,,1
42,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Fil de Bretagne,Espagne,12437,livres,3,,,,1
43,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,2,Fruits cuits,Espagne,732,livres,"0,2",,,,1
44,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,3,Garas,Espagne,70,pièces,15,,,,1
45,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,3,Huile d'olive,Espagne,46,livres,"0,5",,,,1
46,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,3,Librairie,Espagne,24,balles,500,,,,1
47,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,3,Lamproies,Espagne,618,boites,4,,,,1
48,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,3,Manchettes brodées,Espagne,,,,100,,Valeur totale,1
49,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,3,Mercerie,Espagne,3000,livres,"3,5",,,,1
50,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,3,Mouchoirs de Cholet,Espagne,1340,livres,15,,,,1
51,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,3,Moutarde,Espagne,5,bouteilles,"0,05",,,,1
52,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,3,Nattes,Espagne,500,en nombre,6,,,,1
53,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,3,Papier bleu,Espagne,956,livres,"0,6",,,,1
54,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,3,Peaux de mouton aprêtés,Espagne,40,peaux,"1,25",,,,1
55,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,3,Peaux de veau aprêtés,Espagne,228,peaux,2,,,Doute sur la quantité,1
56,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1761.csv,Local,1761,Exports,Nantes,3,Peaux de veau corroyés,Espagne,879,douzaines,24,,,,1
