numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks,unverified
1,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1757.csv,Local,1757,Exports,Nantes,1,Baffetas,Allemagne,100,Pièce,50,,,,1
2,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1757.csv,Local,1757,Exports,Nantes,1,Caffé,Allemagne,30582,Livre,0.75,,,,1
3,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1757.csv,Local,1757,Exports,Nantes,1,Eau de vie,Allemagne,8445,Velte,2.4,,,,1
4,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1757.csv,Local,1757,Exports,Nantes,1,Féves,Allemagne,97,Tonneau,100,,,,1
5,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1757.csv,Local,1757,Exports,Nantes,1,Indigo,Allemagne,2520,Livre,6.5,,,,1
6,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1757.csv,Local,1757,Exports,Nantes,1,Miel,Allemagne,15968,Livre,0.1,,,,1
7,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1757.csv,Local,1757,Exports,Nantes,1,Pierres a fusils,Allemagne,60,Millier,2,,,,1
8,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1757.csv,Local,1757,Exports,Nantes,1,Pruneaux,Allemagne,800,Livre,0.1,,,,1
9,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1757.csv,Local,1757,Exports,Nantes,1,Rocou,Allemagne,1194,Livre,0.3,,,Prix unitaire en pourcentage,1
10,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1757.csv,Local,1757,Exports,Nantes,1,Sucre brut,Allemagne,47000,Livre,0.22,,,Prix unitaire en pourcentage,1
11,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1757.csv,Local,1757,Exports,Nantes,1,Sucre terré,Allemagne,13000,Livre,0.56,,,Prix unitaire en pourcentage,1
12,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1757.csv,Local,1757,Exports,Nantes,1,Thé,Allemagne,1951,Livre,3.75,,,,1
13,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1757.csv,Local,1757,Exports,Nantes,1,Vin d'Amont,Allemagne,77,Tonneau,140,,,,1
