numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,unverified
1,Matthias Loise,AD 44 C 717  ,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Cercles de bois,Angleterre,80050,en nombre,"0,0666667","5336,67","0,00",,1
2,Matthias Loise,AD 44 C 717  ,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Eau de vie,Angleterre,4780,veltes,"5,2500000","25095,00","0,00",,1
3,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Indigo,Angleterre,32262,livres,"5,5500000","179054,10","0,00",,1
4,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Sel,Angleterre,10,muides,"160,0000000","1600,00","0,00",,1
5,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Thé,Angleterre,4266,livres,"1,9000000","8105,00","-0,40",,1
6,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Vin de Bordeaux,Angleterre,"3,66666666",barriques,"100,0000000","366,67","0,00",,1
7,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Vinaigre,Angleterre,3,barriques,"30,0000000","90,00","0,00",,1
8,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Bas de soie,Danemark,4,livres,"40,0000000","160,00","0,00",,1
9,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Blé seigle,Danemark,100300,livres,"0,1000000","10030,00","0,00",,1
10,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Café des Indes,Danemark,5685,livres,"0,9000000","5116,50","0,00",,1
11,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Cercles de bois,Danemark,55450,en nombre,"0,0333333","1848,33","0,00",,1
12,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Confitures,Danemark,1303,livres,"0,6000000","781,80","0,00",,1
13,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Coton en laine,Danemark,590,livres,"0,9916667","585,08","0,00",,1
14,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Eau de vie,Danemark,15007,veltes,"5,2500000","78786,75","0,00",,1
15,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Marchandises mêlées,Danemark,,,,"571,00",,Valeur totale,1
16,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Orge,Danemark,91000,livres,"0,0625000","5687,50","0,00",,1
17,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Raisin sec,Danemark,12600,livres,"0,1500000","1890,00","0,00",,1
18,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Sel,Danemark,283,muides,"160,0000000","45280,00","0,00",,1
19,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Sucre brut,Danemark,223000,livres,"0,2458333","54820,83","0,00",,1
20,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Sucre en pain,Danemark,550,livres,"0,6500000","357,50","0,00",,1
21,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Sucre terré,Danemark,538150,livres,"0,4291667","230956,18","0,13",,1
22,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Thé,Danemark,450,livres,"1,9000000","855,00","0,00",,1
23,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Vin de Bordeaux,Danemark,"1,75",tonneaux,"400,0000000","700,00","0,00",,1
24,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Vinaigre,Danemark,19,barriques,"30,0000000","570,00","0,00",,1
25,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,1,Vinaigre,Danemark,18,quarts,"7,5000000","135,00","0,00",,1
26,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Amidon,Espagne,1475,livres,"0,2500000","368,75","0,00",,1
27,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Armes à feu,Espagne,1100,livres,"1,0000000","1100,00","0,00",,1
28,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Bas de fil,Espagne,429,livres,"4,7500000","2037,75","0,00",,1
29,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Biscuits,Espagne,53500,livres,"0,2000000","10700,00","0,00",,1
30,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Brun rouge,Espagne,1040,livres,"0,1000000","104,00","0,00",,1
31,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Bougie,Espagne,442,livres,"2,1000000","928,20","0,00",,1
32,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Bouteille de verre,Espagne,6500,en nombre,"0,0250000","162,50","0,00",,1
33,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Cacao,Espagne,4302,livres,"0,6000000","2581,20","0,00",,1
34,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Café des Indes,Espagne,3862,livres,"0,9000000","3475,80","0,00",,1
35,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Canelle,Espagne,900,livres,"8,0000000","7200,00","0,00",,1
36,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Canelle sauvage,Espagne,101,livres,"3,5000000","353,05","-0,45",Erreur de calcul,1
37,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Cercles de bois,Espagne,47880,en nombre,"0,0333333","1596,00","0,00",,1
38,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Chandelle,Espagne,760,livres,"0,5500000","418,00","0,00",,1
39,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Chapeaux mi-castor,Espagne,100,en nombre,"7,7500000","775,00","0,00",,1
40,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Chapeaux communs,Espagne,26,en nombre,"4,0000000","104,00","0,00",,1
41,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Charbon de terre,Espagne,40,barriques,"7,5000000","300,00","0,00",,1
42,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Clous de fer,Espagne,5200,livres,"0,3000000","1560,00","0,00",,1
43,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Confitures,Espagne,248,livres,"0,6000000","148,80","0,00",,1
44,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Coton filé,Espagne,900,livres,"2,0000000","1800,00","0,00",,1
45,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Cuirs tannés,Espagne,49490,livres,"0,4500000","22270,50","0,00",,1
46,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Drap d'Elbeuf,Espagne,120,aunes,"15,0000000","1800,00","0,00",,1
47,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Drap de Sedan,Espagne,520,livres,"14,0000000","7280,00","0,00",,1
48,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Drogueries,Espagne,2508,livres,"2,0000000","5016,00","0,00",,1
49,Matthias Loise,AD44 C717,Local/Nantes/Nantes - Exports – 1770.csv,Local,1770,Exports,Nantes,2,Epicerie,Espagne,170,livres,"2,1000000","357,00","0,00",,1
