"numrodeligne","dataentryby","source","sourcepath","sourcetype","year","exportsimports","direction","sheet","marchandises","pays","quantit","quantity_unit","prix_unitaire","value","probleme","remarks","Droits totaux indiqués","Droits unitaires","remarks pour les droits"
1,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1779.csv","Local",1779,"Imports","Nantes",1,"Azur","Allemagne",754,"Livres","0,75","565,5",0,,,,
2,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1779.csv","Local",1779,"Imports","Nantes",1,"Bas de laine","Allemagne",400,"Douzaine",18,7200,0,,,,
3,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1779.csv","Local",1779,"Imports","Nantes",1,"Bœuf salé","Allemagne",216962,"Livres","0,25","62240,5",8000,"erreur de calcul",,,
4,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1779.csv","Local",1779,"Imports","Nantes",1,"Bœuf fumé","Allemagne",791,"Livres",1,791,0,,,,
5,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1779.csv","Local",1779,"Imports","Nantes",1,"Bois merrain","Allemagne",4102,"Pieces","0,17","697,35","0,01","erreur de calcul",,,
6,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1779.csv","Local",1779,"Imports","Nantes",1,"Chanvre cru","Allemagne",80000,"Livres","0,38",30400,0,,,,
7,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1779.csv","Local",1779,"Imports","Nantes",1,"Couperose","Allemagne",1680,"Livres","0,1",168,0,,,,
8,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1779.csv","Local",1779,"Imports","Nantes",1,"Couverture de laine","Allemagne",12,"Nombre",14,172,4,"erreur de calcul",,,
9,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1779.csv","Local",1779,"Imports","Nantes",1,"Cuivre ; en fourure","Allemagne",2650,"Livres","1,4",3710,0,"valeur glogal 4856,6 livres",,,
10,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1779.csv","Local",1779,"Imports","Nantes",1,"Cuivre ; en planche","Allemagne",819,"Livres","1,4","1146,6",0,,,,
11,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1779.csv","Local",1779,"Imports","Nantes",1,"Fer blanc","Allemagne",52106,"Livres","0,75","39079,5",0,,,,
12,"Demba","AD44C717","Local/Nantes/Nantes - Imports - 1779.csv","Local",1779,"Imports","Nantes",1,"Gaudron","Allemagne",200,"Barils",33,6600,0,,,,
