numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1772.csv,Local,1772,Imports,Nantes,1,Bœuf salé,Angleterre,"526 350,00",Livres,"0,2500000",,"-131 587,50",,,,
2,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1772.csv,Local,1772,Imports,Nantes,1,Beurre,Angleterre,"10 791,00",Livres,"0,9000000",,"-9 711,90",doute sur le prix,,,
3,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1772.csv,Local,1772,Imports,Nantes,1,Chandelle,Angleterre,"2 060,00",Livres,"0,5500000",,"-1 133,00",,,,
4,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1772.csv,Local,1772,Imports,Nantes,1,Cornes de bœuf,Angleterre,"2 400,00",Nombre,"0,1500000",,"-360,00",,,,
5,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1772.csv,Local,1772,Imports,Nantes,1,Cuirs de bœuf en poil,Angleterre,"264,00",Nombre,"30,0000000",,"-7 920,00",,,,
6,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1772.csv,Local,1772,Imports,Nantes,1,Langues,Angleterre,"1 135,00",Livres,"0,5000000",,"-567,50",,,,
7,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1772.csv,Local,1772,Imports,Nantes,1,Lard,Angleterre,"3 680,00",Livres,"0,3500000",,"-1 288,00",,,,
8,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1772.csv,Local,1772,Imports,Nantes,1,Poils de cochon,Angleterre,"142,00",Livres,"0,2000000",,"-28,40",,,,
9,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1772.csv,Local,1772,Imports,Nantes,1,Suif,Angleterre,"3 610,00",Livres,"0,4500000",,"-1 624,50",,,,
10,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1772.csv,Local,1772,Imports,Nantes,1,Tripes,Angleterre,"140,00",Livres,"0,1500000",,"-21,00",,,,
11,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1772.csv,Local,1772,Imports,Nantes,1,Anspect,Danemark,"830,00",Livres,"0,2000000",,"-166,00",,,,
12,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1772.csv,Local,1772,Imports,Nantes,1,Epars,Danemark,"240,00",Nombre,"0,7500000",,"-180,00",,,,
13,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1772.csv,Local,1772,Imports,Nantes,1,Bray bras,Danemark,"207,00",Barils,"17,0000000",,"-3 519,00",,,,
14,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1772.csv,Local,1772,Imports,Nantes,2,Fer en barres,Danemark,"13 866,00",Livres,"0,1750000",,"-2 426,55",,,,
15,Demba,AD44C717,Local/Nantes/Nantes - Entrées - 1772.csv,Local,1772,Imports,Nantes,2,Lattes,Danemark,"1 695,00",Nombre,"0,0250000",,"-42,38",,,,
