numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,remarks
1,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Bray Sec,Nantes,Angleterre,5225,Livres,"0,5",.,
2,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Caffé des Isles,Nantes,Angleterre,765,Livres,"0,55",.,
3,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Eau de vie,Nantes,Angleterre,535,Barriques,120,.,
4,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Feu en Barres,Nantes,Angleterre,10500,Livres,"0,14",.,
5,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Mercerie,Nantes,Angleterre,20,Livres,2,.,
6,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Merrain ganivelle douelles,Nantes,Angleterre,19500,Pièces,"0,0333333",.,
7,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Papier à écrire,Nantes,Angleterre,600,Livres,"0,6",.,
8,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Sirop de sucre,Nantes,Angleterre,8,Pièces,"7,5",.,
9,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Sel,Nantes,Angleterre,51,Muids,60,.,
10,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Thé divers,Nantes,Angleterre,26943,Livres,"5,125",.,
11,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Toile de Bretagne,Nantes,Angleterre,500,Livres,4,.,
12,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Vin Nantois,Nantes,Angleterre,2,Barriques,30,.,
