numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,probleme
1,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,1,Beuf salé,Angleterre,376200,15675,Barils,24,0
2,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,1,Beure salé,Angleterre,316921.5,1509150,Livres,0.21,0
3,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,1,Bled froment,Angleterre,19500,150,Tonneaux,130,0
4,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,1,Bariques vuides,Angleterre,132,132,En nombre,1,0
5,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,1,Cuirs verts en poil,Angleterre,254860,12743,En nombre,20,0
6,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,1,Crin,Angleterre,2400,1920,Livres,1.25,0
7,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,1,Cire Jaune,Angleterre,591.5,455,Livres,1.3,0
8,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,1,Chandelle,Angleterre,14934,37335,Livres,0.4,0
9,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,1,Charbon de terre,Angleterre,6100,1220,Bariques,5,0
10,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,1,Fromage,Angleterre,3679.2,20440,Livres,0.18,0
11,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,1,Huile de poisson,Angleterre,3600,30,Bariques,120,0
12,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,1,Huile de poisson,Angleterre,8962.5,35850,Livres,0.25,0
13,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,1,Huile de rabette,Angleterre,1140,12,Bariques,95,0
14,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,1,Langues de bœuf,Angleterre,30.6,204,Livres,0.15,0
15,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,1,Lard,Angleterre,600,3000,Livres,0.2,0
16,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,1,Laine en Suin,Angleterre,23421,78070,Livres,0.3,0
17,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,1,Saumon Salé,Angleterre,14380,359.5,Barils,40,0
18,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,1,Saumon Salé,Angleterre,6630,102,Gommes,65,0
19,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,1,Suif,Angleterre,36277.5,103650,Livres,0.35,0
20,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,1,Salicor,Angleterre,8750,35000,Livres,0.25,0
21,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,1,Cabillau,Flandre Imperialle,750,30,Barils,25,0
22,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,1,Cabillau,Flandre Imperialle,2790,27900,Livres,0.1,0
