numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,remarks
1,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Argent monnoyé,Possessions Espagnoles,265433,Articles de marchandises permis par l'arrêt du 30 août 1784
2,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Argent monnoyé,Possessions Anglaises,10500,Articles de marchandises permis par l'arrêt du 30 août 1784
3,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Argent monnoyé,Possessions Hollandaises,104250,Articles de marchandises permis par l'arrêt du 30 août 1784
4,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bestiaux,Possessions des États-Unis de l'Amérique,776577,Articles de marchandises permis par l'arrêt du 30 août 1784
5,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bestiaux,Possessions Espagnoles,182343,Articles de marchandises permis par l'arrêt du 30 août 1784
6,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bestiaux,Possessions Portugaises,29750,Articles de marchandises permis par l'arrêt du 30 août 1784
7,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bestiaux,Possessions Anglaises,1000,Articles de marchandises permis par l'arrêt du 30 août 1784
8,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bestiaux,Possessions Danoises,16208,Articles de marchandises permis par l'arrêt du 30 août 1784
9,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bestiaux,Possessions Hollandaises,8622,Articles de marchandises permis par l'arrêt du 30 août 1784
10,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bêtes de somme,Possessions des États-Unis de l'Amérique,1246770,Articles de marchandises permis par l'arrêt du 30 août 1784
