Codes moi,sitc18_rev3,labelfrançais,labelanglais,Description générale,modifs SITC21,sitc18_rev3
10,0a,Autres produits alimentaires et animaux,Other foodstuff and live animals,"sauf boissons alcolisées et tabac; y compris céréales, poissons, fruits et légumes, jus de fruits et légumes, sirops (sauf si possible présence d'alcool, en 1, ou possible utilisation médicamenteuse type extrait, esprit, en 5), vinaigres, lait et produits laitiers, épices, fourrages.",- sirops possiblement alcoolisés reclassés en 1,0a
20,0b,Produits agricoles alimentaires des régions de colonisation européenne,Plantation foodstuff,"sauf boissons alcolisées et tabac; y compris céréales, fruits et légumes, épices, fourrages mais seulement si originaires des régions de colonisation européenne: Amériques/Indes occidentales, Inde/Indes orientales/réunion, etc.. NB: seulement produit agricole et non seule origine géographique, la morue de Terre-Neuve ou la viande de castor sont classées en 0a. Si un  produit est cultivé à la fois dans les régions de colonisation et dans d'autres régions extra-européennes (Levant, Afrique du Nord, Chine...), le produit est tout de même classé en 0b comme produit colonial. En cas de doute sur la présence ou non du produit en Europe, ou de description incertaine, en revanche, classer en 0a; également en 0a si le produit peut avoir été transformé en Europe.",,0b
100,1,Boissons et tabac,Beverages and tobacco,"boissons alcolisées, eau, boissons n.d.a ou au statut alcoolisé incertain (""liqueurs en sirop"") à condition d'être clairement comestible; en cas de statut médicinal possible, ou parfum, ou extrait purifié à but incertain, renvoi en 5.",- sirops non alcoolisés systématiquement classés en 0a,1
200,2,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","sauf combustibles (bois de chauffage, tourbe, charbon de bois), en 3; pigments et colorants y compris naturels bruts, en 5;
y compris
- bois bruts sciés ou non sans aucune mention de façonnage ou de calibrage, uniquement présentés comme ""bois"" de quelque chose ou de quelque part sciés ou en bûches, autrement classés en 6b (y compris tous les ""bois pour..."", supposés triés et calibrés et donc en 6b);
- bambou, rotin;
- graines et fruits oleagineux avant transformation, graines semences même de produits comestibles, plantes entières ou en partie y compris fleurs, racines, feuilles, résines et gommes,à usage non comestible (usage médicinal, pour les manufactures, etc.); sauf produits colorants et teinturiers même naturels, classés en 5;
- toute fibre textile brute non filée ou tissée (soie ou filoselle, coton, jute, lin, chanvre, laine...) qu'elle soit animale ou végétale, même avec première transformation (cardage ou peignage, par exemple);
- cuirs et peaux explicitement bruts (""vertes"", ""crues"", ""en poil"" ou ""fourrure""); en cas de doute ou d'indication contradictoire, classer en 6a;
- tous déchets de matières organiques (fumier, cendre hors cendres à teintures signalées par une couleur...); également déchets de tissus (chiffons, friperie);
- toute pierre, sable ou minéral bruts (craie, soufre, bitume, pyrite de fer, etc.), y compris en poudre ou en solution, y compris plâtre, y compris  le sel commun NaCl (mais non raffinés:  ""sels"" autres que NaCl supposés raffinés, et donc mis en 5), sauf pierre taillée ou travaillée, classée en 6k (en cas de présence d'un qualificatif et doute sur le caractère ouvré, rester en 2); tout déchet minéral (dérivés de la fabrication du fer ou de l'acier, par ex.), et sauf produits colorants et teinturiers; en cas de doute sur une éventuelle nature composée ou teinturière (produit utilisé non précisé, comme dans les ""poudres"" diverses), classer en 5
- os, corne, ivoire, écaille, ambre, coquillage, nacre non transformés en objet (si qualificatif ""monté"" ou ""travaillé"", renvoyer en 8)
- animaux ou parties d'animaux à usage non comestible, hors bêtes de somme, non travaillées (y compris destinées aux manufactures, mais hors colorants et teintures, rejetés en 5; si qualificatif ""monté"" ou ""travaillé"", renvoyer en 8)","- tous combustibles, même non carburants, transférés en 3 dans SITC18
- bois façonnés non travaillés, type traverses ou planches épaisses, transférés en 6b dans SITC18
- cuir et peaux au statut incertain reclassés en 6a",2
300,3,Combustibles,Fuels,"Bois de chauffage, tourbe, charbon de bois ou de terre, pétrole","Inclut tous les combustibles, y compris non carburants",3
400,4,"Huiles, graisses et cires d'origine animale et végétale",Oils,"Uniquement produits explicitement présentés comme huiles ou graisses (en cas de doute, classer en 2); sauf huiles essentielles médicinales, parfumerie, etc., en 5; huiles combustibles, en 3; et bougies, en 8.",,4
500,5,Produits chimiques transformés n.d.a.,Processed chemical products,"Produits chimiques ou apparentés ayant subi au moins une transformation (dans le doute, en 2, sauf pour les teintures/colorants).
Y compris 
- alcools non comestibles; 
- sels divers minéraux ou végétaux, transformés (composés ou raffinés, mais pas seulement produits bruts broyés ou en solution non qualifiés de ""sels"", en ce cas laissés en 2); en cas de doute sur le degré de transformation du minéral ou végétal d'origine (""poudre d'étain"" plutôt que ""sel d'étain"", par ex.), mettre en 2; si présence d'une indication autre que d'origine ou de produit brut, tendant à indiquer un composé ou une utilisation médicinale ou tinctoriale, laisser en 5;
- médicaments de tous type impliquant au moins une opération de transformation (dans le doute, retour en 2); également sang et fluides organiques clairement signalés comme à but thérapeutiue et non alimentaire (là encore, dans le doute retour en 2);
- encres, peintures et colorants, vernis, colles, y compris les colorants et pigments naturels transformés ou bruts (dans le doute sur la fonction tinctoriale, classer en 2) et les bois signalés comme de teinture ou traités pour l'utilisation en teinture ou en médecine (hachés, moulus, râpés...);
- parfums, essences, eaux, extraits, huiles, poudres et sels au statut incertain, sans indication de produit brut utilisé pour les confectionner, et pouvant servir à l'artisanat, la médecine ou la parfurmerie, y compris les eaux minérales et les extraits purifiés de plantes;
- savons, produits de nettoyage;
- poudres, explosifs.","- médicaments naturels au statut incertain reclassés en 2
- minéraux et végétaux ayant subi une première transformatiuon (extraits, broyés...) mais sans modifier leur composition initiale laissés en 2",5
610,6a,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"peaux et pelleteries traitées (mais non taillées et cousues en habits et chaussures, à rejeter en 8); hors peaux signalées comme brutes (attention, ""en poil"" ou ""en laine"" ne suffit pas à garantir que les peaux ne sont pas traitées; il faut une mention explicite de type ""brut"", ou ""fourrure"", e.g.) pour renvoyer en 2, en cas de doute on garde en 6a; hors sellerie (tous articles utilisés pour les transports), renvoyés en 7; et hors matériel de voyage (renvoyé en 8).",- sellerie reclassée en 7,6a
630,6b,"Produits du bois, liège, jonc","Wood, cork and cane products","tous ouvrages en bois/liège/jonc travaillé; tout bois transformé sauf quand la transformation est en lien avec la teinture ou la médecine, dans ce cas en 5; toute tonnellerie et seaux, même en fer; hors meubles et éléments de meubles ou d'accessoires de toilette désignés autrement que par ""bois pour..."", à mettre en 8 (""baguettes pour éventail"" => 8; ""bois pour éventail""=> 6b); hors bois de teinture et médicinaux, en 5; outils en bois, y compris éléments d'outils en bois (""manches de brosses"", e. g., mais ""manches de bois"" ou ""bâtons"" sans indication de destination reste en 6b), en 6j; vannerie, en 8; et cordages, en 6d","- bois façonné non travaillé transféré de 2;
- outils en bois rejetés en 6j",6b
640,6c,Papier,Paper products,"produits du papier sauf imprimés ou livres n'impliquant aucune intervention de l'utilisateur car entièrement finis, y compris papiers peints et à tapisser; registres et cahiers vierges sont inclus, mais pas livres ou journaux, à rejeter en 8",,6c
651,6d,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",Linen threads and fabrics,"Filés ou tissés, y compris rubanerie et passementerie d'une seule fibre végétale hors coton","catégorie 65, ""fils, tissus et articles textiles façonnés"", redistribuée",6d
652,6e,Filés ou tissés de laine et de poil,Wool threads and fabrics,"Filés ou tissés, y compris rubanerie et passementerie de fibres animales hors soie. Y compris, ""drap"" et draperie sans précision (voir https://toflit18.hypotheses.org, décembre 2020)","catégorie 65, ""fils, tissus et articles textiles façonnés"", redistribuée",6e
653,6f,Filés ou tissés de soie et soie mélangée ,Silk threads and fabrics,"Filés ou tissés, y compris rubanerie et passementerie contenant de la soie, y compris satins, damas et velours sans indication d'autre composition","catégorie 65, ""fils, tissus et articles textiles façonnés"", redistribuée",6f
654,6g,Filés ou tissés de coton,Coton threads and fabrics,"Filés ou tissés, y compris rubanerie et passementerie de coton","catégorie 65, ""fils, tissus et articles textiles façonnés"", redistribuée",6g
655,6h,Autres filés ou tissés mélangés de fibres végétales dont toiles,Other vegetal threads and fabrics ,"Filés ou tissés, y compris dentelle, rubanerie et passementerie, de plusieurs fibres végétales mêlées ou de nature incertaine, y compris tout tissé décrit comme toile n.d.a., y compris filets de pêche ou de chasse","catégorie 65, ""fils, tissus et articles textiles façonnés"", redistribuée",6h
656,6i,Autres filés ou tissés,Other threads and fabrics,"Filés ou tissés, y compris cordes et cordages ou tapis et tapisseries indéfinis, et dentelle, rubanerie et passementerie sauf d'or/argent pur, de composition inconnue ou incertaine, pouvant être d'origine animale ou végétale, ou pouvant mêler des matières d'origines animale et végétale à la fois","catégorie 65, ""fils, tissus et articles textiles façonnés"", redistribuée",6i
670,6j,"Métaux, produits métalliques et outils",Metal products,"Tout produit de la métallurgie hors métal brut sous forme de minerai, poudre ou solution (rejetés en 2), et tout objet manufacturé de fer, cuivre ou tout autre métal (hors tonnellerie, en 6b et moyens de transport, en 7), y compris: 
- lingots, grenaille, plaques, feuilles, tôles, barres, tiges, fils, tubes, tuyaux, poudres de métal;
- couteaux, y compris quand la matière n'est pas précisée;
- vaiselle, récipients, caisses, cuves hors chaudières et sanitaires, clés, objets ménagers en métal hors meubles, objets d'art (cuivre gravé ou en bas-relief, e.g.), étuis, boîtes, coffres, renvoyés en 8.;
- visserie, aiguilles, épingles, et tous outils à main, y compris outils en bois ou en matière non métallique, y compris moules et formes pour artisans (mais pas machines agricolespi autres ni outils employés dans la marine, en 7; ni filets de pêche, en 6h; ni outils de pêche à la ligne, instruments de précision, balais, brosses, pinceaux, établis et tables de travail, tamis, chaudières, en 8)",Outils en bois transférés de 6b,6j
660,6k,"Articles minéraux non métalliques manufacturés, n.d.a.",Other industrial products,"Y compris:
- terres cuites: matériaux de construction (briques, carreaux, etc.), poterie (y compris bouteilles entourées de tissus ou d'osier), vaisselle, porcelaine, céramique; également chaux, ciment; mias vaisselle et autres en or, argent, matières précieuses ou semi-précieuses rejetées en 8;
- verrerie: vaiselle (y compris bouteilles entourées de tissus ou d'osier), miroirs sans mention d'encadrement (si encadrés, en 8), vitres;
- vaisselle, verres, bouteilles, pots, etc. sans indication de composition;
- pierres précieuses et semi-précieuses sans mention de monture;
- pierres taillées, meules, statues hors marbre et albâtre sculpté ou travaillé, en 8",,6k
700,7,Machines et moyens de transport y compris sellerie,Machines and transportation,"Toute machine entière y compris fours, fourneaux, alambics, creusets, réchauds, tout objet utilisé pour le transport, y compris les objets en cuir urilisés en sellerie, toutes pièces détachées de moyens de transport ou objet dont l'usage est exclusivement lié à un moyen de transport y compris navigation, batellerie, etc. (en cas de doute sur l'utilisation de la pièce détachée, rejeter dans une autre catégorie), hors meules, rejetées en 6k.",sellerie transférée de 6a,7
