numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte
1,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Acier,,667,2225,Étranger,,livres,667,,,,,,0
2,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Agrès et jeux de voiles,,798000,133,Guyenne,,en nombre,1092000,,,,,,0
3,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,3,Agrès et jeux de voiles,,168000,28,Guyenne,,en nombre,1092000,,,,,,0
4,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Guadeloupe,,3,Agrès et jeux de voiles,,96000,16,Guyenne,,en nombre,1092000,,,,,,0
5,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Cayenne et Guyanne,,3,Agrès et jeux de voiles,,30000,5,Guyenne,,en nombre,1092000,,,,,,0
6,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,3,Agrès et jeux de voiles,,126000,21,Guyenne,,en nombre,,,,,,,0
7,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Voiles pour navires,,1100,,Guyenne,,,1100,,,,,Pas de quantité indiquée,0
8,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Prélat pour navires,,400,2,Guyenne,,en nombre,400,,,,,,0
9,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Amandes en coques,,10131,16885,Provence,,livres,10857,,,,,,0
10,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,3,Amandes en coques,,486,810,Provence,,livres,10857,,,,,,0
11,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Guadeloupe,,3,Amandes en coques,,240,400,Provence,,livres,10857,,,,,,0
12,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Amandes en coques,,2910,4850,Languedoc,,livres,2910,,,,,,0
13,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Armes blanches en épées,,150,12,Isle de France,,en nombre,150,,,,,,0
14,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,3,Armes blanches en sabres de traite,,52994,7132,Étranger,,en nombre,,,,,,,0
15,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Armes blanches en sabres ordinaires,,240,12,Étranger,,en nombre,240,,,,,,0
16,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,3,Armes blanches en sabres ordinaires,,144,12,Étranger,,en nombre,,,,,,,0
17,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Sabres,,600,36,Forêt,,en nombre,600,,,,,,0
18,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Artillerie en canons de fer,,640,4,Languedoc,,en nombre,640,,,,,,0
19,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Artillerie en canons de fer,,200,2,Angoumois,,en nombre,700,,,,,,0
20,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Guadeloupe,,3,Artillerie en canons de fer,,500,2,Angoumois,,en nombre,700,,,,,,0
21,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,3,Armes à feu en fusils de traite,,5865,1173,Bretagne,,en nombre,,,,,,,0
22,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Armes à feu en fusils de traite,,258,43,Forêt,,en nombre,2826,,,,,,0
23,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,3,Armes à feu en fusils de traite,,2568,438,Forêt,,en nombre,2826,,,,,,0
24,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,3,Armes à feu en fusils de traite,,5064,844,Aunis,,en nombre,,,,,,,0
25,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Armes à feu en fusils de traite,,168,28,Étranger,,en nombre,168,,,,,,0
26,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,3,Armes à feu en fusils de traite,,23340,3890,Étranger,,en nombre,,,,,,,0
27,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,3,Armes à feu en fusils de traite,,3000,500,Quercy,,en nombre,,,,,,,0
28,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Armes à feu en fusils de chasse,,17380,869,Forêt,,en nombre,20080,,,,,,0
29,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,3,Armes à feu en fusils de chasse,,1780,89,Forêt,,en nombre,20080,,,,,,0
30,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Guadeloupe,,3,Armes à feu en fusils de chasse,,920,46,Forêt,,en nombre,20080,,,,,,0
31,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,3,Armes à feu en fusils à deux coups,,5172,49,Forêt,,en nombre,5282,,,,,,0
32,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Guadeloupe,,3,Armes à feu en fusils à deux coups,,110,1,Forêt,,en nombre,5282,,,,,,0
33,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,3,Armes à feu en fusils à deux coups,,420,14,Forêt,,en nombre,,,,,,,0
34,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Armes à feu en fusils dits boucaniers,,11172,532,Forêt,,en nombre,15036,,,,,,0
35,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,3,Armes à feu en fusils dits boucaniers,,2100,100,Forêt,,en nombre,15036,,,,,,0
36,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Guadeloupe,,3,Armes à feu en fusils dits boucaniers,,1428,68,Forêt,,en nombre,15036,,,,,,0
37,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Cayenne et Guyanne,,3,Armes à feu en fusils dits boucaniers,,336,16,Forêt,,en nombre,15036,,,,,,0
38,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,3,Armes à feu en fusils dits boucaniers,,1848,88,Forêt,,en nombre,,,,,,,0
39,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Armes à feu en pistolets,,1176,147,Forêt,,paires,1656,,,,,,0
40,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,3,Armes à feu en pistolets,,480,60,Forêt,,paires,1656,,,,,,0
41,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,3,Armes à feu en pistolets,,1424,178,Forêt,,paires,,,,,,,0
42,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Beurre salé,,361457,401619,Étranger,,livres,506321,,,,,,0
43,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,3,Beurre salé,,76927,85475,Étranger,,livres,506321,,,,,,0
44,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Guadeloupe,,3,Beurre salé,,60781,67535,Étranger,,livres,506321,,,,,,0
45,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Cayenne et Guyanne,,3,Beurre salé,,7156,7951,Étranger,,livres,506321,,,,,,0
46,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,3,Beurre salé,,31696,35218,Étranger,,livres,63970,,,,,,0
47,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Bierre,,58120,806,Étranger,,muids,63970,,,,,,1
48,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Bierre,,58120,272,Étranger,,pintes,63970,,,,,,2
49,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Bierre,,58120,40,Étranger,,bouteilles,63970,,,,,,2
50,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,3,Bierre,,5550,77,Étranger,,muids,63970,,,,,,1
51,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,3,Bierre,,5550,24,Étranger,,pintes,63970,,,,,,2
52,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Guadeloupe,,3,Bierre,,300,4,Étranger,,muids,63970,,,,,,1
53,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Guadeloupe,,3,Bierre,,300,48,Étranger,,pintes,63970,,,,,,2
54,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,3,Bierre,,1465,11,Étranger,,muids,,,,,,,1
55,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,3,Bierre,,1465,32,Étranger,,pintes,,,,,,,2
56,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,3,Bierre,,1465,1330,Étranger,,bouteilles,,,,,,,2
57,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Bijouterie,,188975,,Isle de France,,,192399,,,,,Pas de quantité indiquée,0
58,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,3,Bijouterie,,2900,,Isle de France,,,192399,,,,,Pas de quantité indiquée,0
59,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Guadeloupe,,3,Bijouterie,,500,,Isle de France,,,192399,,,,,Pas de quantité indiquée,0
60,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Cayenne et Guyanne,,3,Bijouterie,,24,,Isle de France,,,192399,,,,,Pas de quantité indiquée,0
61,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,3,Bijouterie,,8400,,Isle de France,,,,,,,,Pas de quantité indiquée,0
62,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Bijouterie,,8420,,Languedoc,,,8420,,,,,Pas de quantité indiquée,0
63,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Biscuits,,48465,323100,Guyenne,,livres,59287,,,,,,0
64,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,3,Biscuits,,4597,30650,Guyenne,,livres,59287,,,,,,0
65,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Guadeloupe,,3,Biscuits,,3525,23500,Guyenne,,livres,59287,,,,,,0
66,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Cayenne et Guyanne,,3,Biscuits,,2700,18000,Guyenne,,livres,59287,,,,,,0
67,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,3,Biscuits,,21705,144700,Guyenne,,livres,,,,,,,0
68,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,3,Bois en avirons,,840,120,Guyenne,,en nombre,,,,,,,0
69,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Bois de sapin en planches,,25800,8600,Étranger,,en nombre,36336,,,,,,0
70,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,3,Bois de sapin en planches,,6600,2200,Étranger,,en nombre,36336,,,,,,0
71,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Guadeloupe,,3,Bois de sapin en planches,,3000,1000,Étranger,,en nombre,36336,,,,,,0
72,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Cayenne et Guyanne,,3,Bois de sapin en planches,,936,312,Étranger,,en nombre,36336,,,,,,0
73,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,3,Bois de sapin en planches,,4200,1400,Étranger,,en nombre,,,,,,,0
74,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,3,Bois de sapin en planches communes,,1692,4700,Angoumois,,en nombre,2196,,,,,,0
75,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,3,Bois de sapin en planches communes,,252,700,Angoumois,,en nombre,2196,,,,,,0
76,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Guadeloupe,,3,Bois de sapin en planches communes,,252,700,Angoumois,,en nombre,2196,,,,,,0
