numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte
1,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,66,Armes blanches,,1500,,,,,,,,,,Pas de quantité indiquée,0
2,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Sabre,,207,166,Étranger,,en nombre,,,,,,,0
3,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Armes à feu fusils,,2296,,France,,,,,,,,Pas de quantité indiquée,0
4,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Armes à feu fusils,,47600,6569,Étranger,,en nombre,,,,,,,1
5,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Armes à feu fusils,,47600,6302,Étranger,,livres,,,,,,,2
6,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Armes à feu pistolets,,116,58,Étranger,,en nombre,,,,,,,0
7,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,66,Bonneterie de fil,,13020,1950,Anjou,,livres,,,,,,,0
8,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Bonneterie de soye,,864,,Languedoc,,,,,,,,Pas de quantité indiquée,0
9,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Bois à bruler,,320,,,,,,,,,,Pas de quantité indiquée,0
10,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,66,Bois feuillard en cordes,,20340,13210,Normandie,,paquets,,,,,,,0
11,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,66,Bois de sapin en planches,,1700,2000,Étranger,,en nombre,,,,,,,0
12,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,66,Bray gras,,125,1500,Étranger,,livres,,,,,,,0
13,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Bray gras,,325,3900,Étranger,,livres,,,,,,,0
14,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,66,Bray sec,,108,1200,Pays des basques,,livres,,,,,,,0
15,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Bray sec,,595,60205,Pays des basques,,livres,,,,,,,0
16,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,66,Goudron,,788,8160,Étranger,,livres,,,,,,,0
17,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Goudron,,748,8160,Étranger,,livres,,,,,,Dernier chiffre illisible,0
18,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Caffé,,510,707,Isles françaises,,livres,,,,,,,0
19,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Cardes à carder,,472,,,,,,,,,,,0
20,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Caves et canevettes,,460,130,Étranger,,en nombre,,,,,,Dernier chiffre illisible,0
21,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Cauris,,75920,61804,Étranger,,livres,,,,,,,0
22,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,66,Beurre salé,,345,510,Étranger,,livres,,,,,,,0
23,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Beurre salé,,2612,4520,Étranger,,livres,,,,,,,0
24,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,66,Beurre salé,,13227,17291,Normandie,,livres,,,,,,,0
25,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,66,Biscuit,,4660,23200,Normandie,,livres,,,,,,,0
26,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Biscuit,,6858,34290,Normandie,,livres,,,,,,,0
27,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,66,Chairs salées diverses,,500,,Guyenne,,,,,,,,Pas de quantité indiquée,0
28,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Chairs salées diverses,,1812,,Guyenne,,,,,,,,Pas de quantité indiquée,0
29,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,66,Bœuf salé,,3620,9600,Étranger,,livres,,,,,,,0
30,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Bœuf salé,,8964,22410,Étranger,,livres,,,,,,,0
31,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,66,Jambon,,333,550,Normandie,,livres,,,,,,,0
32,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Jambon,,641,730,Étranger,,livres,,,,,,,0
33,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,66,Lard salé,,4157,8966,Étranger,,livres,,,,,,,0
34,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Lard salé,,3400,10021,Étranger,,livres,,,,,,,0
35,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,66,Lard salé,,1800,6000,Normandie,,livres,,,,,,,0
36,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,66,Farine,,200,800,Normandie,,livres,,,,,,,0
37,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Farine,,1480,7400,Normandie,,livres,,,,,,,0
38,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,66,Fromages divers,,1345,2650,Étranger,,livres,,,,,,,0
39,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Fromages divers,,1074,1040,Étranger,,livres,,,,,,,0
40,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Graines comestibles ris,,9131,37005,,,livres,,,,,,,0
41,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,66,Chapeaux de castor,,1400,7,Normandie,,douzaines,,,,,,,0
42,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,66,Chapeaux demis castor,,4100,"19,5",Normandie,,douzaines,,,,,,,0
43,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Chapeaux de laine,,1492,518,Étranger,,en nombre,,,,,,,0
44,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,66,Chapeaux de laine,,2600,880,Normandie,,en nombre,,,,,,,0
45,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Chapeaux de laine,,450,300,Normandie,,en nombre,,,,,,,0
46,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,66,Charbon de terre,,340,95,Angleterre,,barils,,,,,,,0
47,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,66,Charbon de terre,,4950,1250,Angleterre,,barils,,,,,,,0
