numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,probleme,remarks
1,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,1,Anchois,Pour la Hollande,384,48,barils,8,0,
2,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,1,Anchois,Pour la Hollande,12,10,pots,1.2,0,
3,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,1,Amandes cassées,Pour la Hollande,135655,678275,livres,0.2,0,
4,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,1,Amandes en coques,Pour la Hollande,2382,39700,livres,0.06,0,
5,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,1,Capres,Pour la Hollande,41227.5,137425,livres,0.3,0,
6,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,1,Eau de vie,Pour la Hollande,551470,2757350,livres,0.2,0,
7,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,1,Eau de vie rafinée,Pour la Hollande,131.25,525,livres,0.25,0,
8,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,1,Eau de la reyne d'hongrie,Pour la Hollande,900,1200,livres,0.75,0,
9,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,1,Eau de fleur d'orange,Pour la Hollande,150,300,livres,0.5,0,
10,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,1,Essance de jassemin,Pour la Hollande,1320,1320,livres,1,0,
11,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,1,Figues,Pour la Hollande,825,8250,livres,0.1,0,
12,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,1,Grenades fruit,Pour la Hollande,60,1200,nombre,0.05,0,
13,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,1,Graine de jardain,Pour la Hollande,3585,5975,livres,0.6,0,
14,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,1,Galles,Pour la Hollande,72,360,livres,0.2,0,
15,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,1,Huile d'olive,Pour la Hollande,216160,5404,milleroles,40,0,
16,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,1,Jujubes,Pour la Hollande,312.5,625,livres,0.5,0,
17,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,1,Legumes,Pour la Hollande,220,4400,livres,0.05,0,
18,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Liege,Pour la Hollande,10762.5,21525,livre,0.5,0,
19,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Liqueurs a boire,Pour la Hollande,360,360,livres,1,0,
20,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Miel,Pour la Hollande,1264.5,14050,livres,0.09,0,
21,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Olives,Pour la Hollande,54,27,barils,2,0,
22,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Olives,Pour la Hollande,2640,26400,livres,0.1,0,
23,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Prunes Brignolles,Pour la Hollande,7280,36400,livres,0.2,0,
24,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Pruneaux,Pour la Hollande,34501.2,296675,livres,0.15,10000.05,erreur de calcul
25,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Pomades,Pour la Hollande,160,160,livres,1,0,
26,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Pelleterie aprettée,Pour la Hollande,155,310,livres,0.5,0,
27,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Peaux de maroquin,Pour la Hollande,288,12,douzaine,24,0,
28,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Peaux de mouton passées,Pour la Hollande,2400,200,douzaine,12,0,
29,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Poil de chameau,Pour la Hollande,1600,800,livres,2,0,
30,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Raisin sec,Pour la Hollande,25953.2,249610,livres,0.12,4000,erreur de calcul
31,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Ris,Pour la Hollande,346.5,3850,livres,0.09,0,
32,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Saffran,Pour la Hollande,520,26,livres,20,0,
33,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Soye organsine,Pour la Hollande,29952,2304,livres,13,0,
34,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Savon,Pour la Hollande,8346,41730,livres,0.2,0,
35,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Savonette,Pour la Hollande,12,40,livres,0.3,0,
36,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Ton mariné,Pour la Hollande,150,150,livres,1,0,
37,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Tartre,Pour la Hollande,7917.75,52785,livres,0.15,0,
38,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Toile de crin,Pour la Hollande,16.8,42,livres,0.4,0,
39,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Vin muscat,Pour la Hollande,6675,6675,livres,1,0,
40,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Vin,Pour la Hollande,18100,9050,milleroles,2,0,
41,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Vin,Pour la Hollande,1281,427,charges,3,0,
42,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Vinaigre,Pour la Hollande,24,6,charges,4,0,
43,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Burate,Pour l'Espagne,24,84,livres,0.3,1.2,erreur de calcul
44,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Bas de Soye,Pour l'Espagne,4050,90,livres,45,0,
45,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Bas de filozelle,Pour l'Espagne,48,6,paires,8,0,
46,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Bas de filozelle,Pour l'Espagne,108,6,livres,18,0,
47,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Bas d'Estame fin,Pour l'Espagne,26100,2610,livres,10,0,
48,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Bazannes de veau tannées,Pour l'Espagne,3420,155,douzaine,24,300,erreur de calcul
49,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,2,Bougie de cire blanche,Pour l'Espagne,1795.5,1330,livres,1.35,0,
50,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Bouteille de verre,Pour l'Espagne,2280,12400,livres,0.2,200,erreur de calcul
51,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Chair salée,Pour l'Espagne,726.75,4275,livres,0.17,0,
52,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Chapeaux castor,Pour l'Espagne,2916,162,piéce,18,0,
53,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Chapeaux demy Castor,Pour l'Espagne,600,60,piéce,10,0,
54,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Chapeaux de poil,Pour l'Espagne,3168,44,douzaine,72,0,
55,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Chapeaux de poil et laine,Pour l'Espagne,18840,314,douzaine,60,0,
56,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Cheveux,Pour l'Espagne,14762,671,livres,22,0,
57,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Cuirs brut tanné,Pour l'Espagne,26440,52880,livres,0.5,0,
58,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Cartes a joüer,Pour l'Espagne,2050,2050,livres,1,0,
59,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Couvertures de mulet,Pour l'Espagne,196,28,nombre,7,0,
60,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Comodes de bois,Pour l'Espagne,60,1,estimée,60,0,
61,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Cire Jaune,Pour l'Espagne,9900,8250,livres,1.2,0,
62,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Cristal mineral,Pour l'Espagne,36,48,livres,0.75,0,
63,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Crasse de cire,Pour l'Espagne,603.75,2415,livres,0.25,0,
64,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Draperie fine de Languedoc,Pour l'Espagne,6440,805,livres,8,0,
65,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Dentelle du puys,Pour l'Espagne,6950,139,livres,50,0,
66,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,"Etoffe or, argent, et soye",Pour l'Espagne,138080,1726,livres,80,0,
67,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Etoffe de soye,Pour l'Espagne,301760,7544,livres,40,0,
68,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Etoffe de soye et laine,Pour l'Espagne,115500,7700,livres,15,0,
69,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Etoffe soye et fil,Pour l'Espagne,2088,174,livres,12,0,
70,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Etoffe de filozelle,Pour l'Espagne,33100,1655,livres,20,0,
71,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Etoffe de laine,Pour l'Espagne,30590,6118,livres,5,0,
72,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Eau de vie,Pour l'Espagne,2380,11900,livres,0.2,0,
73,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Eau de senteur,Pour l'Espagne,20,50,livres,0.4,0,
74,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Eau forte,Pour l'Espagne,30,60,livres,0.5,0,
75,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Fromage de Sassenage,Pour l'Espagne,52.5,150,livres,0.35,0,
76,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Fromage de Gruyere,Pour l'Espagne,4087.5,16350,livres,0.25,0,
77,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Fromage d'auvergne,Pour l'Espagne,5085,25425,livres,0.2,0,
78,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Fil cru,Pour l'Espagne,1845,1845,livres,1,0,
79,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,3,Fil de fer,Pour l'Espagne,62.5,250,livres,0.25,0,
80,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,4,Fil ouvré,Pour l'Espagne,1012.5,675,livres,1.5,0,
81,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,4,Fayence,Pour l'Espagne,725,3625,livres,0.2,0,
82,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,4,Galons d'or faux,Pour l'Espagne,160,8,livres,20,0,
83,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,4,Galons de filozelle,Pour l'Espagne,420,21,livres,20,0,
84,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,4,Gans de peau,Pour l'Espagne,413,47,douzaine,9,10,
85,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,4,Glaces de miroir,Pour l'Espagne,950,,valeur,0,-950,
86,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,4,Jayet,Pour l'Espagne,238,170,livres,1.4,0,
87,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,4,Laine a tapisserie,Pour l'Espagne,2400,600,livres,4,0,
88,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,4,Mercerie fine,Pour l'Espagne,118524,19754,livres,6,0,
89,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,4,Marchandises melées,Pour l'Espagne,3620,,valeur,0,-3620,
90,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,4,Peluche,Pour l'Espagne,65,13,livres,5,0,
91,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,4,Peaux de mouton passées,Pour l'Espagne,970,97,douzaine,10,0,
92,Demba,Archives de la CCI de Marseille - I 21,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,Local,1730,Exports,Marseille,4,Pelleterie blanche,Pour l'Espagne,1350,1800,livres,0.75,0,
