numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,Année,exportsimports,marchandises,Direction,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks
1,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,1,1728,Exports,Anchois,Marseille,Pour la Hollande,"5,00",Barrils,"3,500","17,50","0,00",
2,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,1,1728,Exports,Amandes cassées,Marseille,Pour la Hollande,"1087700,00",Livres,"0,200","217 540,00","0,00",
3,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,1,1728,Exports,Amandes en coques,Marseille,Pour la Hollande,"104000,00",livres,"0,160","16 640,00","0,00",
4,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,1,1728,Exports,Agaric,Marseille,Pour la Hollande,"350,00",Livres,"1,500","525,00","0,00",
5,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,1,1728,Exports,Aristoloche,Marseille,Pour la Hollande,"400,00",Livres,"0,100","40,00","0,00",
6,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,1,1728,Exports,Bazanes de veau tannées,Marseille,Pour la Hollande,"677,00",Douzaines,"18,000","12 186,00","0,00",
7,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,1,1728,Exports,Bazanes de mouton tannées,Marseille,Pour la Hollande,"458,00",Douzaines,"9,000","4 122,00","0,00",
8,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,1,1728,Exports,Cire jaune,Marseille,Pour la Hollande,"600,00",Livres,"1,200","720,00","0,00",
9,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,1,1728,Exports,Capres,Marseille,Pour la Hollande,"87825,00",Livres,"0,350","30 738,75","0,00",
10,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,1,1728,Exports,Eau de vie,Marseille,Pour la Hollande,"682975,00",Livres,"0,200","136 595,00","0,00",
