numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,Direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,1,1729,Exports,Amandes cassées,Marseille,Pour la Hollande,"742675,00",Livres,"0,200","148 535,00","0,00",
2,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,1,1729,Exports,Amandes en coques,Marseille,Pour la Hollande,"49250,00",Livres,"0,060","2 955,00","0,00",
3,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,1,1729,Exports,Agaric,Marseille,Pour la Hollande,"130,00",Livres,"2,000","260,00","0,00",
4,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,1,1729,Exports,Bazanes de veau tannées,Marseille,Pour la Hollande,"362,50",Douzaines,"19,000","6 887,50","0,00",
5,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,1,1729,Exports,Bazanes tannées,Marseille,Pour la Hollande,"268,00",Douzaines,"9,000","2 412,00","0,00",
6,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,1,1729,Exports,Confitures,Marseille,Pour la Hollande,"75,00",Livres,"0,800","60,00","0,00",
7,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,1,1729,Exports,Capres,Marseille,Pour la Hollande,"247500,00",Livres,"0,340","84 150,00","0,00",
8,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,1,1729,Exports,Confection d'hyacinte,Marseille,Pour la Hollande,"20,00",Livres,"8,000","160,00","0,00",
9,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,1,1729,Exports,Eau de vie,Marseille,Pour la Hollande,"375900,00",Livres,"0,200","75 180,00","0,00",
10,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,1,1729,Exports,Esprit de vin,Marseille,Pour la Hollande,"420,00",Livres,"0,800","336,00","0,00",
11,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,1,1729,Exports,Eau de la reyne d'Hongrie,Marseille,Pour la Hollande,"32,00",Livres,"0,800","25,60","0,00",
12,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,2,1729,Exports,Eau de fleur d'orange,Marseille,Pour la Hollande,"20,00",Livres,"0,600","12,00","0,00",
13,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,2,1729,Exports,Figues,Marseille,Pour la Hollande,"6950,00",Livres,"0,100","695,00","0,00",
14,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,2,1729,Exports,Graine de jardin,Marseille,Pour la Hollande,"2144,00",Livres,"0,750","1 608,00","0,00",
15,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,2,1729,Exports,Huile d'olive,Marseille,Pour la Hollande,"2651,00",Milleroles,"40,000","106 040,00","0,00",
16,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,2,1729,Exports,Huile de senteur,Marseille,Pour la Hollande,"2260,00",Livres,"1,000","2 260,00","0,00",
17,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,2,1729,Exports,Liqueurs a boire,Marseille,Pour la Hollande,"2300,00",Livres,"1,000","2 300,00","0,00",
18,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,2,1729,Exports,Miel,Marseille,Pour la Hollande,"34225,00",Livres,"0,100","3 422,50","0,00",
19,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,2,1729,Exports,Noix,Marseille,Pour la Hollande,"4,00",Charges,"9,000","36,00","0,00",
20,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,2,1729,Exports,Olives,Marseille,Pour la Hollande,"4920,00",Livres,"0,100","492,00","0,00",
21,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,2,1729,Exports,Poires,Marseille,Pour la Hollande,"1800,00",Livres,"0,060","108,00","0,00",
22,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,2,1729,Exports,Prunes brugnolles,Marseille,Pour la Hollande,"322725,00",Livres,"0,220","70 999,50","0,00",
23,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,2,1729,Exports,Pommade,Marseille,Pour la Hollande,"292,00",Livres,"1,000","292,00","0,00",
24,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,2,1729,Exports,Pelleterie crüe,Marseille,Pour la Hollande,"5125,00",Livres,"0,200","1 025,00","0,00",
25,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,2,1729,Exports,Peaux de maroquin,Marseille,Pour la Hollande,"31,00",Douzaines,"30,000","930,00","0,00",
26,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,2,1729,Exports,Peaux de mouton en couleur,Marseille,Pour la Hollande,"20,00",Douzaines,"10,000","200,00","0,00",
27,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,2,1729,Exports,Peau de buffle aprestées,Marseille,Pour la Hollande,"1000,00",Livres,"0,500","500,00","0,00",
28,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,2,1729,Exports,Raisin sec,Marseille,Pour la Hollande,"152025,00",Livres,"0,120","18 243,00","0,00",
29,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,2,1729,Exports,Ris,Marseille,Pour la Hollande,"100,00",Livres,"0,100","10,00","0,00",
30,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,2,1729,Exports,Saucissons,Marseille,Pour la Hollande,"610,00",Livres,"1,000","610,00","0,00",
31,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,2,1729,Exports,Sardines,Marseille,Pour la Hollande,"40,00",Barrils,"2,000","80,00","0,00",
32,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,2,1729,Exports,Saffran,Marseille,Pour la Hollande,"84,00",Livres,"20,000","1 680,00","0,00",
33,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,2,1729,Exports,Soye teinte,Marseille,Pour la Hollande,"195,00",Livres,"16,000","3 120,00","0,00",
34,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,2,1729,Exports,Savon,Marseille,Pour la Hollande,"8085,00",Livres,"0,200","1 617,00","0,00",
35,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,3,1729,Exports,Savonettes,Marseille,Pour la Hollande,"60,00",Livres,"0,500","30,00","0,00",
36,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,3,1729,Exports,Ton mariné,Marseille,Pour la Hollande,"167,00",Livres,"1,000","167,00","0,00",
37,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,3,1729,Exports,Tartre,Marseille,Pour la Hollande,"56830,00",Livres,"0,170","9 661,10","0,00",
38,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,3,1729,Exports,Vin,Marseille,Pour la Hollande,"12380,00",Milleroles,"6,000","74 280,00","0,00",
39,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,3,1729,Exports,Vin,Marseille,Pour la Hollande,"780,00",Charges,"9,000","7 020,00","0,00",
40,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,3,1729,Exports,Verdet,Marseille,Pour la Hollande,"770,00",Livres,"0,800","616,00","0,00",
41,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1729,Local,3,1729,Exports,Bas de Soye,Marseille,Pour l'Espagne,"137,50",Livres,"45,000","6 187,50","0,00",
