numrodeligne,dataentryby,source,sourcepath,sourcetype,year,sheet,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,1,Exports,Agaric,Marseille,Pour la Hollande,330,Livres,2,660,0,
2,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,1,Exports,Aloës,Marseille,Pour la Hollande,313,Livres,1,313,0,
3,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,1,Exports,Alun,Marseille,Pour la Hollande,550,Livres,"0,15",82,"0,5",
4,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,1,Exports,Amandes cassées,Marseille,Pour la Hollande,131450,Livres,"0,2",32862,-6572,Prix modifié expost mais pas le total
5,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,1,Exports,Anchois,Marseille,Pour la Hollande,71382,Livres,"0,5",35691,0,
6,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,1,Exports,Assa fetida,Marseille,Pour la Hollande,300,Livres,"1,5",450,0,
7,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,1,Exports,Bois d'olivier pelé,Marseille,Pour la Hollande,10125,Livres,"0,09",911,"0,25",
8,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,1,Exports,Cacao,Marseille,Pour la Hollande,104,Livres,"1,4",145,"0,6",
9,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,1,Exports,Caffe de l'amerique,Marseille,Pour la Hollande,160,Livres,"0,6",96,0,
10,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,1,Exports,Cantarides,Marseille,Pour la Hollande,435,Livres,"0,2",87,0,
11,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,1,Exports,Capres,Marseille,Pour la Hollande,60950,Livres,"0,22",13409,0,
12,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,1,Exports,Cire blanche ouvrée,Marseille,Pour la Hollande,125,Livres,"1,5",187,"0,5",
13,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,1,Exports,Citrons,Marseille,Pour la Hollande,4,Milliers,8,32,0,
14,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Cotton filé,Marseille,Pour la Hollande,126365,Livres,"1,1",139001,"0,5",
15,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Cotton en laine,Marseille,Pour la Hollande,43772,Livres,"0,5",21886,0,
16,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Cumin,Marseille,Pour la Hollande,50075,Livres,"0,17",8512,"0,75",
17,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Demitte,Marseille,Pour la Hollande,20500,Pieces,3,61500,0,
18,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Drogueries,Marseille,Pour la Hollande,2615,Livres,1,2615,0,
