numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,problème,remarks
1,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,1,1727,Exports,Anchois,Marseille,La Hollande,"7,00",Barrils,"4,000","28,00","0,00",
2,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,1,1727,Exports,Amendes cassées,Marseille,La Hollande,"761000,00",Livres,"0,200","152 200,00","0,00",
3,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,1,1727,Exports,Amendes en coques,Marseille,La Hollande,"50175,00",Livres,"0,150","7 526,25","0,00",
4,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,1,1727,Exports,Anis vert,Marseille,La Hollande,"150,00",Livres,"0,250","37,50","0,00",
5,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,1,1727,Exports,Aristoloche,Marseille,La Hollande,"600,00",Livres,"0,160","96,00","0,00",
6,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,1,1727,Exports,Bazanes de veau tannées,Marseille,La Hollande,"352,00",Douzaines,"16,000","5 632,00","0,00",
7,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,1,1727,Exports,Bazanes de mouton,Marseille,La Hollande,"197,00",Douzaines,"6,000","1 182,00","0,00",
8,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,1,1727,Exports,Confitures,Marseille,La Hollande,"125,00",Livres,"0,700","87,50","0,00",
9,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,1,1727,Exports,Capres,Marseille,La Hollande,"128925,00",Livres,"0,200","25 785,00","0,00",
10,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,1,1727,Exports,Crasses d'huille,Marseille,La Hollande,"8300,00",Livres,"0,133","1 106,30","0,37","20lt la millerolle, soit 2 sous et 8 deniers la livre."
11,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,1,1727,Exports,Cire Jaune,Marseille,La Hollande,"550,00",Livres,"1,300","715,00","0,00",
12,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,1,1727,Exports,Eau de vie,Marseille,La Hollande,"1422775,00",Livres,"0,200","284 555,00","0,00",
13,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,1,1727,Exports,Esprit de vin,Marseille,La Hollande,"375,00",Livres,"0,400","150,00","0,00",
14,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,1,1727,Exports,Eau de la reine d'Hongrie,Marseille,La Hollande,"50,00",Livres,"0,750","37,50","0,00",
15,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,1,1727,Exports,Figues,Marseille,La Hollande,"585,00",Livres,"0,100","58,50","0,00",
16,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,1,1727,Exports,Grenades fruit,Marseille,La Hollande,"9990,00",Nombre,"0,025","249,75","0,00",6 deniers la grenade
17,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,1,1727,Exports,Graine de Jardin,Marseille,La Hollande,"13790,00",Livres,"0,200","2 758,00","0,00",
18,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,1,1727,Exports,Huille d'ollives,Marseille,La Hollande,"725730,00",Livres,"0,200","145 140,00","6,00",30 livre la millerolle soit 4 sous la livre. 
19,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Huille de senteur,Marseille,La Hollande,"2360,00",Livres,"0,750","1 770,00","0,00",
20,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Huille de Laurier,Marseille,La Hollande,"155,00",Livres,"0,750","116,25","0,00",
21,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Jujubes,Marseille,La Hollande,"670,00",Livres,"0,200","134,00","0,00",
22,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Liqueurs a boire,Marseille,La Hollande,"44585,00",Livres,"1,000","44 585,00","0,00",
23,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Liege,Marseille,La Hollande,"11300,00",Livres,"0,140","1 582,00","0,00",
24,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Miel,Marseille,La Hollande,"78100,00",Livres,"0,120","9 372,00","0,00",
25,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Marchandise mélées,Marseille,La Hollande,"1,00",Valeurs,"2 740,000","2 740,00","0,00",
26,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Ollives,Marseille,La Hollande,"74,00",Barrils,"1,250","92,50","0,00",
27,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Ollives,Marseille,La Hollande,"840,00",Livres,"0,140","117,60","0,00",
28,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Oranges seiches,Marseille,La Hollande,"335,00",Livres,"0,100","33,50","0,00",
