numrodeligne,dataentryby,source,sourcepath,sourectype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks
1,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,2,1741,Exports,Anchois,Marseille,Pour la Hollande,10825,Livres,"0,5",5412,"0,5",
2,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,2,1741,Exports,Amandes,Marseille,Pour la Hollande,158232,Livres,"0,2",31686,"-39,6",Erreur de calcul
3,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,2,1741,Exports,Anis,Marseille,Pour la Hollande,4750,Livres,"0,2",950,0,
4,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,2,1741,Exports,Aristoloche,Marseille,Pour la Hollande,1900,Livres,"0,22",418,0,
5,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,2,1741,Exports,Alun,Marseille,Pour la Hollande,6400,Livres,"0,1",640,0,
6,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,2,1741,Exports,Ajamis,Marseille,Pour la Hollande,136,Paires,6,816,0,
7,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,2,1741,Exports,Arbres fruitiers,Marseille,Pour la Hollande,5200,Livres,"0,5",2600,0,
8,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,2,1741,Exports,Bas de soye,Marseille,Pour la Hollande,150,Livres,40,6000,0,
9,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,2,1741,Exports,Bours de soye,Marseille,Pour la Hollande,895,Livres,10,8950,0,
10,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,2,1741,Exports,Citrons et limons,Marseille,Pour la Hollande,211,Milliers,15,3165,0,
11,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,2,1741,Exports,Confitures,Marseille,Pour la Hollande,200,Livres,1,200,0,
12,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,2,1741,Exports,Capres,Marseille,Pour la Hollande,222700,Livres,"0,22",48994,0,
13,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,2,1741,Exports,Culs d'artichaux,Marseille,Pour la Hollande,1575,Livres,"0,75",1181,"0,25",
14,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,2,1741,Exports,Cantarides,Marseille,Pour la Hollande,304,Livres,"4,5",1368,0,
15,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,2,1741,Exports,Cochenille,Marseille,Pour la Hollande,160,Livres,17,2720,0,
16,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,2,1741,Exports,Creme de tartre,Marseille,Pour la Hollande,3400,Livres,"0,35",1190,0,
17,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,2,1741,Exports,Corail,Marseille,Pour la Hollande,1275,Livres,8,10200,0,
18,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,2,1741,Exports,Coton filé,Marseille,Pour la Hollande,76624,Livres,"1,1",84286,"0,4",
19,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,2,1741,Exports,Coton en laine,Marseille,Pour la Hollande,26450,Livres,"0,45",11902,"0,5",
20,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,2,1741,Exports,Cumin,Marseille,Pour la Hollande,457050,Livres,"0,17",77698,"0,5",
21,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Costus doux,Marseille,Pour la Hollande,52,Livres,1,52,0,
22,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Carte a jouer,Marseille,Pour la Hollande,120,Grosses,18,2160,0,
23,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Coquillage,Marseille,Pour la Hollande,3000,Livres,"1,5",4500,0,
24,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Carreaux de marbe,Marseille,Pour la Hollande,724,Livres,1,724,0,
25,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Dattes,Marseille,Pour la Hollande,660,Livres,"0,15",99,0,
26,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Drogueries,Marseille,Pour la Hollande,4452,Livres,1,4452,0,Arrondi
27,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Draps londrins,Marseille,Pour la Hollande,1200,Livres,7,8400,0,
28,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Demittes,Marseille,Pour la Hollande,10965,Pieces,"2,5",27412,"0,5",
29,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Demittes,Marseille,Pour la Hollande,1800,Livres,1,1800,0,
30,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Eau de vie,Marseille,Pour la Hollande,5200,Livres,"0,2",10400,-9360,erreur de calcul (dizaines)
31,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Eau de la Reyne d'Hongrie,Marseille,Pour la Hollande,200,Livres,"0,75",150,0,
32,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Essence,Marseille,Pour la Hollande,60,Livres,1,60,0,
33,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Encens,Marseille,Pour la Hollande,13789,Livres,"0,45",6205,"0,05",
34,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Eponges,Marseille,Pour la Hollande,2480,Livres,1,2480,0,
35,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Figues,Marseille,Pour la Hollande,470,Livres,"0,1",47,0,
36,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Folicule de sené,Marseille,Pour la Hollande,545,Livres,3,1635,0,
37,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Fleurs de souffre,Marseille,Pour la Hollande,750,Livres,"0,23",172,"0,5",
38,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Fil de chevre,Marseille,Pour la Hollande,15225,Livres,3,45675,0,
39,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Fil de laton,Marseille,Pour la Hollande,6653,Livres,"1,4",9313,"1,2",
40,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Fayence,Marseille,Pour la Hollande,150,Livres,"0,5",75,0,
41,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Galbanum,Marseille,Pour la Hollande,190,Livres,2,380,0,
42,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Galles d'alep,Marseille,Pour la Hollande,123125,Livres,"0,45",55406,"0,25",
43,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Gomme arabique,Marseille,Pour la Hollande,1957,Livres,"0,35",684,"0,95",
44,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Gomme adragan,Marseille,Pour la Hollande,2500,Livres,"0,9",2250,0,
45,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Graine de jardin,Marseille,Pour la Hollande,23161,Livres,"1,25",28951,"0,25",
46,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Graine d'avignon,Marseille,Pour la Hollande,11475,Livres,"0,125",1377,"57,38",
47,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Graine jaune,Marseille,Pour la Hollande,975,Livres,"0,125",121,"0,88",
48,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Gaude pour teinture,Marseille,Pour la Hollande,8875,Livres,"0,04",355,0,
49,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Huile d'olive,Marseille,Pour la Hollande,414,Millerolles,60,24840,0,
50,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,1741,Exports,Huile d'olive,Marseille,Pour la Hollande,2450,Livres,"0,3",735,0,
51,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,3,Exports,Huile de noix,Marseille,Pour la Hollande,2120,Livres,"0,5",1060,0,
52,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,3,Exports,Herbes à teindre,Marseille,Pour la Hollande,5175,Livres,"0,04",207,0,
53,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,3,Exports,Indigo,Marseille,Pour la Hollande,837,Livres,"4,5",3766,"0,5",
54,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,3,Exports,Jus de reglisse,Marseille,Pour la Hollande,5500,Livres,"0,75",4125,0,
55,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,3,Exports,Indienne ,Marseille,Pour la Hollande,10,pièces,20,200,0,
56,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,3,Exports,Liqueurs a boire ,Marseille,Pour la Hollande,200,Livres,"0,75",150,0,
57,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,3,Exports,Laine de chevron,Marseille,Pour la Hollande,613,Livres,"1,5",919,"0,5",
58,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,3,3,Exports,Miel,Marseille,Pour la Hollande,187450,Livres,"0,12",22494,0,
59,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Mhierre ,Marseille,Pour la Hollande,560,Livres,1,560,0,
60,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Mercerie,Marseille,Pour la Hollande,57768,Livres,"3,5",202188,0,
61,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Oranges,Marseille,Pour la Hollande,445,Milliers,15,6675,0,
62,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Olives,Marseille,Pour la Hollande,27712,Livres,"0,15",4156,"0,8",
63,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Oignons de fleur,Marseille,Pour la Hollande,1300,Livres,"0,5",650,0,
64,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Prunes,Marseille,Pour la Hollande,115633,Livres,"0,2",23126,"0,6",
65,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Plants d'orangers,Marseille,Pour la Hollande,500,Livres,"0,5",250,0,
66,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Pierres de marbre,Marseille,Pour la Hollande,21600,Livres,"0,028",594,0,
67,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Raisins secs,Marseille,Pour la Hollande,415912,Livres,"0,2",83182,"0,4",
68,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Ris,Marseille,Pour la Hollande,161625,Livres,"0,12",19395,0,
69,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Sucre en pain,Marseille,Pour la Hollande,11575,Livres,"0,5",5787,"0,5",
70,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Sucre brut,Marseille,Pour la Hollande,110225,Livres,"0,22",24249,"0,5",
71,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Sirop de capilaire,Marseille,Pour la Hollande,1500,Livres,1,1500,0,
