Data entry by,Source,Year,Sheet,Numero des pieces,Noms des puissances,Valeurs des importations dans le Royaume.toute compensation faite relativement aux bénéfices du fret,Valeurs des exportations dans le Royaume.toute compensation faite relativement aux bénéfices du fret,Balances en argent,,,,Remarks
,,,,,,,,En faveur de la France,Au désavantage de la France,,,
Fatima Zahra,,1788,7,6,L'Espagne et les Etats en dépendants,31 900 300,50 885 700,18 985 400,,,,
Fatima Zahra,,1788,7,7,Le Portugal,8 709 100,4 595 600,,4 113 500,,,
Fatima Zahra,,1788,7,8,les Etats du Roi de Sardaigne,21 281 300,19 015 700,,2 265 600,,,
Fatima Zahra,,1788,7,9,La République de Genes,9 128 100,5 993 200,,3 134 900,,,
Fatima Zahra,,1788,7,10,"Le milanes, la Toscane et Lucques",3 607 700,11 272 000,7 664 300,,,,
Fatima Zahra,,1788,7,11,l'Etat ecclésiatique,1 577 900,4 093 900,2 516 000,,,,
Fatima Zahra,,1788,7,12,les Royaumes de Naples Sicile et Porme,15 613 500,5 827 300,,9 786 200,,,
Fatima Zahra,,1788,7,13,La République de Venise,136 800,1 732 500,1 595 700,,,,
Fatima Zahra,,1788,7,14,L'angleterre,63 327 600,33 847 470,,29 480 130,,,
Fatima Zahra,,1788,7,15,la hollande,23 320 000,45 787 600,22 467 600,,,,
Fatima Zahra,,1788,7,16,les Etats de l'empereur en Allemagne et flandre,30 037 700,33 997 200,3 959 500,,,,
Fatima Zahra,,1788,7,17,"les villes anséatiques de breme,hambourg , lubeck et dantzick",10 056 000,64 294 800,54 238 800,,,,
Fatima Zahra,,1788,7,18,l'Allemagne et la pologne,8 114 200,23 588 600,15 474 400,,,,
Fatima Zahra,,1788,7,19,la suisse ses alliés et geneve,6 561 900,22 785 700,16 223 800,,,,
Fatima Zahra,,1788,7,20,le Danemark et la norwege,4 068 800,5 216 400,1 147 600,,,,
Fatima Zahra,,1788,7,21,la Suede,5 581 100,3 552 200,,2 028 900,,,
Fatima Zahra,,1788,7,22,Les etats du Roi de prusse,3 547 700,9 485 300,5 937 600,,,,
Fatima Zahra,,1788,7,23,La russie et courlande,6 871 900,6 108 500,,763 400,,,
Fatima Zahra,,1788,7,24,les etats unis de l'amérique,3 189 500,1 496 000,,1 693 500,,,
Fatima Zahra,,1788,7,Total,Total,256 631 100,353 575 670,150 210 700,53 266 130,,,
Fatima Zahra,,1788,7,25,Le levant l'empire ottoman et les Etats de Barbarie,43 672 900,18 864 700,,,,,
Fatima Zahra,,1788,7,,Total,300 304 000,372 440 370,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
